position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,2025-06-01,2026-05-31,"GREENS AT THE ROCK APARTMENTS, LP",8319 COUNTS MASSIE RD,199,0.585,34.839141,-92.384327
2,2025-06-01,2026-05-31,"LINKS AT THE ROCK, LP",12057 PAUL EELLS DR,113,0.585,34.837346,-92.388627
3,2025-06-01,2026-05-31,"LINKS AT EAGLE HILL, LP",5 OLYMPIA CT,103,0.585,34.677677,-92.420604
4,2025-06-01,2026-05-31,"CHARAL LITTLE ROCK II, LLC",1502 GREEN MOUNTAIN DR,95,0.585,34.767386,-92.405899
5,2025-06-01,2026-05-31,"EAGLE HILL, PHASE II, LP",12 TOREY PINE DR,84,0.585,34.680812,-92.42798
6,2025-06-01,2026-05-31,"CHARAL LITTLE ROCK I, LLC",1602 GREEN MOUNTAIN DR,74,0.585,34.76813,-92.40447
7,2025-06-01,2026-05-31,"VA8 STAGECOACH, LLC",9400 STAGECOACH RD,67,0.585,34.666626,-92.423896
8,2025-06-01,2026-05-31,"EAGLE HILL, LP",25 PAR DR,67,0.585,34.672908,-92.430787
9,2025-06-01,2026-05-31,PARK CREST APARTMENTS LLC,121 MANSON RD,65,0.585,34.834818,-92.188087
10,2025-06-01,2026-05-31,"HARBOR GRAND EQUITY FUND, LLC",13500 CHENAL PKWY,62,0.585,34.758075,-92.426329
