type,GEOID,racial_majority,xfilemonth,xfileyear,month_filings,filings_avg,last_updated
County,10001,White,1,2020,288,303,2023-04-08
County,10001,White,2,2020,260,269.5,2023-04-08
County,10001,White,3,2020,136,234.25,2023-04-08
County,10001,White,4,2020,0,251.75,2023-04-08
County,10001,White,5,2020,0,288.25,2023-04-08
County,10001,White,6,2020,3,277.75,2023-04-08
County,10001,White,7,2020,71,289.5,2023-04-08
County,10001,White,8,2020,73,318.5,2023-04-08
County,10001,White,9,2020,174,281.75,2023-04-08
County,10001,White,10,2020,124,329.25,2023-04-08
County,10001,White,11,2020,120,275.25,2023-04-08
County,10001,White,12,2020,93,251,2023-04-08
County,10001,White,1,2021,121,303,2023-04-08
County,10001,White,2,2021,123,262.25,2023-04-08
County,10001,White,3,2021,132,234.25,2023-04-08
County,10001,White,4,2021,136,251.75,2023-04-08
County,10001,White,5,2021,105,288.25,2023-04-08
County,10001,White,6,2021,128,277.75,2023-04-08
County,10001,White,7,2021,139,289.5,2023-04-08
County,10001,White,8,2021,194,318.5,2023-04-08
County,10001,White,9,2021,148,281.75,2023-04-08
County,10001,White,10,2021,158,329.25,2023-04-08
County,10001,White,11,2021,150,275.25,2023-04-08
County,10001,White,12,2021,174,251,2023-04-08
County,10001,White,1,2022,132,303,2023-04-08
County,10001,White,2,2022,175,262.25,2023-04-08
County,10001,White,3,2022,173,234.25,2023-04-08
County,10001,White,4,2022,173,251.75,2023-04-08
County,10001,White,5,2022,212,288.25,2023-04-08
County,10001,White,6,2022,174,277.75,2023-04-08
County,10001,White,7,2022,210,289.5,2023-04-08
County,10001,White,8,2022,165,318.5,2023-04-08
County,10001,White,9,2022,198,281.75,2023-04-08
County,10001,White,10,2022,190,329.25,2023-04-08
County,10001,White,11,2022,184,275.25,2023-04-08
County,10001,White,12,2022,261,251,2023-04-08
County,10001,White,1,2023,246,303,2023-04-08
County,10001,White,2,2023,305,262.25,2023-04-08
County,10001,White,3,2023,212,234.25,2023-04-08
County,10001,White,4,2023,20,26.25,2023-04-08
County,10003,White,1,2020,921,993.25,2023-04-08
County,10003,White,2,2020,932,915.75,2023-04-08
County,10003,White,3,2020,415,766.75,2023-04-08
County,10003,White,4,2020,5,851.25,2023-04-08
County,10003,White,5,2020,9,941,2023-04-08
County,10003,White,6,2020,24,977.75,2023-04-08
County,10003,White,7,2020,305,978.25,2023-04-08
County,10003,White,8,2020,389,1062.5,2023-04-08
County,10003,White,9,2020,480,997.5,2023-04-08
County,10003,White,10,2020,492,1013.5,2023-04-08
County,10003,White,11,2020,454,884,2023-04-08
County,10003,White,12,2020,380,914.25,2023-04-08
County,10003,White,1,2021,336,993.25,2023-04-08
County,10003,White,2,2021,422,910.25,2023-04-08
County,10003,White,3,2021,422,766.75,2023-04-08
County,10003,White,4,2021,334,851.25,2023-04-08
County,10003,White,5,2021,302,941,2023-04-08
County,10003,White,6,2021,342,977.75,2023-04-08
County,10003,White,7,2021,367,978.25,2023-04-08
County,10003,White,8,2021,526,1062.5,2023-04-08
County,10003,White,9,2021,519,997.5,2023-04-08
County,10003,White,10,2021,637,1013.5,2023-04-08
County,10003,White,11,2021,501,884,2023-04-08
County,10003,White,12,2021,591,914.25,2023-04-08
County,10003,White,1,2022,577,993.25,2023-04-08
County,10003,White,2,2022,595,910.25,2023-04-08
County,10003,White,3,2022,701,766.75,2023-04-08
County,10003,White,4,2022,651,851.25,2023-04-08
County,10003,White,5,2022,550,941,2023-04-08
County,10003,White,6,2022,623,977.75,2023-04-08
County,10003,White,7,2022,575,978.25,2023-04-08
County,10003,White,8,2022,833,1062.5,2023-04-08
County,10003,White,9,2022,659,997.5,2023-04-08
County,10003,White,10,2022,643,1013.5,2023-04-08
County,10003,White,11,2022,626,884,2023-04-08
County,10003,White,12,2022,669,914.25,2023-04-08
County,10003,White,1,2023,818,993.25,2023-04-08
County,10003,White,2,2023,780,910.25,2023-04-08
County,10003,White,3,2023,702,766.75,2023-04-08
County,10003,White,4,2023,36,91.25,2023-04-08
County,10005,White,1,2020,281,277.5,2023-04-08
County,10005,White,2,2020,260,204.5,2023-04-08
County,10005,White,3,2020,108,227.25,2023-04-08
County,10005,White,4,2020,2,217.5,2023-04-08
County,10005,White,5,2020,2,237,2023-04-08
County,10005,White,6,2020,8,257.5,2023-04-08
County,10005,White,7,2020,147,243,2023-04-08
County,10005,White,8,2020,94,277.5,2023-04-08
County,10005,White,9,2020,72,250.25,2023-04-08
County,10005,White,10,2020,114,265,2023-04-08
County,10005,White,11,2020,74,213.75,2023-04-08
County,10005,White,12,2020,103,227.75,2023-04-08
County,10005,White,1,2021,101,277.5,2023-04-08
County,10005,White,2,2021,61,202.25,2023-04-08
County,10005,White,3,2021,113,227.25,2023-04-08
County,10005,White,4,2021,87,217.5,2023-04-08
County,10005,White,5,2021,125,237,2023-04-08
County,10005,White,6,2021,89,257.5,2023-04-08
County,10005,White,7,2021,117,243,2023-04-08
County,10005,White,8,2021,111,277.5,2023-04-08
County,10005,White,9,2021,161,250.25,2023-04-08
County,10005,White,10,2021,97,265,2023-04-08
County,10005,White,11,2021,116,213.75,2023-04-08
County,10005,White,12,2021,138,227.75,2023-04-08
County,10005,White,1,2022,107,277.5,2023-04-08
County,10005,White,2,2022,130,202.25,2023-04-08
County,10005,White,3,2022,143,227.25,2023-04-08
County,10005,White,4,2022,120,217.5,2023-04-08
County,10005,White,5,2022,100,237,2023-04-08
County,10005,White,6,2022,109,257.5,2023-04-08
County,10005,White,7,2022,86,243,2023-04-08
County,10005,White,8,2022,128,277.5,2023-04-08
