id,month_date,month_filings,month_rate,month_diff,pct_white,pct_black,pct_latinx
18141000200,27/03/2022,2,0.00386847195357834,0.413793103448276,0.280464216634429,0.657640232108317,0.0618955512572534
18141000301,27/03/2022,1,0.002,0.4,0.732,0.14,0.08
18141000302,27/03/2022,1,0.00134228187919463,0.258064516129032,0.412080536912752,0.563758389261745,0
18141000400,27/03/2022,4,0.01,0.625,0.385,0.5325,0
18141000500,27/03/2022,1,0.004149377593361,0.4,0.053941908713693,0.863070539419087,0.024896265560166
18141000600,27/03/2022,2,0.00591715976331361,0.428571428571429,0.215976331360947,0.695266272189349,0.0710059171597633
18141000900,27/03/2022,1,0.00253164556962025,0.444444444444444,0.8,0.126582278481013,0.0607594936708861
18141001000,27/03/2022,1,0.00153609831029186,0.363636363636364,0.572964669738863,0.307219662058372,0.0814132104454685
18141001100,27/03/2022,4,0.00644122383252818,1.33333333333333,0.597423510466989,0.347826086956522,0.0322061191626409
18141001300,27/03/2022,7,0.0169082125603865,1.33333333333333,0.449275362318841,0.301932367149758,0.188405797101449
18141001400,27/03/2022,5,0.00796178343949045,1.09090909090909,0.563694267515924,0.218152866242038,0.0605095541401274
18141001600,27/03/2022,2,0.025,1.5,0.875,0,0.05
18141001700,27/03/2022,4,0.00655737704918033,1.53846153846154,0.7,0.252459016393443,0.040983606557377
18141001900,27/03/2022,8,0.0313725490196078,2.76923076923077,0.454901960784314,0.47843137254902,0.0431372549019608
18141002000,27/03/2022,6,0.00980392156862745,0.636363636363636,0.266339869281046,0.647058823529412,0.076797385620915
18141002100,27/03/2022,2,0.00604229607250755,0.6,0.0181268882175227,0.876132930513595,0.105740181268882
18141002200,27/03/2022,1,0.00248756218905473,0.444444444444444,0.169154228855721,0.291044776119403,0.502487562189055
18141002900,27/03/2022,1,0.00699300699300699,0.615384615384615,0.174825174825175,0.342657342657343,0.146853146853147
18141003000,27/03/2022,1,0.003584229390681,0.533333333333333,0.419354838709677,0.458781362007168,0.121863799283154
18141003100,27/03/2022,4,0.00997506234413965,0.769230769230769,0.72069825436409,0.209476309226933,0.0698254364089776
18141003300,27/03/2022,1,0.00289017341040462,0.444444444444444,0.494219653179191,0.476878612716763,0.0289017341040462
18141003400,27/03/2022,3,0.0040595399188092,0.615384615384615,0.319350473612991,0.535859269282815,0.123139377537212
18141010100,27/03/2022,5,0.0198412698412698,1.84615384615385,0.908730158730159,0.0238095238095238,0.0476190476190476
18141010200,27/03/2022,2,0.00182648401826484,0.363636363636364,0.893150684931507,0.106849315068493,0
18141010300,27/03/2022,2,0.00313971742543171,0.75,0.712715855572998,0.215070643642072,0
18141010600,27/03/2022,1,0.00158982511923688,0.380952380952381,0.769475357710652,0.0461049284578696,0.0524642289348172
18141010700,27/03/2022,5,0.0119904076738609,2.4,0.779376498800959,0.0215827338129496,0.0311750599520384
18141011000,27/03/2022,2,0.00395256916996047,1,0.719367588932806,0.280632411067194,0
18141011100,27/03/2022,4,0.00919540229885057,0.740740740740741,0.650574712643678,0.349425287356322,0
18141011201,27/03/2022,1,0.00806451612903226,2,0.693548387096774,0.0161290322580645,0.0725806451612903
18141011301,27/03/2022,1,0.000679809653297077,0.363636363636364,0.651937457511897,0.125084976206662,0.0666213460231135
18141011302,27/03/2022,12,0.0134680134680135,0.866666666666667,0.626262626262626,0.246913580246914,0.0493827160493827
18141011303,27/03/2022,2,0.0051948051948052,1.2,0.628571428571429,0.254545454545455,0
18141011501,27/03/2022,2,0.000892857142857143,0.25531914893617,0.651339285714286,0.212946428571429,0.0629464285714286
18141011505,27/03/2022,3,0.00301204819277108,1.45454545454545,0.736947791164659,0.0502008032128514,0.0150602409638554
18141011602,27/03/2022,1,0.00148367952522255,0.888888888888889,0.851632047477745,0,0.148367952522255
18141011701,27/03/2022,4,0.028169014084507,1.33333333333333,0.922535211267606,0.0774647887323944,0
18141011702,27/03/2022,10,0.00470588235294118,1.04761904761905,0.817411764705882,0.124235294117647,0.0437647058823529
18141011801,27/03/2022,1,0.0476190476190476,0.470588235294118,1,0,0
18141011900,27/03/2022,1,0.00540540540540541,0.533333333333333,0.794594594594595,0,0.0864864864864865
18141012100,27/03/2022,1,0.00420168067226891,1.33333333333333,0.949579831932773,0,0.0504201680672269
18141000100,27/03/2022,0,0,0.444444444444444,0.135135135135135,0.713513513513514,0.12972972972973
18141000700,27/03/2022,0,0,0.210526315789474,0.636942675159236,0.292993630573248,0
18141000800,27/03/2022,0,0,1,0.671641791044776,0.17910447761194,0.119402985074627
18141001200,27/03/2022,0,0,0.666666666666667,0.818181818181818,0.127272727272727,0.0545454545454545
18141001500,27/03/2022,0,0,0.285714285714286,0.630276564774381,0.174672489082969,0.0887918486171761
18141002300,27/03/2022,0,0,0.444444444444444,0.059016393442623,0.704918032786885,0.118032786885246
18141002400,27/03/2022,0,0,0.25,0.157205240174673,0.443231441048035,0.379912663755459
18141002500,27/03/2022,0,0,0.4,0.408839779005525,0.237569060773481,0.353591160220994
18141002600,27/03/2022,0,0,0.333333333333333,0.335640138408305,0.588235294117647,0.0761245674740485
18141002700,27/03/2022,0,0,0.5,0.2375,0.525,0.2375
18141002800,27/03/2022,0,0,0.5,0.115942028985507,0.666666666666667,0.217391304347826
18141003200,27/03/2022,0,0,0.363636363636364,1,0,0
18141003500,27/03/2022,0,0,0.444444444444444,0.816367265469062,0.183632734530938,0
18141010400,27/03/2022,0,0,0.8,1,0,0
18141010500,27/03/2022,0,0,0.444444444444444,0.710884353741497,0.136054421768708,0.0442176870748299
