position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,EDEN AT WATERSEDGE APTS,2826 S MENDENHALL RD,323,0.385
2,2020-03-15,NEW HORIZON APTS,3642 KINGSGATE DR,239,0.385
3,2020-03-15,WINBRANCH APTS,1630 DENSON DR,227,0.385
4,2020-03-15,THE TRAILS AT MT MORIAH,3139 MORIAH TRL,216,0.385
5,2020-03-15,THE VIEW AT SHELBY FARMS,8260 COUNTRY SQUIRE PL,175,0.385
6,2020-03-15,WATERVIEW APTS,3086 CYPRESS LAKE DR,158,0.385
7,2020-03-15,THE BOULEVARD,3860 EAGLEWOOD DR,156,0.385
8,2020-03-15,BENT TREE LLC,2003 LENOX CT,152,0.385
9,2020-03-15,THE LAKES AT RIDGEWAY,5669 WATERSTONE OAK WAY,143,0.385
10,2020-03-15,UNIVERSITY GARDENS MANOR,1038 OAKMONT PL,132,0.385
1,2021-07-11,THIRTY NINETY FOUR APTS,3115 AMBER LEAF LN,44,0.403
2,2021-07-11,REEDY & CO REALTORS LLC,1946 E RAINES RD,30,0.403
3,2021-07-11,THE VIEW AT SHELBY FARMS,8080 CARRIAGE LN,28,0.403
4,2021-07-11,HIGHLAND MEADOWS,2170 MCKELLAR WOODS CT,28,0.403
5,2021-07-11,WINBRANCH APTS,3646 WINBRANCH DR,28,0.403
6,2021-07-11,MFDJ GRAHAMWOOD PLACE APTS,4099 ST PIERRE BLVD,27,0.403
7,2021-07-11,LINCOLN AT WOLFCHASE APTS,8245 VARDON LN,25,0.403
8,2021-07-11,NEW HORIZON APTS,3558 DEVON DR,22,0.403
9,2021-07-11,NEW HORIZON APTS,1773 NEW GATE DR,21,0.403
10,2021-07-11,THE STELLA,2152 E RIVER TRACE DR,20,0.403
