type,GEOID,racial_majority,month,filings_2020,filings_avg,last_updated
Zip Code,15005,White,01/2022,0,0,2023-01-07
Zip Code,15005,White,02/2022,0,0,2023-01-07
Zip Code,15005,White,03/2022,0,0,2023-01-07
Zip Code,15005,White,04/2022,0,0,2023-01-07
Zip Code,15005,White,05/2022,0,0,2023-01-07
Zip Code,15005,White,06/2022,0,0,2023-01-07
Zip Code,15005,White,07/2022,0,0.25,2023-01-07
Zip Code,15005,White,08/2022,0,0,2023-01-07
Zip Code,15005,White,09/2022,0,0,2023-01-07
Zip Code,15005,White,10/2022,0,0,2023-01-07
Zip Code,15005,White,11/2022,0,0,2023-01-07
Zip Code,15005,White,12/2022,0,0,2023-01-07
Zip Code,15005,White,01/2023,0,0,2023-01-07
Zip Code,15006,White,01/2020,0,0,2023-01-07
Zip Code,15006,White,02/2020,0,0,2023-01-07
Zip Code,15006,White,03/2020,0,0.25,2023-01-07
Zip Code,15006,White,04/2020,0,0,2023-01-07
Zip Code,15006,White,05/2020,0,0,2023-01-07
Zip Code,15006,White,06/2020,0,0.2,2023-01-07
Zip Code,15006,White,07/2020,0,0,2023-01-07
Zip Code,15006,White,08/2020,0,0,2023-01-07
Zip Code,15006,White,09/2020,2,0,2023-01-07
Zip Code,15006,White,10/2020,0,0,2023-01-07
Zip Code,15006,White,11/2020,0,0,2023-01-07
Zip Code,15006,White,12/2020,0,0,2023-01-07
Zip Code,15006,White,01/2021,0,0,2023-01-07
Zip Code,15006,White,02/2021,0,0,2023-01-07
Zip Code,15006,White,03/2021,0,0.25,2023-01-07
Zip Code,15006,White,04/2021,0,0,2023-01-07
Zip Code,15006,White,05/2021,0,0,2023-01-07
Zip Code,15006,White,06/2021,0,0.2,2023-01-07
Zip Code,15006,White,07/2021,0,0,2023-01-07
Zip Code,15006,White,08/2021,0,0,2023-01-07
Zip Code,15006,White,09/2021,0,0,2023-01-07
Zip Code,15006,White,10/2021,0,0,2023-01-07
Zip Code,15006,White,11/2021,0,0,2023-01-07
Zip Code,15006,White,12/2021,0,0,2023-01-07
Zip Code,15006,White,01/2022,0,0,2023-01-07
Zip Code,15006,White,02/2022,0,0,2023-01-07
Zip Code,15006,White,03/2022,0,0.25,2023-01-07
Zip Code,15006,White,04/2022,0,0,2023-01-07
Zip Code,15006,White,05/2022,0,0,2023-01-07
Zip Code,15006,White,06/2022,0,0.2,2023-01-07
Zip Code,15006,White,07/2022,0,0,2023-01-07
Zip Code,15006,White,08/2022,0,0,2023-01-07
Zip Code,15006,White,09/2022,0,0,2023-01-07
Zip Code,15006,White,10/2022,0,0,2023-01-07
Zip Code,15006,White,11/2022,0,0,2023-01-07
Zip Code,15006,White,12/2022,0,0,2023-01-07
Zip Code,15006,White,01/2023,0,0,2023-01-07
Zip Code,15007,White,01/2020,2,0.25,2023-01-07
Zip Code,15007,White,02/2020,0,0,2023-01-07
Zip Code,15007,White,03/2020,0,0.2,2023-01-07
