type,GEOID,racial_majority,week,week_date,filings_2020,filings_avg
Census Tract,29095000300,Other,1,2019-12-29,0,0
Census Tract,29095000300,Other,2,2020-01-05,0,0.5
Census Tract,29095000300,Other,3,2020-01-12,0,0.25
Census Tract,29095000300,Other,4,2020-01-19,0,0
Census Tract,29095000300,Other,5,2020-01-26,0,0
Census Tract,29095000300,Other,6,2020-02-02,0,0.25
Census Tract,29095000300,Other,7,2020-02-09,0,1
Census Tract,29095000300,Other,8,2020-02-16,0,0
Census Tract,29095000300,Other,9,2020-02-23,1,0.25
Census Tract,29095000300,Other,10,2020-03-01,0,0.75
Census Tract,29095000300,Other,11,2020-03-08,0,0.25
Census Tract,29095000300,Other,12,2020-03-15,0,0.5
Census Tract,29095000300,Other,13,2020-03-22,1,0.75
Census Tract,29095000300,Other,14,2020-03-29,0,0
Census Tract,29095000300,Other,15,2020-04-05,0,0
Census Tract,29095000300,Other,16,2020-04-12,0,1.5
Census Tract,29095000300,Other,17,2020-04-19,0,0.25
Census Tract,29095000300,Other,18,2020-04-26,0,0.5
Census Tract,29095000300,Other,19,2020-05-03,0,0
Census Tract,29095000300,Other,20,2020-05-10,0,0.25
Census Tract,29095000300,Other,21,2020-05-17,0,0
Census Tract,29095000300,Other,22,2020-05-24,0,0.25
Census Tract,29095000300,Other,23,2020-05-31,0,0.75
Census Tract,29095000300,Other,24,2020-06-07,0,0
Census Tract,29095000300,Other,25,2020-06-14,0,0
Census Tract,29095000300,Other,26,2020-06-21,0,0.25
Census Tract,29095000300,Other,27,2020-06-28,0,0.75
Census Tract,29095000600,Latinx,1,2019-12-29,0,0.25
Census Tract,29095000600,Latinx,2,2020-01-05,1,1.25
Census Tract,29095000600,Latinx,3,2020-01-12,0,1.25
Census Tract,29095000600,Latinx,4,2020-01-19,0,0.75
Census Tract,29095000600,Latinx,5,2020-01-26,1,1
Census Tract,29095000600,Latinx,6,2020-02-02,0,1.25
Census Tract,29095000600,Latinx,7,2020-02-09,4,1.5
Census Tract,29095000600,Latinx,8,2020-02-16,1,1
Census Tract,29095000600,Latinx,9,2020-02-23,1,0.75
Census Tract,29095000600,Latinx,10,2020-03-01,0,0.5
Census Tract,29095000600,Latinx,11,2020-03-08,1,0.75
Census Tract,29095000600,Latinx,12,2020-03-15,1,1.25
Census Tract,29095000600,Latinx,13,2020-03-22,0,1
Census Tract,29095000600,Latinx,14,2020-03-29,0,1.25
Census Tract,29095000600,Latinx,15,2020-04-05,0,1
Census Tract,29095000600,Latinx,16,2020-04-12,0,0.75
Census Tract,29095000600,Latinx,17,2020-04-19,0,1.75
Census Tract,29095000600,Latinx,18,2020-04-26,0,1.75
Census Tract,29095000600,Latinx,19,2020-05-03,0,0.25
Census Tract,29095000600,Latinx,20,2020-05-10,0,1
Census Tract,29095000600,Latinx,21,2020-05-17,0,0.25
Census Tract,29095000600,Latinx,22,2020-05-24,0,1.25
Census Tract,29095000600,Latinx,23,2020-05-31,0,1.5
Census Tract,29095000600,Latinx,24,2020-06-07,0,0.25
Census Tract,29095000600,Latinx,25,2020-06-14,2,1
Census Tract,29095000600,Latinx,26,2020-06-21,0,1.25
Census Tract,29095000600,Latinx,27,2020-06-28,0,0.5
Census Tract,29095000700,Other,1,2019-12-29,0,0.25
Census Tract,29095000700,Other,2,2020-01-05,0,1.25
Census Tract,29095000700,Other,3,2020-01-12,0,0.75
Census Tract,29095000700,Other,4,2020-01-19,0,1.25
Census Tract,29095000700,Other,5,2020-01-26,1,0.5
Census Tract,29095000700,Other,6,2020-02-02,0,1.5
Census Tract,29095000700,Other,7,2020-02-09,0,1.25
Census Tract,29095000700,Other,8,2020-02-16,0,0
Census Tract,29095000700,Other,9,2020-02-23,0,0.25
Census Tract,29095000700,Other,10,2020-03-01,0,0.5
Census Tract,29095000700,Other,11,2020-03-08,0,0.25
Census Tract,29095000700,Other,12,2020-03-15,0,0.75
Census Tract,29095000700,Other,13,2020-03-22,0,0.25
Census Tract,29095000700,Other,14,2020-03-29,0,1
Census Tract,29095000700,Other,15,2020-04-05,0,0.75
Census Tract,29095000700,Other,16,2020-04-12,0,1
Census Tract,29095000700,Other,17,2020-04-19,0,1
Census Tract,29095000700,Other,18,2020-04-26,0,0.25
Census Tract,29095000700,Other,19,2020-05-03,0,0.75
Census Tract,29095000700,Other,20,2020-05-10,1,0.75
Census Tract,29095000700,Other,21,2020-05-17,0,1
Census Tract,29095000700,Other,22,2020-05-24,0,0.25
Census Tract,29095000700,Other,23,2020-05-31,0,1
Census Tract,29095000700,Other,24,2020-06-07,1,1.75
Census Tract,29095000700,Other,25,2020-06-14,1,0.75
Census Tract,29095000700,Other,26,2020-06-21,0,0.5
Census Tract,29095000700,Other,27,2020-06-28,0,0.5
Census Tract,29095000800,Other,1,2019-12-29,0,0
Census Tract,29095000800,Other,2,2020-01-05,0,0.25
Census Tract,29095000800,Other,3,2020-01-12,1,1.75
Census Tract,29095000800,Other,4,2020-01-19,3,1.75
Census Tract,29095000800,Other,5,2020-01-26,2,0.5
Census Tract,29095000800,Other,6,2020-02-02,0,0.75
Census Tract,29095000800,Other,7,2020-02-09,0,1.25
Census Tract,29095000800,Other,8,2020-02-16,0,1.5
Census Tract,29095000800,Other,9,2020-02-23,1,1.5
Census Tract,29095000800,Other,10,2020-03-01,0,0.75
Census Tract,29095000800,Other,11,2020-03-08,0,0.75
Census Tract,29095000800,Other,12,2020-03-15,0,1
Census Tract,29095000800,Other,13,2020-03-22,0,1.25
Census Tract,29095000800,Other,14,2020-03-29,0,1
Census Tract,29095000800,Other,15,2020-04-05,0,2
Census Tract,29095000800,Other,16,2020-04-12,0,1
Census Tract,29095000800,Other,17,2020-04-19,0,1
Census Tract,29095000800,Other,18,2020-04-26,1,0.5
Census Tract,29095000800,Other,19,2020-05-03,1,0.75
Census Tract,29095000800,Other,20,2020-05-10,1,1
Census Tract,29095000800,Other,21,2020-05-17,2,1.75
Census Tract,29095000800,Other,22,2020-05-24,0,0.75
Census Tract,29095000800,Other,23,2020-05-31,1,2
Census Tract,29095000800,Other,24,2020-06-07,1,1.25
Census Tract,29095000800,Other,25,2020-06-14,1,2
Census Tract,29095000800,Other,26,2020-06-21,0,0.75
Census Tract,29095000800,Other,27,2020-06-28,0,0.75
Census Tract,29095000900,Other,1,2019-12-29,1,0.5
Census Tract,29095000900,Other,2,2020-01-05,1,1.25
Census Tract,29095000900,Other,3,2020-01-12,0,1.75
Census Tract,29095000900,Other,4,2020-01-19,5,0.5
Census Tract,29095000900,Other,5,2020-01-26,2,1.5
Census Tract,29095000900,Other,6,2020-02-02,0,1.25
Census Tract,29095000900,Other,7,2020-02-09,0,0.75
Census Tract,29095000900,Other,8,2020-02-16,1,0.75
Census Tract,29095000900,Other,9,2020-02-23,1,0.75
Census Tract,29095000900,Other,10,2020-03-01,1,0.75
Census Tract,29095000900,Other,11,2020-03-08,0,0.75
Census Tract,29095000900,Other,12,2020-03-15,0,1
Census Tract,29095000900,Other,13,2020-03-22,2,0.75
Census Tract,29095000900,Other,14,2020-03-29,0,1
Census Tract,29095000900,Other,15,2020-04-05,0,1
Census Tract,29095000900,Other,16,2020-04-12,0,0.75
Census Tract,29095000900,Other,17,2020-04-19,1,1
Census Tract,29095000900,Other,18,2020-04-26,4,0.25
Census Tract,29095000900,Other,19,2020-05-03,1,1.5
Census Tract,29095000900,Other,20,2020-05-10,3,0.5
Census Tract,29095000900,Other,21,2020-05-17,0,1.75
Census Tract,29095000900,Other,22,2020-05-24,0,1
Census Tract,29095000900,Other,23,2020-05-31,1,1.25
Census Tract,29095000900,Other,24,2020-06-07,1,1.75
Census Tract,29095000900,Other,25,2020-06-14,0,1.25
Census Tract,29095000900,Other,26,2020-06-21,0,1.25
Census Tract,29095000900,Other,27,2020-06-28,0,0.5
Census Tract,29095001000,Other,1,2019-12-29,0,0.25
Census Tract,29095001000,Other,2,2020-01-05,0,1.75
Census Tract,29095001000,Other,3,2020-01-12,0,2.25
Census Tract,29095001000,Other,4,2020-01-19,1,1
