group,month,month_last_day,month_filings,avg_filings,month_diff,month_filings_imputed,baseline_share
White,05/2025,,0,0,,,
Black,05/2025,,0,0,,,
Hispanic,05/2025,,0,0,,,
Other,05/2025,,0,0,,,
