type,GEOID,month,filings_2020,filings_avg,last_updated
Census Tract,51001090400,07/2020,0,0,2023-01-07
Census Tract,51001090400,08/2020,0,0,2023-01-07
Census Tract,51001090400,09/2020,0,0,2023-01-07
Census Tract,51001090400,10/2020,0,0,2023-01-07
Census Tract,51001090400,11/2020,0,0,2023-01-07
Census Tract,51001090400,12/2020,0,0,2023-01-07
Census Tract,51001090400,01/2021,0,0,2023-01-07
Census Tract,51001090400,02/2021,0,0,2023-01-07
Census Tract,51001090400,03/2021,0,0,2023-01-07
Census Tract,51001090400,04/2021,0,0,2023-01-07
Census Tract,51001090400,05/2021,0,0,2023-01-07
Census Tract,51001090400,06/2021,0,0,2023-01-07
Census Tract,51001090400,07/2021,0,0,2023-01-07
Census Tract,51001090400,08/2021,0,0,2023-01-07
Census Tract,51001090400,09/2021,0,0,2023-01-07
Census Tract,51001090400,10/2021,0,0,2023-01-07
Census Tract,51001090400,11/2021,0,0,2023-01-07
Census Tract,51001090400,12/2021,0,0,2023-01-07
Census Tract,51001090400,01/2022,0,0,2023-01-07
Census Tract,51001090400,02/2022,0,0,2023-01-07
Census Tract,51001090400,03/2022,0,0,2023-01-07
Census Tract,51001090400,04/2022,0,0,2023-01-07
Census Tract,51001090400,05/2022,0,0,2023-01-07
Census Tract,51001090400,06/2022,0,0,2023-01-07
Census Tract,51001090400,07/2022,0,0,2023-01-07
Census Tract,51001090400,08/2022,0,0,2023-01-07
Census Tract,51001090400,09/2022,0,0,2023-01-07
Census Tract,51001090400,10/2022,0,0,2023-01-07
Census Tract,51001090400,11/2022,0,0,2023-01-07
Census Tract,51001090400,12/2022,0,0,2023-01-07
Census Tract,51001090400,01/2023,0,0,2023-01-07
Census Tract,51001090500,01/2020,0,0,2023-01-07
Census Tract,51001090500,02/2020,0,0,2023-01-07
Census Tract,51001090500,03/2020,0,0,2023-01-07
Census Tract,51001090500,04/2020,0,0,2023-01-07
Census Tract,51001090500,05/2020,0,0,2023-01-07
Census Tract,51001090500,06/2020,0,0,2023-01-07
Census Tract,51001090500,07/2020,0,0,2023-01-07
Census Tract,51001090500,08/2020,0,0,2023-01-07
Census Tract,51001090500,09/2020,0,0,2023-01-07
Census Tract,51001090500,10/2020,0,0,2023-01-07
Census Tract,51001090500,11/2020,0,0,2023-01-07
Census Tract,51001090500,12/2020,0,0,2023-01-07
Census Tract,51001090500,01/2021,0,0,2023-01-07
Census Tract,51001090500,02/2021,0,0,2023-01-07
Census Tract,51001090500,03/2021,0,0,2023-01-07
Census Tract,51001090500,04/2021,0,0,2023-01-07
Census Tract,51001090500,05/2021,0,0,2023-01-07
Census Tract,51001090500,06/2021,0,0,2023-01-07
Census Tract,51001090500,07/2021,0,0,2023-01-07
Census Tract,51001090500,08/2021,0,0,2023-01-07
Census Tract,51001090500,09/2021,0,0,2023-01-07
Census Tract,51001090500,10/2021,0,0,2023-01-07
Census Tract,51001090500,11/2021,0,0,2023-01-07
Census Tract,51001090500,12/2021,0,0,2023-01-07
Census Tract,51001090500,01/2022,0,0,2023-01-07
Census Tract,51001090500,02/2022,0,0,2023-01-07
