type,GEOID,week,week_date,filings_2020,filings_avg,last_updated
ZIP Code,15001,1,2019-12-29,3,4,2024-09-07
ZIP Code,15001,2,2020-01-05,4,4.75,2024-09-07
ZIP Code,15001,3,2020-01-12,14,8.75,2024-09-07
ZIP Code,15001,4,2020-01-19,0,3,2024-09-07
ZIP Code,15001,5,2020-01-26,5,14.25,2024-09-07
ZIP Code,15001,6,2020-02-02,5,6.25,2024-09-07
ZIP Code,15001,7,2020-02-09,12,9.25,2024-09-07
ZIP Code,15001,8,2020-02-16,1,2,2024-09-07
ZIP Code,15001,9,2020-02-23,5,4.25,2024-09-07
ZIP Code,15001,10,2020-03-01,5,4.5,2024-09-07
ZIP Code,15001,11,2020-03-08,2,7.5,2024-09-07
ZIP Code,15001,12,2020-03-15,0,2.75,2024-09-07
ZIP Code,15001,13,2020-03-22,0,3.5,2024-09-07
ZIP Code,15001,14,2020-03-29,0,2.5,2024-09-07
ZIP Code,15001,15,2020-04-05,0,3.25,2024-09-07
ZIP Code,15001,16,2020-04-12,0,12,2024-09-07
ZIP Code,15001,17,2020-04-19,0,4.75,2024-09-07
ZIP Code,15001,18,2020-04-26,0,6.5,2024-09-07
ZIP Code,15001,19,2020-05-03,0,6,2024-09-07
ZIP Code,15001,20,2020-05-10,0,9,2024-09-07
ZIP Code,15001,21,2020-05-17,0,4.25,2024-09-07
ZIP Code,15001,22,2020-05-24,1,8.25,2024-09-07
ZIP Code,15001,23,2020-05-31,0,4,2024-09-07
ZIP Code,15001,24,2020-06-07,2,7.5,2024-09-07
ZIP Code,15001,25,2020-06-14,0,4.75,2024-09-07
ZIP Code,15001,26,2020-06-21,0,11,2024-09-07
ZIP Code,15001,27,2020-06-28,0,5.5,2024-09-07
ZIP Code,15001,28,2020-07-05,0,5.5,2024-09-07
ZIP Code,15001,29,2020-07-12,0,5,2024-09-07
ZIP Code,15001,30,2020-07-19,0,8,2024-09-07
ZIP Code,15001,31,2020-07-26,0,5.5,2024-09-07
ZIP Code,15001,32,2020-08-02,0,9.5,2024-09-07
ZIP Code,15001,33,2020-08-09,2,9.5,2024-09-07
ZIP Code,15001,34,2020-08-16,0,6,2024-09-07
ZIP Code,15001,35,2020-08-23,0,3.25,2024-09-07
ZIP Code,15001,36,2020-08-30,6,4.5,2024-09-07
ZIP Code,15001,37,2020-09-06,0,17.25,2024-09-07
ZIP Code,15001,38,2020-09-13,2,8.25,2024-09-07
ZIP Code,15001,39,2020-09-20,3,7.75,2024-09-07
ZIP Code,15001,40,2020-09-27,3,8,2024-09-07
ZIP Code,15001,41,2020-10-04,0,8.5,2024-09-07
ZIP Code,15001,42,2020-10-11,1,10.25,2024-09-07
ZIP Code,15001,43,2020-10-18,2,2.25,2024-09-07
ZIP Code,15001,44,2020-10-25,0,13.75,2024-09-07
ZIP Code,15001,45,2020-11-01,3,7.25,2024-09-07
ZIP Code,15001,46,2020-11-08,2,11.75,2024-09-07
ZIP Code,15001,47,2020-11-15,1,3.25,2024-09-07
ZIP Code,15001,48,2020-11-22,0,4,2024-09-07
ZIP Code,15001,49,2020-11-29,2,1.75,2024-09-07
ZIP Code,15001,50,2020-12-06,0,10.25,2024-09-07
ZIP Code,15001,51,2020-12-13,2,3,2024-09-07
ZIP Code,15001,52,2020-12-20,3,7.25,2024-09-07
ZIP Code,15001,53,2020-12-27,1,1,2024-09-07
ZIP Code,15001,54,2021-01-03,4,6,2024-09-07
ZIP Code,15001,55,2021-01-10,3,10.75,2024-09-07
ZIP Code,15001,56,2021-01-17,1,2.5,2024-09-07
ZIP Code,15001,57,2021-01-24,2,10.75,2024-09-07
ZIP Code,15001,58,2021-01-31,0,6,2024-09-07
ZIP Code,15001,59,2021-02-07,1,9.5,2024-09-07
ZIP Code,15001,60,2021-02-14,0,5.25,2024-09-07
ZIP Code,15001,61,2021-02-21,3,5.25,2024-09-07
ZIP Code,15001,62,2021-02-28,4,2.25,2024-09-07
ZIP Code,15001,63,2021-03-07,2,7,2024-09-07
ZIP Code,15001,64,2021-03-14,2,5.5,2024-09-07
ZIP Code,15001,65,2021-03-21,4,3.25,2024-09-07
ZIP Code,15001,66,2021-03-28,3,1.75,2024-09-07
ZIP Code,15001,67,2021-04-04,2,2.5,2024-09-07
ZIP Code,15001,68,2021-04-11,5,13.5,2024-09-07
ZIP Code,15001,69,2021-04-18,6,2.25,2024-09-07
ZIP Code,15001,70,2021-04-25,3,6.5,2024-09-07
ZIP Code,15001,71,2021-05-02,0,8.25,2024-09-07
ZIP Code,15001,72,2021-05-09,8,8,2024-09-07
ZIP Code,15001,73,2021-05-16,1,3.75,2024-09-07
ZIP Code,15001,74,2021-05-23,0,10,2024-09-07
ZIP Code,15001,75,2021-05-30,0,2.5,2024-09-07
ZIP Code,15001,76,2021-06-06,6,5.75,2024-09-07
