month,month_last_day,month_filings,avg_filings,percentage_diff
01/2020,,1101,841.666666666667,1.30811881188119
02/2020,,1084,704.5,1.53867991483322
03/2020,,639,598.833333333333,1.0670748677985
04/2020,,23,663,0.0346907993966818
05/2020,,28,737.666666666667,0.0379575237234523
06/2020,,131,804,0.162935323383085
07/2020,,67,831.333333333333,0.0805934242181235
08/2020,,49,827.5,0.059214501510574
09/2020,,69,809.166666666667,0.0852729145211123
10/2020,,77,846.333333333334,0.0909807010634108
11/2020,,62,758.333333333333,0.0817582417582418
12/2020,,66,797.833333333333,0.0827240442866096
01/2021,,74,841.666666666667,0.0879207920792079
02/2021,,46,701,0.065620542082739
03/2021,,95,598.833333333333,0.158641803506819
04/2021,,103,663,0.155354449472097
05/2021,,87,737.666666666667,0.117939448712155
06/2021,,105,804,0.130597014925373
07/2021,,128,831.333333333333,0.153969526864475
08/2021,,152,827.5,0.18368580060423
09/2021,,159,809.166666666667,0.196498455200824
10/2021,30/10/2021,177,831.833333333333,0.212783009416951
