type,GEOID,racial_majority,month,filings_2020,filings_avg,filings_avg_prepandemic_baseline,last_updated
Zip Code,78705,White,10/2021,0,5,5.667,
Zip Code,78705,White,11/2021,0,7,5.5,
Zip Code,78705,White,12/2021,0,15,7,
Zip Code,78705,White,01/2022,0,10.5,8.333,
Zip Code,78705,White,02/2022,0,12,5.5,
Zip Code,78705,White,03/2022,0,9,7,
Zip Code,78705,White,04/2022,0,10.5,7.667,
Zip Code,78705,White,05/2022,0,7.5,8.333,
Zip Code,78705,White,06/2022,0,17.5,10,
Zip Code,78705,White,07/2022,0,5.5,8,
Zip Code,78705,White,08/2022,0,3.5,3.833,
Zip Code,78705,White,09/2022,0,4,4.167,
Zip Code,78705,White,10/2022,0,5,5.667,
Zip Code,78705,White,11/2022,0,7,5.5,
Zip Code,78705,White,12/2022,0,15,7,
Zip Code,78705,White,01/2023,0,10.5,8.333,
Zip Code,78705,White,02/2023,0,12,5.5,
Zip Code,78705,White,03/2023,0,9,7,
Zip Code,78705,White,04/2023,0,10.5,7.667,
Zip Code,78705,White,05/2023,0,7.5,8.333,
Zip Code,78705,White,06/2023,0,17.5,10,
Zip Code,78705,White,07/2023,0,5.5,8,
Zip Code,78705,White,08/2023,0,3.5,3.833,
Zip Code,78705,White,09/2023,0,4,4.167,
Zip Code,78705,White,10/2023,0,5,5.667,
Zip Code,78705,White,11/2023,0,7,5.5,
Zip Code,78705,White,12/2023,0,15,7,
Zip Code,78705,White,01/2024,0,10.5,8.333,
Zip Code,78705,White,02/2024,0,12.5,5.5,
Zip Code,78705,White,03/2024,0,9,7,
Zip Code,78705,White,04/2024,0,10.5,7.667,
Zip Code,78705,White,05/2024,0,7.5,8.333,
Zip Code,78705,White,06/2024,0,17.5,10,
Zip Code,78705,White,07/2024,0,5.5,8,
Zip Code,78705,White,08/2024,0,3.5,3.833,
Zip Code,78705,White,09/2024,0,4,4.167,
Zip Code,78705,White,10/2024,0,5,5.667,
Zip Code,78705,White,11/2024,0,7,5.5,
Zip Code,78705,White,12/2024,0,15,7,
Zip Code,78705,White,01/2025,0,10.5,8.333,
Zip Code,78705,White,02/2025,0,12,5.5,
Zip Code,78705,White,03/2025,0,9,7,
Zip Code,78705,White,04/2025,0,10.5,7.667,
Zip Code,78705,White,05/2025,0,7.5,8.333,
Zip Code,78705,White,06/2025,0,17.5,10,
Zip Code,78705,White,07/2025,0,5.5,8,
Zip Code,78705,White,08/2025,0,1,1.333,2025-08-16
Zip Code,78708,Other,01/2020,0,0,0,
Zip Code,78708,Other,02/2020,0,0,0,
Zip Code,78708,Other,03/2020,0,0,0.167,
Zip Code,78708,Other,04/2020,0,0,0,
Zip Code,78708,Other,05/2020,0,0,0,
Zip Code,78708,Other,06/2020,0,0,0.167,
Zip Code,78708,Other,07/2020,0,0,0,
Zip Code,78708,Other,08/2020,0,0,0,
Zip Code,78708,Other,09/2020,0,0,0,
Zip Code,78708,Other,10/2020,0,0,0,
Zip Code,78708,Other,11/2020,0,0,0,
Zip Code,78708,Other,12/2020,0,0,0,
Zip Code,78708,Other,01/2021,0,0,0,
Zip Code,78708,Other,02/2021,0,0,0,
Zip Code,78708,Other,03/2021,0,0,0.167,
Zip Code,78708,Other,04/2021,0,0,0,
Zip Code,78708,Other,05/2021,0,0,0,
Zip Code,78708,Other,06/2021,0,0,0.167,
Zip Code,78708,Other,07/2021,0,0,0,
Zip Code,78708,Other,08/2021,0,0,0,
Zip Code,78708,Other,09/2021,0,0,0,
Zip Code,78708,Other,10/2021,0,0,0,
Zip Code,78708,Other,11/2021,0,0,0,
Zip Code,78708,Other,12/2021,0,0,0,
Zip Code,78708,Other,01/2022,0,0,0,
Zip Code,78708,Other,02/2022,0,0,0,
Zip Code,78708,Other,03/2022,0,0,0.167,
Zip Code,78708,Other,04/2022,0,0,0,
Zip Code,78708,Other,05/2022,0,0,0,
Zip Code,78708,Other,06/2022,0,0,0.167,
Zip Code,78708,Other,07/2022,0,0,0,
Zip Code,78708,Other,08/2022,0,0,0,
Zip Code,78708,Other,09/2022,0,0,0,
Zip Code,78708,Other,10/2022,0,0,0,
Zip Code,78708,Other,11/2022,0,0,0,
Zip Code,78708,Other,12/2022,0,0,0,
Zip Code,78708,Other,01/2023,0,0,0,
Zip Code,78708,Other,02/2023,0,0,0,
Zip Code,78708,Other,03/2023,0,0,0.167,
Zip Code,78708,Other,04/2023,0,0,0,
Zip Code,78708,Other,05/2023,0,0,0,
Zip Code,78708,Other,06/2023,0,0,0.167,
Zip Code,78708,Other,07/2023,0,0,0,
Zip Code,78708,Other,08/2023,0,0,0,
Zip Code,78708,Other,09/2023,0,0,0,
Zip Code,78708,Other,10/2023,0,0,0,
Zip Code,78708,Other,11/2023,0,0,0,
Zip Code,78708,Other,12/2023,0,0,0,
Zip Code,78708,Other,01/2024,0,0,0,
Zip Code,78708,Other,02/2024,0,0,0,
Zip Code,78708,Other,03/2024,0,0,0.167,
Zip Code,78708,Other,04/2024,0,0,0,
Zip Code,78708,Other,05/2024,0,0,0,
Zip Code,78708,Other,06/2024,0,0,0.167,
Zip Code,78708,Other,07/2024,0,0,0,
Zip Code,78708,Other,08/2024,0,0,0,
Zip Code,78708,Other,09/2024,0,0,0,
Zip Code,78708,Other,10/2024,0,0,0,
Zip Code,78708,Other,11/2024,0,0,0,
Zip Code,78708,Other,12/2024,0,0,0,
Zip Code,78708,Other,01/2025,0,0,0,
Zip Code,78708,Other,02/2025,0,0,0,
Zip Code,78708,Other,03/2025,0,0,0.167,
Zip Code,78708,Other,04/2025,0,0,0,
Zip Code,78708,Other,05/2025,0,0,0,
Zip Code,78708,Other,06/2025,0,0,0.167,
Zip Code,78708,Other,07/2025,0,0,0,
Zip Code,78708,Other,08/2025,0,0,0,2025-08-16
Zip Code,78709,Other,01/2020,0,0,0,
Zip Code,78709,Other,02/2020,0,0,0,
Zip Code,78709,Other,03/2020,0,0,0.167,
Zip Code,78709,Other,04/2020,0,0,0.167,
Zip Code,78709,Other,05/2020,0,0,0,
Zip Code,78709,Other,06/2020,0,0,0,
Zip Code,78709,Other,07/2020,0,0,0,
Zip Code,78709,Other,08/2020,0,0,0,
Zip Code,78709,Other,09/2020,0,0,0,
Zip Code,78709,Other,10/2020,0,0,0,
Zip Code,78709,Other,11/2020,0,0,0,
Zip Code,78709,Other,12/2020,0,0,0,
Zip Code,78709,Other,01/2021,0,0,0,
Zip Code,78709,Other,02/2021,0,0,0,
Zip Code,78709,Other,03/2021,0,0,0.167,
Zip Code,78709,Other,04/2021,0,0,0.167,
Zip Code,78709,Other,05/2021,0,0,0,
Zip Code,78709,Other,06/2021,0,0,0,
Zip Code,78709,Other,07/2021,0,0,0,
Zip Code,78709,Other,08/2021,0,0,0,
Zip Code,78709,Other,09/2021,0,0,0,
Zip Code,78709,Other,10/2021,0,0,0,
Zip Code,78709,Other,11/2021,0,0,0,
Zip Code,78709,Other,12/2021,0,0,0,
Zip Code,78709,Other,01/2022,0,0,0,
Zip Code,78709,Other,02/2022,0,0,0,
Zip Code,78709,Other,03/2022,0,0,0.167,
Zip Code,78709,Other,04/2022,0,0,0.167,
Zip Code,78709,Other,05/2022,0,0,0,
Zip Code,78709,Other,06/2022,0,0,0,
Zip Code,78709,Other,07/2022,0,0,0,
Zip Code,78709,Other,08/2022,0,0,0,
Zip Code,78709,Other,09/2022,0,0,0,
Zip Code,78709,Other,10/2022,0,0,0,
Zip Code,78709,Other,11/2022,0,0,0,
Zip Code,78709,Other,12/2022,0,0,0,
Zip Code,78709,Other,01/2023,0,0,0,
Zip Code,78709,Other,02/2023,0,0,0,
Zip Code,78709,Other,03/2023,0,0,0.167,
Zip Code,78709,Other,04/2023,0,0,0.167,
Zip Code,78709,Other,05/2023,0,0,0,
Zip Code,78709,Other,06/2023,0,0,0,
Zip Code,78709,Other,07/2023,0,0,0,
Zip Code,78709,Other,08/2023,0,0,0,
Zip Code,78709,Other,09/2023,0,0,0,
Zip Code,78709,Other,10/2023,0,0,0,
Zip Code,78709,Other,11/2023,0,0,0,
Zip Code,78709,Other,12/2023,0,0,0,
Zip Code,78709,Other,01/2024,0,0,0,
Zip Code,78709,Other,02/2024,0,0,0,
Zip Code,78709,Other,03/2024,0,0,0.167,
Zip Code,78709,Other,04/2024,0,0,0.167,
Zip Code,78709,Other,05/2024,0,0,0,
Zip Code,78709,Other,06/2024,0,0,0,
Zip Code,78709,Other,07/2024,0,0,0,
Zip Code,78709,Other,08/2024,0,0,0,
Zip Code,78709,Other,09/2024,0,0,0,
Zip Code,78709,Other,10/2024,0,0,0,
Zip Code,78709,Other,11/2024,0,0,0,
Zip Code,78709,Other,12/2024,0,0,0,
Zip Code,78709,Other,01/2025,0,0,0,
Zip Code,78709,Other,02/2025,0,0,0,
Zip Code,78709,Other,03/2025,0,0,0.167,
Zip Code,78709,Other,04/2025,0,0,0.167,
Zip Code,78709,Other,05/2025,0,0,0,
Zip Code,78709,Other,06/2025,0,0,0,
Zip Code,78709,Other,07/2025,0,0,0,
Zip Code,78709,Other,08/2025,0,0,0,2025-08-16
Zip Code,78710,Other,01/2020,0,0,0,
Zip Code,78710,Other,02/2020,0,0,0,
Zip Code,78710,Other,03/2020,0,0,0,
Zip Code,78710,Other,04/2020,0,0,0,
Zip Code,78710,Other,05/2020,0,0,0,
Zip Code,78710,Other,06/2020,0,0,0,
Zip Code,78710,Other,07/2020,0,0,0,
