type,GEOID,month,filings_2020,filings_avg,last_updated
Census Tract,09001010101,01/2020,0,0,2022-02-26
Census Tract,09001010101,02/2020,0,0.666666666666667,2022-02-26
Census Tract,09001010101,03/2020,0,0.666666666666667,2022-02-26
Census Tract,09001010101,04/2020,0,0,2022-02-26
Census Tract,09001010101,05/2020,0,0,2022-02-26
Census Tract,09001010101,06/2020,0,0.333333333333333,2022-02-26
Census Tract,09001010101,07/2020,0,0.333333333333333,2022-02-26
Census Tract,09001010101,08/2020,1,0,2022-02-26
Census Tract,09001010101,09/2020,0,0.666666666666667,2022-02-26
Census Tract,09001010101,10/2020,0,0.666666666666667,2022-02-26
Census Tract,09001010101,11/2020,0,0.333333333333333,2022-02-26
Census Tract,09001010101,12/2020,0,0,2022-02-26
Census Tract,09001010101,01/2021,0,0,2022-02-26
Census Tract,09001010101,02/2021,1,0.666666666666667,2022-02-26
Census Tract,09001010101,03/2021,0,0.666666666666667,2022-02-26
Census Tract,09001010101,04/2021,0,0,2022-02-26
Census Tract,09001010101,05/2021,0,0,2022-02-26
Census Tract,09001010101,06/2021,1,0.333333333333333,2022-02-26
Census Tract,09001010101,07/2021,0,0.333333333333333,2022-02-26
Census Tract,09001010101,08/2021,1,0,2022-02-26
Census Tract,09001010101,09/2021,1,0.666666666666667,2022-02-26
Census Tract,09001010101,10/2021,0,0.666666666666667,2022-02-26
Census Tract,09001010101,11/2021,1,0.333333333333333,2022-02-26
Census Tract,09001010101,12/2021,1,0,2022-02-26
Census Tract,09001010101,01/2022,0,0,2022-02-26
Census Tract,09001010101,02/2022,0,0.666666666666667,2022-02-26
Census Tract,09001010102,01/2020,0,0,2022-02-26
Census Tract,09001010102,02/2020,0,0,2022-02-26
Census Tract,09001010102,03/2020,0,0,2022-02-26
Census Tract,09001010102,04/2020,0,0.333333333333333,2022-02-26
Census Tract,09001010102,05/2020,0,0.333333333333333,2022-02-26
Census Tract,09001010102,06/2020,0,0,2022-02-26
Census Tract,09001010102,07/2020,0,0,2022-02-26
Census Tract,09001010102,08/2020,0,0.333333333333333,2022-02-26
Census Tract,09001010102,09/2020,0,0.333333333333333,2022-02-26
Census Tract,09001010102,10/2020,0,0,2022-02-26
Census Tract,09001010102,11/2020,0,0,2022-02-26
Census Tract,09001010102,12/2020,1,0,2022-02-26
Census Tract,09001010102,01/2021,0,0,2022-02-26
Census Tract,09001010102,02/2021,0,0,2022-02-26
Census Tract,09001010102,03/2021,0,0,2022-02-26
Census Tract,09001010102,04/2021,2,0.333333333333333,2022-02-26
Census Tract,09001010102,05/2021,0,0.333333333333333,2022-02-26
Census Tract,09001010102,06/2021,0,0,2022-02-26
Census Tract,09001010102,07/2021,0,0,2022-02-26
