month_date,median_claim
2020-01-01,1099
2020-02-01,1049.5
2020-03-01,1063.5
2020-04-01,900
2020-05-01,1450
2020-06-01,1600
2020-07-01,1500
2020-08-01,1477
2020-09-01,1748
2020-10-01,1600
2020-11-01,1850
2020-12-01,1915
2021-01-01,1950
2021-02-01,2027
2021-03-01,2218
2021-04-01,2200
2021-05-01,1792.5
2021-06-01,1650
2021-07-01,1640
2021-08-01,2091
