group,month,month_last_day,month_filings,avg_filings,month_diff
White,01/2020,,1272,975.75,1.30361260568793
White,02/2020,,1169,862.25,1.35575529138881
White,03/2020,,587,704,0.833806818181818
White,04/2020,,46,818.5,0.0562003665241295
White,05/2020,,133,893,0.148936170212766
White,06/2020,,293,907,0.323042998897464
White,07/2020,,312,1011.25,0.308529048207664
White,08/2020,,484,1023.25,0.47300268751527
White,09/2020,,490,987.75,0.496076942546191
White,10/2020,,431,1074,0.401303538175047
White,11/2020,,414,932.75,0.443848834092737
White,12/2020,,600,921.5,0.651112316874661
Latinx,01/2020,,382,415.75,0.91882140709561
Latinx,02/2020,,421,305.75,1.37694194603434
Latinx,03/2020,,214,270,0.792592592592593
Latinx,04/2020,,14,318,0.0440251572327044
Latinx,05/2020,,98,392,0.25
Latinx,06/2020,,162,371,0.436657681940701
Latinx,07/2020,,184,407.75,0.451256897608829
Latinx,08/2020,,203,406.25,0.499692307692308
Latinx,09/2020,,180,350.25,0.513918629550321
Latinx,10/2020,,135,430,0.313953488372093
Latinx,11/2020,,185,352.25,0.525195173882186
Latinx,12/2020,,194,373.5,0.519410977242303
Other,01/2020,,2052,1663.5,1.23354373309288
Other,02/2020,,1890,1437,1.31524008350731
Other,03/2020,,885,1117.25,0.792123517565451
Other,04/2020,,51,1376.75,0.0370437624841111
Other,05/2020,,156,1573.5,0.0991420400381316
Other,06/2020,,372,1670.5,0.222687818018557
Other,07/2020,,321,1674,0.191756272401434
Other,08/2020,,680,1732.25,0.392553037956415
Other,09/2020,,687,1704,0.403169014084507
Other,10/2020,,638,1786.75,0.357072897719323
Other,11/2020,,669,1652,0.404963680387409
Other,12/2020,,782,1626.5,0.480786965877651
Black,01/2020,,254,246.5,1.03042596348884
Black,02/2020,,233,194,1.20103092783505
Black,03/2020,,92,151,0.609271523178808
Black,04/2020,,5,197.5,0.0253164556962025
Black,05/2020,,32,245.5,0.130346232179226
Black,06/2020,,39,228.5,0.170678336980306
Black,07/2020,,64,305,0.209836065573771
Black,08/2020,,50,287.5,0.173913043478261
Black,09/2020,,151,268,0.563432835820896
Black,10/2020,,91,255.5,0.356164383561644
Black,11/2020,,109,198,0.550505050505051
Black,12/2020,,192,200.5,0.957605985037407
