group,month,month_last_day,month_filings,avg_filings,month_diff,month_filings_imputed,baseline_share
White,12/2024,,2948,2676,1.101644245142,0.787116368903911,0.864634692962797
Hispanic,12/2024,,2,4.5,0.444444444444444,0.104752776436504,0.0606603914537577
Other,12/2024,,34,23.5,1.4468085106383,0.0949367455335588,
Black,12/2024,,,,,0.0131941091260261,0.00552816375317495
Female,12/2024,,,,,0.515566760155528,0.524697732077644
