type,GEOID,month,filings_2020,filings_avg,filings_avg_prepandemic_baseline,last_updated
Census Tract,10001040100,01/2020,2,2,2.25,NA
Census Tract,10001040100,02/2020,0,0,2.25,NA
Census Tract,10001040100,03/2020,0,3,2.25,NA
Census Tract,10001040100,04/2020,0,2,1.75,NA
Census Tract,10001040100,05/2020,0,1.5,2,NA
Census Tract,10001040100,06/2020,0,2,2,NA
Census Tract,10001040100,07/2020,0,0.5,1,NA
Census Tract,10001040100,08/2020,3,2,3,NA
Census Tract,10001040100,09/2020,0,3.5,3.25,NA
Census Tract,10001040100,10/2020,2,0.5,1.5,NA
Census Tract,10001040100,11/2020,1,0.5,1,NA
Census Tract,10001040100,12/2020,2,3,1,NA
Census Tract,10001040100,01/2021,0,2,2.25,NA
Census Tract,10001040100,02/2021,2,0,2.25,NA
Census Tract,10001040100,03/2021,1,3,2.25,NA
Census Tract,10001040100,04/2021,0,2,1.75,NA
Census Tract,10001040100,05/2021,1,1.5,2,NA
Census Tract,10001040100,06/2021,0,2,2,NA
Census Tract,10001040100,07/2021,2,0.5,1,NA
Census Tract,10001040100,08/2021,0,2,3,NA
Census Tract,10001040100,09/2021,0,3.5,3.25,NA
Census Tract,10001040100,10/2021,1,0.5,1.5,NA
Census Tract,10001040100,11/2021,0,0.5,1,NA
Census Tract,10001040100,12/2021,2,3,1,NA
Census Tract,10001040100,01/2022,0,2,2.25,NA
Census Tract,10001040100,02/2022,2,0,2.25,NA
Census Tract,10001040100,03/2022,2,3,2.25,NA
Census Tract,10001040100,04/2022,2,2,1.75,NA
Census Tract,10001040100,05/2022,2,1.5,2,NA
Census Tract,10001040100,06/2022,1,2,2,NA
Census Tract,10001040100,07/2022,1,0.5,1,NA
Census Tract,10001040100,08/2022,3,2,3,NA
Census Tract,10001040100,09/2022,0,3.5,3.25,NA
Census Tract,10001040100,10/2022,1,0.5,1.5,NA
Census Tract,10001040100,11/2022,0,0.5,1,NA
Census Tract,10001040100,12/2022,0,3,1,NA
Census Tract,10001040100,01/2023,2,2,2.25,NA
Census Tract,10001040100,02/2023,0,0,2.25,NA
Census Tract,10001040100,03/2023,4,3,2.25,NA
Census Tract,10001040100,04/2023,1,2,1.75,NA
Census Tract,10001040100,05/2023,1,1.5,2,NA
Census Tract,10001040100,06/2023,3,2,2,NA
Census Tract,10001040100,07/2023,1,0.5,1,NA
Census Tract,10001040100,08/2023,1,2,3,NA
Census Tract,10001040100,09/2023,2,3.5,3.25,NA
