id,month_date,month_filings,month_rate,month_rate_scale_max,month_diff,pct_white,pct_black,pct_hispanic
47157000100,01/05/2025,82,0.0403304178814383,0.456317149489089,0.801932367149759,0.665532328633933,0.168692270296548,0.0281964025279533
47157000200,01/05/2025,111,0.366013071895425,0.456317149489089,0.973913043478261,0,0.908196721311475,0.0229508196721311
47157000300,01/05/2025,18,0.115151515151515,0.456317149489089,1.31034482758621,0.024390243902439,0.975609756097561,0
47157000400,01/05/2025,39,0.100502512562814,0.456317149489089,0.512820512820513,0,1,0
47157000600,01/05/2025,45,0.107981220657277,0.456317149489089,1.10843373493976,0,0.967058823529412,0
47157000700,01/05/2025,420,0.376565295169946,0.456317149489089,1.12117177097204,0.137869292748433,0.862130707251567,0
47157000800,01/05/2025,41,0.0641221374045802,0.456317149489089,0.756756756756757,0,0.978593272171254,0
47157000900,01/05/2025,49,0.0846023688663283,0.456317149489089,0.632911392405063,0.0440677966101695,0.896610169491525,0
47157001100,01/05/2025,56,0.0899053627760252,0.456317149489089,1.14,0.134281200631912,0.374407582938389,0.475513428120063
47157001200,01/05/2025,59,0.0863309352517986,0.456317149489089,0.923076923076923,0.332853025936599,0.265129682997118,0.325648414985591
47157001300,01/05/2025,89,0.174081237911025,0.456317149489089,0.927835051546392,0.0484496124031008,0.881782945736434,0.0697674418604651
47157001400,01/05/2025,47,0.115384615384615,0.456317149489089,1.05494505494506,0,0.937349397590361,0.0626506024096386
47157001500,01/05/2025,88,0.356,0.456317149489089,0.978021978021978,0.168674698795181,0.831325301204819,0
47157001600,01/05/2025,5,0.0199335548172757,0.456317149489089,1.2,0.773333333333333,0.143333333333333,0
47157001700,01/05/2025,31,0.0365714285714286,0.456317149489089,0.735632183908046,0.430205949656751,0.537757437070938,0.0068649885583524
47157001900,01/05/2025,28,0.104693140794224,0.456317149489089,0.920634920634921,0,1,0
47157002000,01/05/2025,59,0.131004366812227,0.456317149489089,1.21212121212121,0,0.960612691466083,0
47157002100,01/05/2025,81,0.148014440433213,0.456317149489089,0.896174863387978,0.0632911392405063,0.918625678119349,0.0180831826401447
47157002400,01/05/2025,116,0.155172413793103,0.456317149489089,0.9,0.00796812749003984,0.889774236387782,0.051792828685259
47157002500,01/05/2025,50,0.0658914728682171,0.456317149489089,0.836065573770492,0.322121604139715,0.601552393272963,0.0763260025873221
47157002600,01/05/2025,17,0.0360721442885772,0.456317149489089,0.947368421052632,0.658634538152611,0.0843373493975904,0.0783132530120482
47157002700,01/05/2025,166,0.474431818181818,0.456317149489089,1.95321637426901,0.313390313390313,0.558404558404558,0.0911680911680912
47157002800,01/05/2025,109,0.119305856832972,0.456317149489089,0.890688259109312,0.0553745928338762,0.870792616720956,0.0206297502714441
47157002900,01/05/2025,19,0.0520833333333333,0.456317149489089,0.833333333333333,0.913838120104439,0.0809399477806789,0
47157003000,01/05/2025,62,0.0748218527315915,0.456317149489089,0.976744186046512,0.351961950059453,0.629013079667063,0.0190249702734839
47157003100,01/05/2025,68,0.0765815760266371,0.456317149489089,1.94366197183099,0.701111111111111,0.2,0.0488888888888889
47157003200,01/05/2025,176,0.116447368421053,0.456317149489089,0.972527472527472,0.658986175115207,0.267939433838051,0.010533245556287
47157003300,01/05/2025,11,0.0487804878048781,0.456317149489089,1.26315789473684,0.910204081632653,0.0612244897959184,0.0285714285714286
47157003400,01/05/2025,91,0.0904621435594887,0.456317149489089,0.906403940886699,0.548228346456693,0.383858267716535,0.0216535433070866
47157003500,01/05/2025,52,0.0758226037195994,0.456317149489089,0.796992481203008,0.458452722063037,0.502865329512894,0.0171919770773639
47157003600,01/05/2025,113,0.136854741896759,0.456317149489089,1.39877300613497,0.485576923076923,0.462740384615385,0.03125
47157003700,01/05/2025,56,0.0705445544554455,0.456317149489089,0.59375,0.201982651796778,0.681536555142503,0.00991325898389095
47157003800,01/05/2025,52,0.104125736738703,0.456317149489089,0.504761904761905,0.216535433070866,0.748031496062992,0
47157003900,01/05/2025,143,0.124675324675325,0.456317149489089,0.917197452229299,0.220103986135182,0.719237435008666,0
47157004200,01/05/2025,226,0.153068105192178,0.456317149489089,0.974248927038627,0.620782726045884,0.320512820512821,0.0215924426450742
47157004300,01/05/2025,80,0.072256913470116,0.456317149489089,1.17391304347826,0.559821428571429,0.364285714285714,0.0464285714285714
47157004500,01/05/2025,40,0.107049608355091,0.456317149489089,0.953488372093023,0.049738219895288,0.934554973821989,0.0157068062827225
47157004600,01/05/2025,58,0.123949579831933,0.456317149489089,0.944,0.0673684210526316,0.892631578947368,0
47157005000,01/05/2025,56,0.177018633540373,0.456317149489089,1.35714285714286,0,1,0
47157005300,01/05/2025,76,0.101717305151915,0.456317149489089,0.974683544303798,0,0.933862433862434,0
47157005500,01/05/2025,92,0.175141242937853,0.456317149489089,0.738095238095238,0.0830188679245283,0.916981132075472,0
47157005600,01/05/2025,195,0.275280898876405,0.456317149489089,0.725925925925926,0.0112517580872011,0.988748241912799,0
47157005700,01/05/2025,59,0.107334525939177,0.456317149489089,1.33333333333333,0,0.958781362007169,0.010752688172043
47157005800,01/05/2025,34,0.157657657657658,0.456317149489089,0.853658536585366,0,1,0
47157005900,01/05/2025,83,0.288659793814433,0.456317149489089,1.30232558139535,0,1,0.0413793103448276
47157006000,01/05/2025,47,0.108597285067873,0.456317149489089,1.07865168539326,0,1,0
47157006200,01/05/2025,34,0.131578947368421,0.456317149489089,1.20689655172414,0.233962264150943,0.720754716981132,0
47157006300,01/05/2025,23,0.0391517128874388,0.456317149489089,1.2,0.666666666666667,0.323529411764706,0.00980392156862745
