type,GEOID,month,filings_2020,filings_avg,filings_avg_prepandemic_baseline,last_updated
Census Tract,18001030100,01/2020,0,0,0.25,NA
Census Tract,18001030100,02/2020,1,0.5,0,NA
Census Tract,18001030100,03/2020,1,0.5,0.5,NA
Census Tract,18001030100,04/2020,0,0.5,0.5,NA
Census Tract,18001030100,05/2020,0,0.5,0.5,NA
Census Tract,18001030100,06/2020,0,0,0.5,NA
Census Tract,18001030100,07/2020,0,0,0.25,NA
Census Tract,18001030100,08/2020,0,0,1.5,NA
Census Tract,18001030100,09/2020,1,0.5,1.75,NA
Census Tract,18001030100,10/2020,0,0.5,0.5,NA
Census Tract,18001030100,11/2020,0,0,0.75,NA
Census Tract,18001030100,12/2020,0,1.5,1.25,NA
Census Tract,18001030100,01/2021,0,0,0.25,NA
Census Tract,18001030100,02/2021,0,0.5,0,NA
Census Tract,18001030100,03/2021,0,0.5,0.5,NA
Census Tract,18001030100,04/2021,2,0.5,0.5,NA
Census Tract,18001030100,05/2021,0,0.5,0.5,NA
Census Tract,18001030100,06/2021,1,0,0.5,NA
Census Tract,18001030100,07/2021,0,0,0.25,NA
Census Tract,18001030100,08/2021,1,0,1.5,NA
Census Tract,18001030100,09/2021,0,0.5,1.75,NA
Census Tract,18001030100,10/2021,0,0.5,0.5,NA
Census Tract,18001030100,11/2021,0,0,0.75,NA
Census Tract,18001030100,12/2021,1,1.5,1.25,NA
Census Tract,18001030100,01/2022,0,0,0.25,NA
Census Tract,18001030100,02/2022,0,0.5,0,NA
Census Tract,18001030100,03/2022,0,0.5,0.5,NA
Census Tract,18001030100,04/2022,0,0.5,0.5,NA
Census Tract,18001030100,05/2022,0,0.5,0.5,NA
Census Tract,18001030100,06/2022,0,0,0.5,NA
Census Tract,18001030100,07/2022,0,0,0.25,NA
Census Tract,18001030100,08/2022,0,0,1.5,NA
Census Tract,18001030100,09/2022,0,0.5,1.75,NA
Census Tract,18001030100,10/2022,0,0.5,0.5,NA
Census Tract,18001030100,11/2022,0,0,0.75,NA
Census Tract,18001030100,12/2022,0,1.5,1.25,NA
Census Tract,18001030100,01/2023,0,0,0.25,NA
Census Tract,18001030100,02/2023,1,0.5,0,NA
Census Tract,18001030100,03/2023,1,0.5,0.5,NA
Census Tract,18001030100,04/2023,0,0.5,0.5,NA
Census Tract,18001030100,05/2023,0,0.5,0.5,NA
Census Tract,18001030100,06/2023,0,0,0.5,NA
Census Tract,18001030100,07/2023,0,0,0.25,NA
Census Tract,18001030100,08/2023,0,0,1.5,NA
Census Tract,18001030100,09/2023,1,0.5,1.75,NA
Census Tract,18001030100,10/2023,0,0.5,0.5,NA
Census Tract,18001030100,11/2023,0,0,0.75,NA
Census Tract,18001030100,12/2023,0,1.5,1.25,NA
Census Tract,18001030100,01/2024,0,0,0.25,NA
Census Tract,18001030100,02/2024,0,0.5,0,NA
Census Tract,18001030100,03/2024,0,0.5,0.5,NA
Census Tract,18001030100,04/2024,0,0.5,0.5,NA
Census Tract,18001030100,05/2024,1,0.5,0.5,NA
Census Tract,18001030100,06/2024,0,0,0.5,NA
Census Tract,18001030100,07/2024,0,0,0.25,NA
Census Tract,18001030100,08/2024,0,0,1.5,NA
Census Tract,18001030100,09/2024,0,0.5,1.75,NA
Census Tract,18001030100,10/2024,1,0.5,0.5,NA
Census Tract,18001030100,11/2024,0,0,0.75,NA
Census Tract,18001030100,12/2024,1,1.5,1.25,NA
Census Tract,18001030100,01/2025,0,0,0.25,NA
Census Tract,18001030100,02/2025,0,0.5,0,NA
Census Tract,18001030100,03/2025,1,0.5,0.5,NA
Census Tract,18001030100,04/2025,0,0.5,0.5,NA
Census Tract,18001030100,05/2025,0,0.5,0.5,NA
Census Tract,18001030100,06/2025,0,0,0.5,NA
Census Tract,18001030100,07/2025,1,0,0.25,NA
Census Tract,18001030100,08/2025,1,0,1.5,NA
Census Tract,18001030100,09/2025,1,0.5,1.75,NA
Census Tract,18001030100,10/2025,0,0.5,0.5,NA
Census Tract,18001030100,11/2025,0,0,0.75,NA
Census Tract,18001030100,12/2025,0,0,1,13/12/2025
Census Tract,18001030200,01/2020,1,0.5,2.75,NA
Census Tract,18001030200,02/2020,1,0.5,3,NA
Census Tract,18001030200,03/2020,2,1,1.25,NA
Census Tract,18001030200,04/2020,0,2.5,1.5,NA
Census Tract,18001030200,05/2020,0,0.5,1.75,NA
Census Tract,18001030200,06/2020,0,0.5,1.5,NA
Census Tract,18001030200,07/2020,0,1.5,1.5,NA
Census Tract,18001030200,08/2020,0,1.5,2.25,NA
Census Tract,18001030200,09/2020,2,2,4.5,NA
Census Tract,18001030200,10/2020,1,0.5,2.25,NA
Census Tract,18001030200,11/2020,2,1,1.5,NA
Census Tract,18001030200,12/2020,0,0.5,1.25,NA
Census Tract,18001030200,01/2021,1,0.5,2.75,NA
Census Tract,18001030200,02/2021,0,0.5,3,NA
Census Tract,18001030200,03/2021,1,1,1.25,NA
Census Tract,18001030200,04/2021,1,2.5,1.5,NA
Census Tract,18001030200,05/2021,4,0.5,1.75,NA
Census Tract,18001030200,06/2021,1,0.5,1.5,NA
Census Tract,18001030200,07/2021,1,1.5,1.5,NA
Census Tract,18001030200,08/2021,2,1.5,2.25,NA
Census Tract,18001030200,09/2021,0,2,4.5,NA
Census Tract,18001030200,10/2021,1,0.5,2.25,NA
Census Tract,18001030200,11/2021,1,1,1.5,NA
Census Tract,18001030200,12/2021,1,0.5,1.25,NA
Census Tract,18001030200,01/2022,0,0.5,2.75,NA
Census Tract,18001030200,02/2022,1,0.5,3,NA
