GEOID.County
55019
55031
55035
55039
55063
55079
55105
55009
55017
55023
55025
55027
55033
55055
55059
55071
55073
55075
55081
55101
55117
55119
55127
55137
55139
55141
55005
55021
55051
55057
55061
55083
55087
55095
55109
55111
55121
55131
55133
55135
55043
55053
55085
55097
55103
55067
55069
55089
55107
55113
55093
55001
55045
55125
55047
55115
55015
55003
55123
55041
55049
55099
55129
55077
55007
55029
55011
55013
55065
55091
55037
55078
