type,GEOID,month,filings_2020,filings_avg,last_updated
Census Tract,35001000110,11/2020,5,4,2022-02-12
Census Tract,35001000110,12/2020,2,3.33333333333333,2022-02-12
Census Tract,35001000110,01/2021,2,7.33333333333333,2022-02-12
Census Tract,35001000110,02/2021,4,10,2022-02-12
Census Tract,35001000110,03/2021,6,4,2022-02-12
Census Tract,35001000110,04/2021,8,6.33333333333333,2022-02-12
Census Tract,35001000110,05/2021,10,5.66666666666667,2022-02-12
Census Tract,35001000110,06/2021,5,5.33333333333333,2022-02-12
Census Tract,35001000110,07/2021,9,7,2022-02-12
Census Tract,35001000110,08/2021,14,5.33333333333333,2022-02-12
Census Tract,35001000110,09/2021,9,6.66666666666667,2022-02-12
Census Tract,35001000110,10/2021,5,8,2022-02-12
Census Tract,35001000110,11/2021,3,4,2022-02-12
Census Tract,35001000110,12/2021,8,3.33333333333333,2022-02-12
Census Tract,35001000110,01/2022,15,7.33333333333333,2022-02-12
Census Tract,35001000110,02/2022,1,0.666666666666667,2022-02-12
Census Tract,35001000111,01/2020,1,1,2022-02-12
Census Tract,35001000111,02/2020,0,0.333333333333333,2022-02-12
Census Tract,35001000111,03/2020,0,0.333333333333333,2022-02-12
Census Tract,35001000111,04/2020,0,0.333333333333333,2022-02-12
Census Tract,35001000111,05/2020,1,0.333333333333333,2022-02-12
Census Tract,35001000111,06/2020,0,1.33333333333333,2022-02-12
Census Tract,35001000111,07/2020,0,0.333333333333333,2022-02-12
Census Tract,35001000111,08/2020,0,0.333333333333333,2022-02-12
Census Tract,35001000111,09/2020,0,0.333333333333333,2022-02-12
Census Tract,35001000111,10/2020,0,0.333333333333333,2022-02-12
Census Tract,35001000111,11/2020,0,0.333333333333333,2022-02-12
Census Tract,35001000111,12/2020,0,0,2022-02-12
Census Tract,35001000111,01/2021,0,1,2022-02-12
Census Tract,35001000111,02/2021,0,0.333333333333333,2022-02-12
Census Tract,35001000111,03/2021,0,0.333333333333333,2022-02-12
Census Tract,35001000111,04/2021,0,0.333333333333333,2022-02-12
Census Tract,35001000111,05/2021,0,0.333333333333333,2022-02-12
Census Tract,35001000111,06/2021,0,1.33333333333333,2022-02-12
Census Tract,35001000111,07/2021,0,0.333333333333333,2022-02-12
Census Tract,35001000111,08/2021,1,0.333333333333333,2022-02-12
Census Tract,35001000111,09/2021,0,0.333333333333333,2022-02-12
