type,GEOID,racial_majority,week,week_date,filings_2020,filings_avg,last_updated
Zip Code,23112,White,86,2021-08-15,0,33.5,2024-07-06
Zip Code,23112,White,87,2021-08-22,0,11,2024-07-06
Zip Code,23112,White,88,2021-08-29,0,2,2024-07-06
Zip Code,23112,White,89,2021-09-05,0,1,2024-07-06
Zip Code,23112,White,90,2021-09-12,0,27,2024-07-06
Zip Code,23112,White,91,2021-09-19,0,15,2024-07-06
Zip Code,23112,White,92,2021-09-26,0,6.75,2024-07-06
Zip Code,23112,White,93,2021-10-03,0,1.25,2024-07-06
Zip Code,23112,White,94,2021-10-10,0,15,2024-07-06
Zip Code,23112,White,95,2021-10-17,0,28,2024-07-06
Zip Code,23112,White,96,2021-10-24,0,5,2024-07-06
Zip Code,23112,White,97,2021-10-31,0,1,2024-07-06
Zip Code,23112,White,98,2021-11-07,0,2.25,2024-07-06
Zip Code,23112,White,99,2021-11-14,0,46.25,2024-07-06
Zip Code,23112,White,100,2021-11-21,0,3.75,2024-07-06
Zip Code,23112,White,101,2021-11-28,0,3.25,2024-07-06
Zip Code,23112,White,102,2021-12-05,0,0.75,2024-07-06
Zip Code,23112,White,103,2021-12-12,0,31.25,2024-07-06
Zip Code,23112,White,104,2021-12-19,0,12.5,2024-07-06
Zip Code,23112,White,105,2021-12-26,0,3.25,2024-07-06
Zip Code,23112,White,106,2022-01-02,0,2.75,2024-07-06
Zip Code,23112,White,107,2022-01-09,0,7.5,2024-07-06
Zip Code,23112,White,108,2022-01-16,0,33.25,2024-07-06
Zip Code,23112,White,109,2022-01-23,0,12.25,2024-07-06
Zip Code,23112,White,110,2022-01-30,0,4.5,2024-07-06
Zip Code,23112,White,111,2022-02-06,0,1,2024-07-06
Zip Code,23112,White,112,2022-02-13,0,32.25,2024-07-06
Zip Code,23112,White,113,2022-02-20,0,13,2024-07-06
Zip Code,23112,White,114,2022-02-27,0,6.75,2024-07-06
Zip Code,23112,White,115,2022-03-06,0,1.75,2024-07-06
Zip Code,23112,White,116,2022-03-13,0,20,2024-07-06
Zip Code,23112,White,117,2022-03-20,0,15.25,2024-07-06
Zip Code,23112,White,118,2022-03-27,0,4.25,2024-07-06
Zip Code,23112,White,119,2022-04-03,0,1.25,2024-07-06
Zip Code,23112,White,120,2022-04-10,0,8,2024-07-06
Zip Code,23112,White,121,2022-04-17,0,30.25,2024-07-06
Zip Code,23112,White,122,2022-04-24,0,4.25,2024-07-06
Zip Code,23112,White,123,2022-05-01,0,0.5,2024-07-06
Zip Code,23112,White,124,2022-05-08,0,3,2024-07-06
Zip Code,23112,White,125,2022-05-15,0,33.5,2024-07-06
Zip Code,23112,White,126,2022-05-22,0,10.75,2024-07-06
Zip Code,23112,White,127,2022-05-29,0,2,2024-07-06
Zip Code,23112,White,128,2022-06-05,0,2,2024-07-06
Zip Code,23112,White,129,2022-06-12,0,23.25,2024-07-06
Zip Code,23112,White,130,2022-06-19,0,19.5,2024-07-06
Zip Code,23112,White,131,2022-06-26,0,4.5,2024-07-06
Zip Code,23112,White,132,2022-07-03,0,1,2024-07-06
Zip Code,23112,White,133,2022-07-10,0,10.5,2024-07-06
Zip Code,23112,White,134,2022-07-17,0,28,2024-07-06
Zip Code,23112,White,135,2022-07-24,0,9.25,2024-07-06
Zip Code,23112,White,136,2022-07-31,0,2.25,2024-07-06
Zip Code,23112,White,137,2022-08-07,0,1,2024-07-06
Zip Code,23112,White,138,2022-08-14,0,34.5,2024-07-06
Zip Code,23112,White,139,2022-08-21,0,11.25,2024-07-06
Zip Code,23112,White,140,2022-08-28,0,2.5,2024-07-06
Zip Code,23112,White,141,2022-09-04,0,1.25,2024-07-06
Zip Code,23112,White,142,2022-09-11,0,22,2024-07-06
Zip Code,23112,White,143,2022-09-18,0,20,2024-07-06
Zip Code,23112,White,144,2022-09-25,0,6.25,2024-07-06
Zip Code,23112,White,145,2022-10-02,0,1,2024-07-06
Zip Code,23112,White,146,2022-10-09,0,6.5,2024-07-06
Zip Code,23112,White,147,2022-10-16,0,34,2024-07-06
Zip Code,23112,White,148,2022-10-23,0,8,2024-07-06
Zip Code,23112,White,149,2022-10-30,0,1.25,2024-07-06
Zip Code,23112,White,150,2022-11-06,0,1.5,2024-07-06
Zip Code,23112,White,151,2022-11-13,0,36.75,2024-07-06
Zip Code,23112,White,152,2022-11-20,0,14,2024-07-06
Zip Code,23112,White,153,2022-11-27,0,2.75,2024-07-06
Zip Code,23112,White,154,2022-12-04,0,1.25,2024-07-06
Zip Code,23112,White,155,2022-12-11,0,16.25,2024-07-06
Zip Code,23112,White,156,2022-12-18,0,27.5,2024-07-06
Zip Code,23112,White,157,2022-12-25,0,3.25,2024-07-06
Zip Code,23112,White,158,2023-01-01,0,2.5,2024-07-06
Zip Code,23112,White,159,2023-01-08,0,7.75,2024-07-06
Zip Code,23112,White,160,2023-01-15,0,31,2024-07-06
Zip Code,23112,White,161,2023-01-22,0,12.5,2024-07-06
Zip Code,23112,White,162,2023-01-29,0,6,2024-07-06
Zip Code,23112,White,163,2023-02-05,0,1.25,2024-07-06
Zip Code,23112,White,164,2023-02-12,0,26.25,2024-07-06
Zip Code,23112,White,165,2023-02-19,0,18.75,2024-07-06
Zip Code,23112,White,166,2023-02-26,0,7.25,2024-07-06
Zip Code,23112,White,167,2023-03-05,0,1.5,2024-07-06
Zip Code,23112,White,168,2023-03-12,0,17.25,2024-07-06
Zip Code,23112,White,169,2023-03-19,0,17.75,2024-07-06
Zip Code,23112,White,170,2023-03-26,0,4.75,2024-07-06
Zip Code,23112,White,171,2023-04-02,0,1.25,2024-07-06
Zip Code,23112,White,172,2023-04-09,0,6,2024-07-06
Zip Code,23112,White,173,2023-04-16,0,27.75,2024-07-06
Zip Code,23112,White,174,2023-04-23,0,8.5,2024-07-06
Zip Code,23112,White,175,2023-04-30,0,0.75,2024-07-06
Zip Code,23112,White,176,2023-05-07,0,2.75,2024-07-06
Zip Code,23112,White,177,2023-05-14,0,33.5,2024-07-06
Zip Code,23112,White,178,2023-05-21,0,11,2024-07-06
Zip Code,23112,White,179,2023-05-28,0,1.75,2024-07-06
Zip Code,23112,White,180,2023-06-04,0,2.25,2024-07-06
Zip Code,23112,White,181,2023-06-11,0,20.5,2024-07-06
Zip Code,23112,White,182,2023-06-18,0,22.25,2024-07-06
Zip Code,23112,White,183,2023-06-25,0,4.25,2024-07-06
Zip Code,23112,White,184,2023-07-02,0,1,2024-07-06
Zip Code,23112,White,185,2023-07-09,0,10.5,2024-07-06
Zip Code,23112,White,186,2023-07-16,0,27.5,2024-07-06
Zip Code,23112,White,187,2023-07-23,0,8.25,2024-07-06
Zip Code,23112,White,188,2023-07-30,0,4,2024-07-06
Zip Code,23112,White,189,2023-08-06,0,0.75,2024-07-06
Zip Code,23112,White,190,2023-08-13,0,28.25,2024-07-06
Zip Code,23112,White,191,2023-08-20,0,16.5,2024-07-06
Zip Code,23112,White,192,2023-08-27,0,3.75,2024-07-06
Zip Code,23112,White,193,2023-09-03,0,1,2024-07-06
Zip Code,23112,White,194,2023-09-10,0,16.75,2024-07-06
Zip Code,23112,White,195,2023-09-17,0,25,2024-07-06
Zip Code,23112,White,196,2023-09-24,0,6.75,2024-07-06
Zip Code,23112,White,197,2023-10-01,0,1,2024-07-06
Zip Code,23112,White,198,2023-10-08,0,6.5,2024-07-06
Zip Code,23112,White,199,2023-10-15,0,30.5,2024-07-06
Zip Code,23112,White,200,2023-10-22,0,11.25,2024-07-06
Zip Code,23112,White,201,2023-10-29,0,1.5,2024-07-06
Zip Code,23112,White,202,2023-11-05,0,0.75,2024-07-06
Zip Code,23112,White,203,2023-11-12,0,35.25,2024-07-06
Zip Code,23112,White,204,2023-11-19,0,16.25,2024-07-06
Zip Code,23112,White,205,2023-11-26,0,2.5,2024-07-06
Zip Code,23112,White,206,2023-12-03,0,1.5,2024-07-06
Zip Code,23112,White,207,2023-12-10,0,14.25,2024-07-06
Zip Code,23112,White,208,2023-12-17,0,29.5,2024-07-06
Zip Code,23112,White,209,2023-12-24,0,3.25,2024-07-06
Zip Code,23112,White,210,2023-12-31,0,1,2024-07-06
Zip Code,23112,White,211,2024-01-07,0,6,2024-07-06
Zip Code,23112,White,212,2024-01-14,0,27,2024-07-06
Zip Code,23112,White,213,2024-01-21,0,18,2024-07-06
Zip Code,23112,White,214,2024-01-28,0,7.5,2024-07-06
Zip Code,23112,White,215,2024-02-04,0,1.25,2024-07-06
Zip Code,23112,White,216,2024-02-11,0,25,2024-07-06
Zip Code,23112,White,217,2024-02-18,0,20,2024-07-06
Zip Code,23112,White,218,2024-02-25,0,6.5,2024-07-06
Zip Code,23112,White,219,2024-03-03,0,2.5,2024-07-06
Zip Code,23112,White,220,2024-03-10,0,8,2024-07-06
Zip Code,23112,White,221,2024-03-17,0,26.5,2024-07-06
Zip Code,23112,White,222,2024-03-24,0,5.5,2024-07-06
Zip Code,23112,White,223,2024-03-31,0,0.75,2024-07-06
Zip Code,23112,White,224,2024-04-07,0,2.25,2024-07-06
Zip Code,23112,White,225,2024-04-14,0,30,2024-07-06
Zip Code,23112,White,226,2024-04-21,0,8.75,2024-07-06
Zip Code,23112,White,227,2024-04-28,0,2.5,2024-07-06
Zip Code,23112,White,228,2024-05-05,0,2.25,2024-07-06
Zip Code,23112,White,229,2024-05-12,0,26,2024-07-06
Zip Code,23112,White,230,2024-05-19,0,18.75,2024-07-06
Zip Code,23112,White,231,2024-05-26,0,2,2024-07-06
Zip Code,23112,White,232,2024-06-02,0,1.5,2024-07-06
Zip Code,23112,White,233,2024-06-09,0,13.25,2024-07-06
Zip Code,23112,White,234,2024-06-16,0,28.5,2024-07-06
Zip Code,23112,White,235,2024-06-23,0,5.25,2024-07-06
Zip Code,23112,White,236,2024-06-30,0,1.25,2024-07-06
Zip Code,23113,White,1,2019-12-29,0,0.5,2024-07-06
Zip Code,23113,White,2,2020-01-05,0,0.25,2024-07-06
Zip Code,23113,White,3,2020-01-12,0,1,2024-07-06
Zip Code,23113,White,4,2020-01-19,0,7.25,2024-07-06
