position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,VP MAPLE HILLS LLC,5100 HICKORY RD,86,0.357
2,2020-03-15,"MR ASSOCIATES, LLC",1100 E 117TH ST,63,0.357
3,2020-03-15,RIDGE AT CHESTNUT LLC,8700 HOLMES RD,62,0.357
4,2020-03-15,"KC CITADEL APARTMENTS, L.L.C.",1521 CITADEL DR,58,0.357
5,2020-03-15,HUDSON RESERVE LLC,8801 MILLWOOD DR,54,0.357
6,2020-03-15,VP KINGS QUARTERS LLC,11315 GRANDVIEW RD,54,0.357
7,2020-03-15,"BANNISTER GARDENS APARTMENTS, L.P.",9351 HARRISON ST,49,0.357
8,2020-03-15,"LA CASITA MHP, LLC",3207 OAKLAND AVE,47,0.357
9,2020-03-15,HILLCREST ESTATES APTS LLC,8304 HILLCREST RD,44,0.357
10,2020-03-15,PC VIEW HIGH LAKE LLC,9800 WILLOW AVE,43,0.357
1,2021-07-18,PLAZA CLUB CITY APTS LLC,4609 JEFFERSON ST,17,0.521
2,2021-07-18,PC VIEW HIGH LAKE LLC,10608 E 98TH TER,15,0.521
3,2021-07-18,"RIDGE AT CHESTNUT, LLC",8628 CHESTNUT CIR,11,0.521
4,2021-07-18,"AMBER SQUARE, LLC",1202 E 89TH ST,7,0.521
5,2021-07-18,"THE VILLAGE HOLDING, LLC",1200 E 83RD ST,7,0.521
6,2021-07-18,"KC WALDO HEIGHTS APTS., LLC",8111 CAMPBELL ST,7,0.521
7,2021-07-18,"MR ASSOCIATES, LLC",1111 E 117TH ST,7,0.521
8,2021-07-18,"BANNISTER GARDENS APARTMENTS, L.P.",806 E 93RD TER,7,0.521
9,2021-07-18,COLD STORAGE OWNER LLC,500 E 3RD ST,6,0.521
10,2021-07-18,"MOIN MIDWEST MHP, LLC",12817 E 47TH ST S,5,0.521
