type,GEOID,racial_majority,week,week_date,filings_2020,filings_avg,last_updated
County,10003,White,97,2021-10-31,90,137.25,2023-04-08
County,10003,White,98,2021-11-07,135,103.75,2023-04-08
County,10003,White,99,2021-11-14,119,386.5,2023-04-08
County,10003,White,100,2021-11-21,100,191.5,2023-04-08
County,10003,White,101,2021-11-28,144,166.5,2023-04-08
County,10003,White,102,2021-12-05,93,118.5,2023-04-08
County,10003,White,103,2021-12-12,164,298,2023-04-08
County,10003,White,104,2021-12-19,113,270.5,2023-04-08
County,10003,White,105,2021-12-26,125,163.5,2023-04-08
County,10003,White,106,2022-01-02,90,109,2023-04-08
County,10003,White,107,2022-01-09,124,167.25,2023-04-08
County,10003,White,108,2022-01-16,156,364,2023-04-08
County,10003,White,109,2022-01-23,178,275.25,2023-04-08
County,10003,White,110,2022-01-30,117,158.75,2023-04-08
County,10003,White,111,2022-02-06,127,105.75,2023-04-08
County,10003,White,112,2022-02-13,165,393.25,2023-04-08
County,10003,White,113,2022-02-20,196,263,2023-04-08
County,10003,White,114,2022-02-27,112,129,2023-04-08
County,10003,White,115,2022-03-06,180,84.75,2023-04-08
County,10003,White,116,2022-03-13,136,258.75,2023-04-08
County,10003,White,117,2022-03-20,187,210.25,2023-04-08
County,10003,White,118,2022-03-27,134,154.5,2023-04-08
County,10003,White,119,2022-04-03,129,81.25,2023-04-08
County,10003,White,120,2022-04-10,79,183.75,2023-04-08
County,10003,White,121,2022-04-17,284,343.5,2023-04-08
County,10003,White,122,2022-04-24,118,217,2023-04-08
County,10003,White,123,2022-05-01,95,104.5,2023-04-08
County,10003,White,124,2022-05-08,108,117,2023-04-08
County,10003,White,125,2022-05-15,176,382.25,2023-04-08
County,10003,White,126,2022-05-22,164,252.75,2023-04-08
County,10003,White,127,2022-05-29,131,129,2023-04-08
County,10003,White,128,2022-06-05,112,106.25,2023-04-08
County,10003,White,129,2022-06-12,109,326.75,2023-04-08
County,10003,White,130,2022-06-19,157,288.25,2023-04-08
County,10003,White,131,2022-06-26,118,231.75,2023-04-08
County,10003,White,132,2022-07-03,182,81.5,2023-04-08
County,10003,White,133,2022-07-10,21,206.5,2023-04-08
County,10003,White,134,2022-07-17,220,383.25,2023-04-08
County,10003,White,135,2022-07-24,149,232.5,2023-04-08
County,10003,White,136,2022-07-31,197,135,2023-04-08
County,10003,White,137,2022-08-07,173,100.25,2023-04-08
County,10003,White,138,2022-08-14,179,435.5,2023-04-08
County,10003,White,139,2022-08-21,190,275.75,2023-04-08
County,10003,White,140,2022-08-28,145,170,2023-04-08
County,10003,White,141,2022-09-04,90,101,2023-04-08
County,10003,White,142,2022-09-11,139,262.5,2023-04-08
County,10003,White,143,2022-09-18,134,409.5,2023-04-08
County,10003,White,144,2022-09-25,238,221,2023-04-08
County,10003,White,145,2022-10-02,157,125,2023-04-08
County,10003,White,146,2022-10-09,100,116.75,2023-04-08
County,10003,White,147,2022-10-16,168,423,2023-04-08
County,10003,White,148,2022-10-23,208,251.5,2023-04-08
County,10003,White,149,2022-10-30,126,153.75,2023-04-08
County,10003,White,150,2022-11-06,72,94.25,2023-04-08
County,10003,White,151,2022-11-13,132,363.25,2023-04-08
County,10003,White,152,2022-11-20,161,207.5,2023-04-08
County,10003,White,153,2022-11-27,146,173.75,2023-04-08
County,10003,White,154,2022-12-04,181,116.5,2023-04-08
County,10003,White,155,2022-12-11,130,267.25,2023-04-08
County,10003,White,156,2022-12-18,95,319.25,2023-04-08
County,10003,White,157,2022-12-25,251,164.75,2023-04-08
County,10003,White,158,2023-01-01,168,98.25,2023-04-08
County,10003,White,159,2023-01-08,131,132.25,2023-04-08
County,10003,White,160,2023-01-15,250,347.25,2023-04-08
County,10003,White,161,2023-01-22,211,310.5,2023-04-08
County,10003,White,162,2023-01-29,174,179.25,2023-04-08
County,10003,White,163,2023-02-05,159,98.75,2023-04-08
County,10003,White,164,2023-02-12,226,345.75,2023-04-08
County,10003,White,165,2023-02-19,264,298,2023-04-08
County,10003,White,166,2023-02-26,132,143,2023-04-08
County,10003,White,167,2023-03-05,81,91.5,2023-04-08
County,10003,White,168,2023-03-12,194,247,2023-04-08
County,10003,White,169,2023-03-19,187,213.5,2023-04-08
County,10003,White,170,2023-03-26,108,161.5,2023-04-08
County,10003,White,171,2023-04-02,34,80.75,2023-04-08
County,sealed,,1,2019-12-29,1,0,2023-04-08
County,sealed,,2,2020-01-05,3,0.75,2023-04-08
County,sealed,,3,2020-01-12,1,2,2023-04-08
County,sealed,,4,2020-01-19,0,0.75,2023-04-08
County,sealed,,5,2020-01-26,0,0.5,2023-04-08
County,sealed,,6,2020-02-02,0,0.75,2023-04-08
County,sealed,,7,2020-02-09,1,1.25,2023-04-08
County,sealed,,8,2020-02-16,1,2.25,2023-04-08
County,sealed,,9,2020-02-23,0,0.25,2023-04-08
County,sealed,,10,2020-03-01,0,0.5,2023-04-08
County,sealed,,11,2020-03-08,1,0.75,2023-04-08
County,sealed,,12,2020-03-15,3,0.75,2023-04-08
County,sealed,,13,2020-03-22,0,2.25,2023-04-08
County,sealed,,14,2020-03-29,0,1.25,2023-04-08
County,sealed,,15,2020-04-05,0,1.5,2023-04-08
County,sealed,,16,2020-04-12,1,2.25,2023-04-08
County,sealed,,17,2020-04-19,0,2,2023-04-08
County,sealed,,18,2020-04-26,0,0.5,2023-04-08
County,sealed,,19,2020-05-03,0,1.75,2023-04-08
County,sealed,,20,2020-05-10,0,2.75,2023-04-08
County,sealed,,21,2020-05-17,0,1.5,2023-04-08
County,sealed,,22,2020-05-24,0,0.25,2023-04-08
County,sealed,,23,2020-05-31,0,1.5,2023-04-08
County,sealed,,24,2020-06-07,0,1,2023-04-08
County,sealed,,25,2020-06-14,0,1,2023-04-08
County,sealed,,26,2020-06-21,0,1,2023-04-08
County,sealed,,27,2020-06-28,0,2.25,2023-04-08
County,sealed,,28,2020-07-05,0,0.5,2023-04-08
County,sealed,,29,2020-07-12,0,1.25,2023-04-08
County,sealed,,30,2020-07-19,0,1.5,2023-04-08
County,sealed,,31,2020-07-26,0,1,2023-04-08
County,sealed,,32,2020-08-02,0,0.75,2023-04-08
County,sealed,,33,2020-08-09,1,1.75,2023-04-08
County,sealed,,34,2020-08-16,0,1.25,2023-04-08
County,sealed,,35,2020-08-23,2,0.75,2023-04-08
County,sealed,,36,2020-08-30,2,0,2023-04-08
County,sealed,,37,2020-09-06,0,1,2023-04-08
County,sealed,,38,2020-09-13,1,1.75,2023-04-08
County,sealed,,39,2020-09-20,1,0.75,2023-04-08
County,sealed,,40,2020-09-27,2,1.25,2023-04-08
County,sealed,,41,2020-10-04,0,1.25,2023-04-08
County,sealed,,42,2020-10-11,0,2.75,2023-04-08
County,sealed,,43,2020-10-18,1,0.75,2023-04-08
County,sealed,,44,2020-10-25,2,0.5,2023-04-08
County,sealed,,45,2020-11-01,0,0.75,2023-04-08
County,sealed,,46,2020-11-08,1,0.5,2023-04-08
County,sealed,,47,2020-11-15,5,2,2023-04-08
County,sealed,,48,2020-11-22,0,0,2023-04-08
County,sealed,,49,2020-11-29,0,1,2023-04-08
County,sealed,,50,2020-12-06,1,1,2023-04-08
County,sealed,,51,2020-12-13,1,2.75,2023-04-08
County,sealed,,52,2020-12-20,0,1.25,2023-04-08
County,sealed,,53,2020-12-27,1,0.25,2023-04-08
County,sealed,,54,2021-01-03,1,0.75,2023-04-08
County,sealed,,55,2021-01-10,1,1.5,2023-04-08
County,sealed,,56,2021-01-17,0,0.75,2023-04-08
County,sealed,,57,2021-01-24,0,1,2023-04-08
County,sealed,,58,2021-01-31,1,0.25,2023-04-08
County,sealed,,59,2021-02-07,0,1,2023-04-08
County,sealed,,60,2021-02-14,0,1.5,2023-04-08
County,sealed,,61,2021-02-21,0,1.75,2023-04-08
County,sealed,,62,2021-02-28,1,0.5,2023-04-08
County,sealed,,63,2021-03-07,0,0.75,2023-04-08
County,sealed,,64,2021-03-14,0,0.75,2023-04-08
County,sealed,,65,2021-03-21,1,1.75,2023-04-08
County,sealed,,66,2021-03-28,0,1.5,2023-04-08
County,sealed,,67,2021-04-04,0,1.5,2023-04-08
County,sealed,,68,2021-04-11,0,1.5,2023-04-08
County,sealed,,69,2021-04-18,0,2.25,2023-04-08
County,sealed,,70,2021-04-25,0,1,2023-04-08
County,sealed,,71,2021-05-02,2,1.75,2023-04-08
County,sealed,,72,2021-05-09,0,2.5,2023-04-08
County,sealed,,73,2021-05-16,0,1.75,2023-04-08
County,sealed,,74,2021-05-23,0,0.5,2023-04-08
County,sealed,,75,2021-05-30,1,1,2023-04-08
County,sealed,,76,2021-06-06,0,1.25,2023-04-08
County,sealed,,77,2021-06-13,3,1.25,2023-04-08
County,sealed,,78,2021-06-20,0,0.75,2023-04-08
County,sealed,,79,2021-06-27,1,2.5,2023-04-08
County,sealed,,80,2021-07-04,1,0.5,2023-04-08
County,sealed,,81,2021-07-11,0,1,2023-04-08
