month,month_last_day,month_filings,avg_filings,percentage_diff
01/2020,,5352,4069,1.31531088719587
01/2021,,3237,4069,0.795527156549521
01/2022,,4289,4069,1.05406733841239
01/2023,,5796,4069,1.42442860653723
02/2020,,4605,3328,1.38371394230769
02/2021,,3419,3296.5,1.0371606249052
02/2022,,4162,3296.5,1.26255119065676
02/2023,,4977,3296.5,1.50978310329137
03/2020,,2752,3057,0.900228982662741
03/2021,,3315,3057,1.08439646712463
03/2022,,4468,3057,1.46156362446843
03/2023,,5159,3057,1.68760222440301
04/2020,,578,3085.33333333333,0.18733794295592
04/2021,,3030,3085.33333333333,0.982065687121867
04/2022,,2624,3085.33333333333,0.8504753673293
04/2023,,4558,3085.33333333333,1.47731201382887
05/2020,,941,3494.16666666667,0.269305986167422
05/2021,,2421,3494.16666666667,0.692869067493442
05/2022,,2871,3494.16666666667,0.821655139518245
05/2023,,5201,3494.16666666667,1.48848080133556
06/2020,,1231,3793.66666666667,0.324488182057816
06/2021,,3064,3793.66666666667,0.807661892628064
06/2022,,2815,3793.66666666667,0.742026183990862
06/2023,,5300,3793.66666666667,1.39706528424567
07/2020,,1063,3923.5,0.270931566203645
07/2021,,3110,3923.5,0.792659615139544
07/2022,,5223,3923.5,1.33120937938066
07/2023,,7438,3923.5,1.89575634000255
08/2020,,3339,4036.83333333333,0.827133479212254
08/2021,,3360,4036.83333333333,0.83233557656579
08/2022,,6523,4036.83333333333,1.61587052557698
08/2023,,7750,4036.83333333333,1.91982164237645
09/2020,,3990,3546.83333333333,1.12494713594286
09/2021,,3722,3546.83333333333,1.04938677693717
09/2022,,5611,3546.83333333333,1.58197453127203
09/2023,,6999,3546.83333333333,1.97330952492834
10/2020,,3822,4105.33333333333,0.930984085742124
10/2021,,4075,4105.33333333333,0.992611237414745
10/2022,,5579,4105.33333333333,1.3589639493342
10/2023,,5566,4105.33333333333,1.35579733679766
11/2020,,2364,3381.33333333333,0.699132492113565
11/2021,,4038,3381.33333333333,1.19420347003155
11/2022,,4920,3381.33333333333,1.45504731861199
11/2023,,4940,3381.33333333333,1.46096214511041
12/2020,,1862,3531.16666666667,0.52730447916175
12/2021,,3944,3531.16666666667,1.11691131354132
12/2022,,5735,3531.16666666667,1.62410912351914
12/2023,,5143,3531.16666666667,1.45645914947845
