date,city,routine,infrequent,routine_buildings,infrequent_buildings
01/01/2004,Cleveland,0.01021889305,0.04170637652,116,18889
01/01/2005,Cleveland,0.008940041393,0.03785451093,116,18889
01/01/2006,Cleveland,0.009033805191,0.037581468,116,18889
01/01/2007,Cleveland,0.01164469651,0.0530433825,116,18889
01/01/2008,Cleveland,0.01209378684,0.04811062884,116,18889
01/01/2009,Cleveland,0.01084266307,0.04229701605,116,18889
01/01/2010,Cleveland,0.0105559717,0.04309998973,116,18889
01/01/2011,Cleveland,0.01155056864,0.04559936028,116,18889
01/01/2012,Cleveland,0.01168855484,0.04769769015,116,18889
01/01/2013,Cleveland,0.01044595515,0.04430454264,116,18889
