position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,CINNAMON TREE APARTMENTS,7220 CENTRAL AVE SE,123,0.495
2,2020-03-15,SUN POINTE PARK,4035 MONTGOMERY BLVD NE,121,0.495
3,2020-03-15,ARIOSO APARTMENTS,7303 MONTGOMERY BLVD NE,119,0.495
4,2020-03-15,THE ARBORS APARTMENTS,4425 SHEPARD RD NE,81,0.495
5,2020-03-15,AZTEC VILLAGE APARTMENTS,4321 MONTGOMERY BLVD NE,79,0.495
6,2020-03-15,ARROWHEAD POINTE APARTMENTS,12021 SKYLINE RD NE,78,0.495
7,2020-03-15,INDIGO PARK APARTMENTS,7600 MONTGOMERY BLVD NE,78,0.495
8,2020-03-15,THE VILLAS @ UPTOWN,6220 INDIAN SCHOOL RD NE,68,0.495
9,2020-03-15,THE VIEW ABQ,3003 TRANSPORT ST SE,63,0.495
10,2020-03-15,RISING PHOENIX APARTMENTS,900 CONTINENTAL LOOP SE,58,0.495
1,2021-07-11,CINNAMON TREE APARTMENTS,7220 CENTRAL AVE SE,32,0.613
2,2021-07-11,THE VIEW ABQ,3003 TRANSPORT ST SE,20,0.613
3,2021-07-11,PAC 7303 MONTGOMERY LP,7303 MONTGOMERY BLVD NE,20,0.613
4,2021-07-11,SRI KANAKA DURGA LLC,12021 SKYLINE RD NE,18,0.613
5,2021-07-11,INDIGO PARK APARTMENTS,7600 MONTGOMERY BLVD NE,18,0.613
6,2021-07-11,SUN POINTE PARK,4041 MONTGOMERY BLVD NE,14,0.613
7,2021-07-11,TIERRA WEST MOBILE HOME COMMUNITY,224 ATRISCO VISTA BLVD SW,13,0.613
8,2021-07-11,THE RETREAT AT CANDELARIA,3100 JANE PL NE,13,0.613
9,2021-07-11,SAN MIGUEL DEL BOSQUE,9180 COORS BLVD NW,13,0.613
10,2021-07-11,CANON DE ARROWHEAD,1700 MARKET ST NW,11,0.613
