position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,LINK REAL ESTATE GROUP LLC,4619 REFUGEE RD,225,0.291
2,2020-03-15,LATITUDE 25 LLC,529 SAWYER BLVD,223,0.291
3,2020-03-15,LINK REAL ESTATE GROUP LLC,1745 S 20TH ST,136,0.291
4,2020-03-15,RG TOWNHOMES LLC,628 E FRANSHIRE,129,0.291
5,2020-03-15,5812 INVESTMENT GROUP LLC,1178 FOUNTAIN LN,124,0.291
6,2020-03-15,LINK REAL ESTATE GROUP LLC,4525 LAKE SIDE N,118,0.291
7,2020-03-15,5812 INVESTMENT GROUP LLC,2093 LAKE CLUB DR,115,0.291
8,2020-03-15,HORIZONS ASSET MANAGEMENT LLC,4039 VINESHIRE DR,101,0.291
9,2020-03-15,RG TOWNHOMES LLC,4356 LEESBURG CT N,88,0.291
10,2020-03-15,5812 INVESTMENT GROUP LLC,6885 GREENLEAF DR,83,0.291
1,2021-06-27,LINK REAL ESTATE GROUP LLC,4591 REFUGEE RD,37,0.296
2,2021-06-27,BEXLEY PROJECT 1 LLC,3110 E LIVINGSTON AVE,25,0.296
3,2021-06-27,5 WEST GROUP LLC,1490 W RICH ST,21,0.296
4,2021-06-27,COLONIAL PROPERTY HOLDINGS LLC,1239 BROOKWAY RD,21,0.296
5,2021-06-27,5812 INVESTMENT GROUP LLC,1178 FOUNTAIN LN,20,0.296
6,2021-06-27,LINK REAL ESTATE GROUP LLC,693 E WELCH AVE,20,0.296
7,2021-06-27,FORESITE REALTY OH LLC,887 E DUBLIN-GRANVILLE RD,19,0.296
8,2021-06-27,HORIZONS ASSET MANAGEMENT LLC,1809 ELAINE RD,15,0.296
9,2021-06-27,LINK REAL ESTATE GROUP LLC,2391 SHORE BLVD E,15,0.296
10,2021-06-27,LINK REAL ESTATE GROUP LLC,2844 CITIZENS PL,13,0.296
