id,month_date,month_filings,month_rate,month_rate_scale_max,month_diff,pct_white,pct_black,pct_latinx
45019000100,01/12/2023,53,0.174917491749175,0.377373171894996,0.345047923322684,0.815181518151815,0.184818481848185,0
45019000200,01/12/2023,3,0.0348837209302326,0.377373171894996,0.0930232558139535,1,0,0
45019000400,01/12/2023,57,0.0668229777256741,0.377373171894996,0.339181286549708,0.765533411488863,0.175849941383353,0.018757327080891
45019000500,01/12/2023,1,0.0025974025974026,0.377373171894996,0.163265306122449,0.935064935064935,0.0181818181818182,0.0467532467532468
45019000600,01/12/2023,5,0.0106157112526539,0.377373171894996,0.727272727272727,0.651804670912951,0.0403397027600849,0
45019000700,01/12/2023,10,0.0162337662337662,0.377373171894996,0.257309941520468,0.728896103896104,0.207792207792208,0.0113636363636364
45019000900,01/12/2023,67,0.16144578313253,0.377373171894996,0.386363636363636,0.607228915662651,0.359036144578313,0.0168674698795181
45019001000,01/12/2023,29,0.0389261744966443,0.377373171894996,0.40133779264214,0.746308724832215,0.166442953020134,0.0778523489932886
45019001100,01/12/2023,93,0.139221556886228,0.377373171894996,0.348794063079777,0.480538922155689,0.480538922155689,0.0149700598802395
45019001500,01/12/2023,28,0.0942760942760943,0.377373171894996,0.613756613756614,0.474747474747475,0.525252525252525,0
45019001901,01/12/2023,33,0.0814814814814815,0.377373171894996,0.607142857142857,0.797530864197531,0.103703703703704,0.037037037037037
45019001902,01/12/2023,56,0.0419161676646707,0.377373171894996,0.398601398601399,0.705838323353293,0.101047904191617,0.162425149700599
45019002002,01/12/2023,30,0.0423728813559322,0.377373171894996,0.396166134185304,0.822033898305085,0.111581920903955,0
45019002004,01/12/2023,5,0.034965034965035,0.377373171894996,0.585365853658537,1,0,0
45019002005,01/12/2023,7,0.0234113712374582,0.377373171894996,0.5,1,0,0
45019002006,01/12/2023,17,0.0532915360501567,0.377373171894996,0.336448598130841,0.592476489028213,0.366771159874608,0.0219435736677116
45019002007,01/12/2023,4,0.0677966101694915,0.377373171894996,1.33333333333333,1,0,0
45019002008,01/12/2023,33,0.0260252365930599,0.377373171894996,0.430379746835443,0.787854889589905,0.192429022082019,0
45019002009,01/12/2023,27,0.0340479192938209,0.377373171894996,0.72258064516129,0.880201765447667,0.119798234552333,0
45019002103,01/12/2023,8,0.0473372781065089,0.377373171894996,0.181818181818182,0.520710059171598,0.355029585798817,0.124260355029586
45019002104,01/12/2023,14,0.7,0.377373171894996,1.3953488372093,0.6,0.4,0
45019002105,01/12/2023,0,0,0.377373171894996,0.4,0.907407407407407,0.0925925925925926,0
45019002106,01/12/2023,11,0.0447154471544715,0.377373171894996,0.705882352941177,0.605691056910569,0.126016260162602,0
45019002107,01/12/2023,76,0.0885780885780886,0.377373171894996,0.663793103448276,0.62004662004662,0.251748251748252,0.128205128205128
45019002108,01/12/2023,12,0.0731707317073171,0.377373171894996,0.448275862068966,0.896341463414634,0.103658536585366,0
45019002200,01/12/2023,12,0.0952380952380952,0.377373171894996,1.33333333333333,0.19047619047619,0.80952380952381,0
45019002300,01/12/2023,6,0.0714285714285714,0.377373171894996,0.848484848484848,0.642857142857143,0.25,0.107142857142857
45019002401,01/12/2023,9,0.087378640776699,0.377373171894996,0.714285714285714,0.58252427184466,0.41747572815534,0
45019002402,01/12/2023,15,0.12,0.377373171894996,0.56140350877193,0.296,0.656,0.048
45019002503,01/12/2023,12,0.0655737704918033,0.377373171894996,0.626506024096386,0.0273224043715847,0.972677595628415,0
45019002504,01/12/2023,64,0.183381088825215,0.377373171894996,0.825396825396825,0.449856733524355,0.29512893982808,0.255014326647564
45019002604,01/12/2023,90,0.152027027027027,0.377373171894996,0.435406698564593,0.58445945945946,0.305743243243243,0.0574324324324324
45019002605,01/12/2023,159,0.268581081081081,0.377373171894996,0.966767371601209,0.564189189189189,0.266891891891892,0.0591216216216216
45019002606,01/12/2023,6,0.0952380952380952,0.377373171894996,3.11111111111111,0.825396825396825,0,0.174603174603175
45019002611,01/12/2023,211,0.237612612612613,0.377373171894996,1.17451523545706,0.756756756756757,0.158783783783784,0.0135135135135135
45019002612,01/12/2023,740,0.362745098039216,0.377373171894996,0.91736304549675,0.583823529411765,0.377941176470588,0.0362745098039216
45019002613,01/12/2023,73,0.0503101309441764,0.377373171894996,0.390501319261214,0.863542384562371,0.0696071674707099,0.0385940730530669
45019002614,01/12/2023,91,0.119894598155468,0.377373171894996,0.649029982363316,0.695652173913044,0.208168642951252,0.0368906455862978
45019002701,01/12/2023,75,0.0750750750750751,0.377373171894996,0.415300546448087,0.391391391391391,0.433433433433433,0.004004004004004
45019002702,01/12/2023,293,0.280920421860019,0.377373171894996,0.52058432934927,0.378715244487057,0.621284755512944,0.0115052732502397
45019002801,01/12/2023,63,0.13695652173913,0.377373171894996,0.684491978609626,0.702173913043478,0.256521739130435,0
45019002802,01/12/2023,7,0.0583333333333333,0.377373171894996,0.41025641025641,0.783333333333333,0.216666666666667,0
45019002900,01/12/2023,15,0.0317124735729387,0.377373171894996,0.303317535545024,0.930232558139535,0.0697674418604651,0
45019003000,01/12/2023,27,0.0625,0.377373171894996,2.38297872340426,0.884259259259259,0,0
45019003104,01/12/2023,256,0.192626034612491,0.377373171894996,0.39266615737204,0.220466516177577,0.443942814145974,0.325056433408578
45019003105,01/12/2023,277,0.296573875802998,0.377373171894996,0.85935085007728,0.15524625267666,0.338329764453961,0.473233404710921
45019003106,01/12/2023,211,0.203667953667954,0.377373171894996,0.63001485884101,0.428571428571429,0.456563706563707,0.0299227799227799
