site_id,serial_share,filings_pandemic,filings_past_year,filings_past_month,filings_ytd,filings_pandemic_pct_hist,filings_past_year_pct_hist,filings_past_month_pct_hist,filings_ytd_pct_hist,median_rent,renter_hh,hhs_threatened_rate,eviction_filing_rate,site,latest_update
45019,0.3765296517100722,43298,10483,817,3611,0.8228899405135223,1.0187560738581147,1.0988567585743108,0.3508550330353673,1665,65685,0.0970388977696582,0.15959503691862678,charleston,2025-05-01
39035,0.1680335338071806,25625,4470,542,862,0.8515410816648666,0.9458315700380872,1.019755409219191,0.13950477423531316,939,95834,0.05725525387649477,0.06219087171567502,cleveland,2025-02-01
39049,0.280949599022784,102744,25521,1945,8655,0.8134015231882452,1.034474372225938,1.109843081312411,0.34986660198884306,1287,274822,0.06851343778882331,0.09286374453282488,columbus,2025-05-01
09,0.16124678663239075,81256,19679,1373,6643,0.7815293761211113,0.9684785550825562,0.8892487046632125,0.3265817806400865,1463,494848,0.03144399896533885,0.03976776707190895,connecticut,2025-05-01
09001,0.17080125463358997,16821,3959,278,1333,0.7651473799126638,0.9218768191873327,0.7875354107648725,0.3101442531409958,1644,118307,0.02964321637772913,0.03346378489861124,bridgeport,2025-05-01
09003,0.14649956784788246,26374,6574,439,2182,0.7708540363593851,0.9834692198369362,0.9051546391752577,0.32618282382838776,1221,121667,0.03803825194999465,0.05403272867745568,hartford,2025-05-01
48113,0.211810670595017,165523,37454,2863,13116,0.8693366386294226,1.0083594707014687,0.9696867061812023,0.35256169023170797,1597,493482,0.06327687737344018,0.07589739848667226,dallas,2025-05-01
10,0.33773234200743496,52144,11755,874,3857,0.799307136342385,0.9233367370984211,1.0380047505938241,0.3021069945954414,1358,108917,0.0987908223693271,0.10792621904753161,delaware,2025-05-01
48439,0.24406253729562,182304,46528,3286,15211,0.7658158721623847,0.9994415087854964,0.9428981348637016,0.32641280672954154,1618,458787,0.07305350849086831,0.10141525370160881,fortworth,2025-05-01
48201,0.23435548152995064,327540,76337,5437,26067,0.7917264417632435,0.9437136852515762,0.9038317679328401,0.3218823703740291,1403,848172,0.07928108921303698,0.09000179208934037,houston,2025-05-01
45045,0.3601909877648463,63908,14672,1076,4824,0.8409887947994183,0.988013468013468,0.9061052631578947,0.32472821513917405,1295,72371,0.13890923159829213,0.20273313896450235,greenville,2025-05-01
12103,0.08799266727772685,84004,17424,1392,5506,0.8422002436248979,0.9505728314238953,0.9307923771313942,0.2778282369563024,1764,368395,0.03553794161158539,0.051596791487398035,tampa,2025-04-01
18,0.20304559180967813,316642,70709,5068,22393,0.8393626355565805,0.9610988025172962,0.8664729013506582,0.30383576884981206,1044,814438,0.06668156446531227,0.08681937728838782,indiana,2025-05-01
18141,0.1753410813542193,12010,2829,203,844,0.811705866450392,0.977370875798929,1.0124688279301746,0.29133586468760786,1077,33066,0.05984999697574548,0.0855561604064598,southbend,2025-05-01
12031,0.1623199688594784,61197,13919,1008,4932,0.8369507241619826,0.9744810445619071,1.0110330992978938,0.3442931937172775,1516,177265,0.07246213296477026,0.07852085860152878,jacksonville,2025-05-01
47157,0.2750867169965313,118250,24237,729,4734,0.7848980959998407,0.8755192717552288,0.3543134872417983,0.15821134950872268,1226,168231,0.1456628088758909,0.15716701224128513,memphis,2025-04-01
29,0.15278568645667875,162924,37277,3010,12457,0.8602952241903248,1.009259509949912,1.0579964850615113,0.3367575896839772,1019,798230,0.0418012352329529,0.04669957280483069,missouri,2025-05-01
29095,0.16131787675411838,36676,8550,684,2775,0.8060925085442378,0.964684644025725,0.9654199011997178,0.31253519540488794,1197,122597,0.06684502883431079,0.06974069512304543,kansascity,2025-05-01
29510,0.16521988664897053,63077,15638,1251,5272,0.7938507620473967,1.0091962182569132,1.0683176771989753,0.3397016656464448,1129,201627,0.06913260624817112,0.07755905707072962,stlouis,2025-05-01
44007,0.19754623044096728,24715,4443,362,1064,0.8164310253699789,0.7999639899171768,0.6395759717314488,0.17706773173572973,1369,111239,0.05055780796303454,0.043572030411178554,providence,2025-04-01
44,0.2031928301358353,32530,5912,492,1443,0.8305249183006536,0.8228825944742153,0.702355460385439,0.18558292071249438,1365,159990,0.04463403962747671,0.04031161038473995,rhode_island,2025-04-01
55,0.18513375536042476,119319,25060,2087,8154,0.8555479869501309,0.9210526315789473,0.9477747502270663,0.2993996585213608,1071,800791,0.03057601796223983,0.03129405800015235,wisconsin,2025-05-01
55079,0.24496701065809504,58106,11467,1057,3551,0.850591033851784,0.8605951442830876,0.9587301587301588,0.26630169860137237,1084,188131,0.0628391918397287,0.06095220883320665,milwaukee,2025-05-01
48453,,39036,13672,1112,5134,0.6813159961602234,1.2214777092825873,1.3602446483180428,0.45782058141608706,1770,291290,,0.04693604311854166,austin,2025-05-01
47037,,55715,14629,973,4983,0.7774638060352346,1.0451898688957955,0.9529872673849168,0.35540815234834705,1620,161248,,0.09072360587418138,nashville,2025-05-01
35001,,37038,8736,621,2722,0.781458350915689,0.9438202247191011,0.8358008075370121,0.2939524838012959,1206,100491,,0.08693315819327103,albuquerque,2025-05-01
39061,,59227,13645,1024,4357,0.8746575696490412,1.0305891238670695,1.0882040382571732,0.32853264967576534,1053,151115,,0.09029547033716044,cincinnati,2025-05-01
12001,,8747,1530,190,0,0.7724643440632313,0.9870967741935484,1.1275964391691395,0,1370,53954,,0.04253623457018942,gainesville,2025-01-01
12086,,74738,12132,1401,0,0.8227251711763282,0.9699780131920848,0.9615648592999314,0,1864,453324,,0.040143473542102334,miami,2025-01-01
36061,,481198,116653,9725,40120,0.7449306346256406,0.9268031080673097,0.9290661571530929,0.3181374842398243,1812,2291001,,0.0509179175391019,newyork,2025-05-01
42101,,54806,13314,916,4684,0.8122536087974628,1.0084071801863213,0.9902702702702703,0.35470069289311273,1390,331415,,0.0401731967472806,philadelphia,2025-05-01
04013,,326167,86045,6314,26924,0.7493208449206092,1.0138745691813709,0.9647795859118343,0.31702707635425925,1766,606114,,0.14196174317042667,phoenix,2025-05-01
32003,,225758,43642,3394,11401,0.8448600089441589,0.8911350015824885,0.8758709677419355,0.2149773256526535,1654,371427,,0.12817984299863647,lasvegas,2025-04-01
22071,,23290,4619,550,947,0.7975481131429354,0.986544211875267,0.9674582233948988,0.1587993627903077,1203,68383,,0.09006137002861335,neworleans,2025-02-01
18097,,115221,25175,1768,7890,0.8452895799632454,0.9481037924151696,0.8143712574850299,0.2963380281690141,1187,174089,,0.14460994089230222,indianapolis,2025-05-01
12099,,34794,6185,731,0,0.8002575985832078,1.002187474682006,0.9631093544137023,0,1982,170772,,0.05432682172721524,palmbeach,2025-01-01
42,,468844,113854,8082,36276,0.7988597551676928,0.9927627219141293,0.9456502661908384,0.31575236644543575,1197,1626438,,0.07000205356736623,pennsylvania,2025-05-01
42003,,51016,14292,1043,4522,0.726118547933702,1.0418428342323953,0.9577594123048668,0.328992360858494,1154,187052,,0.07640656074246734,pittsburgh,2025-05-01
35,,60880,13977,1015,4461,0.8045460552398572,0.944615280640692,0.9111310592459605,0.30131712259371835,1084,263167,,0.05311076236762208,newmexico,2025-05-01
12011,,61910,6364,1679,0,0.8176391346839589,0.9971014492753624,0.9914378506052554,0,1961,273695,,0.06975648075412412,fortlauderdale,2024-09-01
27053,,45007,12931,926,4640,0.6709651450550106,0.9884952031494859,0.9531652084405559,0.3535642168628796,1421,300194,,0.043075477857652054,minneapolis,2025-05-01
27,,85088,22808,1671,8337,0.7094361646690985,0.9760356042451215,0.8912,0.3556209610339753,1264,656737,,0.034729275189307136,minnesota,2025-05-01
51760,,73760,21038,1292,6652,0.6963581864098751,1.02037055000485,0.892573402417962,0.3213526570048309,1494,87921,,0.2392829926866164,richmond,2025-05-01
51,,503809,138831,10189,46502,0.7168000386991122,1.0124744294252135,1.0336292163327416,0.3383883221027201,1567,1095593,,0.12671767709359225,virginia,2025-05-01
10003,,34221,7708,589,2484,0.7998924781450143,0.9227822339279301,1.0660633484162896,0.2961549925484352,1393,67569,,0.11407598158919031,wilmington,2025-05-01
0,,4448409,1050023,68949,331907,0.787857867426941,0.975161327620561,0.9629748603351955,0.30018834861451843,,14734516,,0.07352269536052111,all_sites,2025-05-01
