group,month,month_last_day,month_filings,avg_filings,month_diff,month_filings_imputed,baseline_share
White,09/2023,,4070,3461.33333333333,1.17584745762712,0.193386789379378,0.280466668943378
Black,09/2023,,8813,10710.3333333333,0.822850206965236,0.490643155779986,0.325005549484325
Latinx,09/2023,,8727,10631.3333333333,0.820875399761711,0.260534126079166,0.306389163991531
Other,09/2023,,16202,15501.6666666667,1.04517793785614,0.0554359287614703,
Female,09/2023,,,,,0.589184273408788,0.513789242070665
