type,GEOID,racial_majority,week,week_date,filings_2020,filings_avg
Zip Code,10003,White,2,2020-01-05,8,11.3333333333333
Zip Code,10003,White,3,2020-01-12,7,16.3333333333333
Zip Code,10003,White,4,2020-01-19,2,13
Zip Code,10003,White,5,2020-01-26,9,8
Zip Code,10003,White,6,2020-02-02,4,12.3333333333333
Zip Code,10003,White,7,2020-02-09,3,7
Zip Code,10003,White,8,2020-02-16,6,6.66666666666667
Zip Code,10003,White,9,2020-02-23,9,9.66666666666667
Zip Code,10003,White,10,2020-03-01,11,12.3333333333333
Zip Code,10003,White,11,2020-03-08,8,10
Zip Code,10003,White,12,2020-03-15,3,10.3333333333333
Zip Code,10003,White,13,2020-03-22,0,9
Zip Code,10003,White,14,2020-03-29,0,10.6666666666667
Zip Code,10003,White,15,2020-04-05,0,10.6666666666667
Zip Code,10003,White,16,2020-04-12,0,12.6666666666667
Zip Code,10003,White,17,2020-04-19,0,10.6666666666667
Zip Code,10003,White,18,2020-04-26,0,9.33333333333333
Zip Code,10003,White,19,2020-05-03,0,10.6666666666667
Zip Code,10003,White,20,2020-05-10,0,10.6666666666667
Zip Code,10003,White,21,2020-05-17,0,11.6666666666667
Zip Code,10003,White,22,2020-05-24,0,6.33333333333333
Zip Code,10003,White,23,2020-05-31,0,10.3333333333333
Zip Code,10003,White,24,2020-06-07,0,13
Zip Code,10003,White,25,2020-06-14,0,8
Zip Code,10003,White,26,2020-06-21,0,4.33333333333333
Zip Code,10003,White,27,2020-06-28,0,9.33333333333333
Zip Code,10003,White,28,2020-07-05,0,6.66666666666667
Zip Code,10003,White,29,2020-07-12,2,7.33333333333333
Zip Code,10003,White,30,2020-07-19,2,10.6666666666667
Zip Code,10003,White,31,2020-07-26,2,9.33333333333333
Zip Code,10003,White,32,2020-08-02,4,13.3333333333333
Zip Code,10003,White,33,2020-08-09,6,7.66666666666667
Zip Code,10003,White,34,2020-08-16,5,8
Zip Code,10003,White,35,2020-08-23,4,8
Zip Code,10003,White,36,2020-08-30,11,9.33333333333333
Zip Code,10003,White,37,2020-09-06,6,11.6666666666667
Zip Code,10003,White,38,2020-09-13,5,11
Zip Code,10003,White,39,2020-09-20,1,9
Zip Code,10003,White,40,2020-09-27,8,7.33333333333333
Zip Code,10003,White,41,2020-10-04,8,10
Zip Code,10003,White,42,2020-10-11,6,8.66666666666667
Zip Code,10003,White,43,2020-10-18,3,5.66666666666667
Zip Code,10003,White,44,2020-10-25,4,10.3333333333333
Zip Code,10003,White,45,2020-11-01,6,13.3333333333333
Zip Code,10003,White,46,2020-11-08,5,11.3333333333333
Zip Code,10003,White,47,2020-11-15,13,4.66666666666667
Zip Code,10003,White,48,2020-11-22,3,6
Zip Code,10003,White,49,2020-11-29,1,9
Zip Code,10004,White,1,2019-12-29,0,0.333333333333333
Zip Code,10004,White,2,2020-01-05,0,0
Zip Code,10004,White,3,2020-01-12,0,1.66666666666667
Zip Code,10004,White,4,2020-01-19,0,1.66666666666667
