type,GEOID,racial_majority,week,week_date,filings_2020,filings_avg,filings_avg_prepandemic_baseline,last_updated
Census Tract,12011010102,White,1,2019-12-29,0,0,0.167,2024-09-07
Census Tract,12011010102,White,2,2020-01-05,0,0.5,0,2024-09-07
Census Tract,12011010102,White,3,2020-01-12,0,0,0.667,2024-09-07
Census Tract,12011010102,White,4,2020-01-19,0,0,0.333,2024-09-07
Census Tract,12011010102,White,5,2020-01-26,1,1,0.167,2024-09-07
Census Tract,12011010102,White,6,2020-02-02,0,0,0,2024-09-07
Census Tract,12011010102,White,7,2020-02-09,0,0,0,2024-09-07
Census Tract,12011010102,White,8,2020-02-16,0,1,0.333,2024-09-07
Census Tract,12011010102,White,9,2020-02-23,0,0,0.333,2024-09-07
Census Tract,12011010102,White,10,2020-03-01,0,1.5,0.5,2024-09-07
Census Tract,12011010102,White,11,2020-03-08,0,0,0,2024-09-07
Census Tract,12011010102,White,12,2020-03-15,0,0,0.167,2024-09-07
Census Tract,12011010102,White,13,2020-03-22,0,0,0,2024-09-07
Census Tract,12011010102,White,14,2020-03-29,0,0,0,2024-09-07
Census Tract,12011010102,White,15,2020-04-05,0,0,0,2024-09-07
Census Tract,12011010102,White,16,2020-04-12,0,0,0.167,2024-09-07
Census Tract,12011010102,White,17,2020-04-19,0,1,0.333,2024-09-07
Census Tract,12011010102,White,18,2020-04-26,0,0.5,0,2024-09-07
Census Tract,12011010102,White,19,2020-05-03,0,0,0.167,2024-09-07
Census Tract,12011010102,White,20,2020-05-10,0,1.5,0.333,2024-09-07
Census Tract,12011010102,White,21,2020-05-17,0,0,0,2024-09-07
Census Tract,12011010102,White,22,2020-05-24,0,0,0.333,2024-09-07
Census Tract,12011010102,White,23,2020-05-31,0,0,0,2024-09-07
Census Tract,12011010102,White,24,2020-06-07,0,0,0,2024-09-07
Census Tract,12011010102,White,25,2020-06-14,0,0.5,0.167,2024-09-07
Census Tract,12011010102,White,26,2020-06-21,0,0.5,0.333,2024-09-07
Census Tract,12011010102,White,27,2020-06-28,0,0,0.167,2024-09-07
Census Tract,12011010102,White,28,2020-07-05,0,0,0.167,2024-09-07
Census Tract,12011010102,White,29,2020-07-12,0,0,0.167,2024-09-07
