position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,EDEN AT WATERSEDGE APTS,2826 S MENDENHALL RD,323,0.386
2,2020-03-15,WINBRANCH APTS,1630 DENSON DR,226,0.386
3,2020-03-15,NEW HORIZON APTS,3642 KINGSGATE DR,218,0.386
4,2020-03-15,THE TRAILS AT MT MORIAH,3139 MORIAH TRL,216,0.386
5,2020-03-15,THE VIEW AT SHELBY FARMS,8260 COUNTRY SQUIRE PL,163,0.386
6,2020-03-15,WATERVIEW APTS,3086 CYPRESS LAKE DR,158,0.386
7,2020-03-15,THE BOULEVARD,3860 EAGLEWOOD DR,156,0.386
8,2020-03-15,BENT TREE LLC,2003 LENOX CT,152,0.386
9,2020-03-15,THE LAKES AT RIDGEWAY,5669 WATERSTONE OAK WAY,135,0.386
10,2020-03-15,UNIVERSITY GARDENS MANOR,1038 OAKMONT PL,132,0.386
1,2021-06-27,WINBRANCH APTS,3646 WINBRANCH DR,28,0.381
2,2021-06-27,HIGHLAND MEADOWS,2170 MCKELLAR WOODS CT,27,0.381
3,2021-06-27,SBTN APARTMENTS LLC,6319 CROWN IMPERIAL DR,21,0.381
4,2021-06-27,THE VIEW AT SHELBY FARMS,8080 CARRIAGE LN,20,0.381
5,2021-06-27,PEPPERTREE APARTMENTS,4345 GRACELAND DR,20,0.381
6,2021-06-27,WATERVIEW APTS,3012 CYPRESS LAKE DR,18,0.381
7,2021-06-27,LINCOLN AT WOLFCHASE APTS,2537 NIBLIK PASS,18,0.381
8,2021-06-27,WINCHESTER GROVE APTS,1297 QUAIL RIDGE LN,16,0.381
9,2021-06-27,THE STRATUM ON HIGHLAND APTS,510 S HIGHLAND ST,16,0.381
10,2021-06-27,REEDY & CO REALTORS LLC,1946 E RAINES RD,15,0.381
