date,city,routine,infrequent,routine_percent,infrequent_percent
01/01/2007,Fayetteville,0.02284711155,0.03471574093,40%,60%
01/01/2008,Fayetteville,0.03298994641,0.04960416039,40%,60%
01/01/2009,Fayetteville,0.0282703247,0.04219723419,40%,60%
01/01/2010,Fayetteville,0.02988431342,0.0403489403,43%,57%
01/01/2011,Fayetteville,0.03251507899,0.04327817227,43%,57%
01/01/2012,Fayetteville,0.03194124191,0.04292489178,43%,57%
01/01/2013,Fayetteville,0.02603940211,0.03219900094,45%,55%
01/01/2014,Fayetteville,0.02454368099,0.03268534692,43%,57%
01/01/2015,Fayetteville,0.02787995767,0.03825335329,42%,58%
01/01/2016,Fayetteville,0.0224738458,0.03805204677,37%,63%
