position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,PARADIGM PROPERTIES MANAGEMENT TEAM INC (BOARDWALK,2701 SW 13TH ST,48,0.538
2,2020-03-15,YES PALMS OF ARCHER LLC,7117 SW ARCHER RD,39,0.538
3,2020-03-15,RATH/HARPER AND ASSOCIATES INC,15265 NW 150TH RD,38,0.538
4,2020-03-15,PARADIGM PROPERTIES MANAGEMENT TEAM INC (ARBOR,307 SW 16TH AVE,36,0.538
5,2020-03-15,PEP-UF LLC,1000 SW 62ND BLVD,25,0.538
6,2020-03-15,PARADIGM PROPERTIES MANAGEMENT TEAM INC (BIVENS,3301 SW 13TH ST,22,0.538
7,2020-03-15,RATH/HARPER & ASSOCIATES INC,2625 SW 75TH ST,22,0.538
8,2020-03-15,GRANITE LAMPLIGHTER LLC,2401 NE 52ND ST,22,0.538
9,2020-03-15,WEST SHORE LLC,1505 FT CLARKE BLVD,18,0.538
10,2020-03-15,FLORIDA HOMES 7 LP,4117 SW 20TH AVE,16,0.538
1,2021-07-11,GRANITE LAMPLIGHTER LLC,2401 NE 52ND ST,14,0.913
2,2021-07-11,PARADIGM PROPERTIES MANAGEMENT TEAM INC (ARBOR,307 SW 16TH AVE,13,0.913
3,2021-07-11,WEST SHORE LLC,1505 FORT CLARKE BLVD ,12,0.913
4,2021-07-11,"PARADIGM PROPERTIES MANAGEMENT TEAM, INC (BOARDWAL",2701 SW 13TH ST,10,0.913
5,2021-07-11,UNIVERSITY COVE PARTNERS LTD A FLORIDA LIMITED,6815 W UNIVERSITY AVE,7,0.913
6,2021-07-11,ATLANTIC MULTI-FAMILY,4258 SE 11TH LN,5,0.913
7,2021-07-11,YES PALMS OF ARCHER LLC,7117 SW ARCHER RD,4,0.913
8,2021-07-11,GFM VENTURES II LLC,205 SW 75TH ST,4,0.913
9,2021-07-11,PARADIGM PROPERTIES MANAGEMENT TEAM INC,2701 NW 23RD BLVD,3,0.913
10,2021-07-11,PARADIGM PROPERTIES MANAGEMENT TEAM INC (FREDERICK,1130 SW 16TH AVE,3,0.913
