position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,NIEDERST MANAGEMENT LTD,3328 EUCLID AVE,45,0.19
2,2020-03-15,NIEDERST MANAGEMENT LTD,2901 EUCLID AVE,45,0.19
3,2020-03-15,AIY PROPERTIES INC,1808 PLEASANTDALE RD,44,0.19
4,2020-03-15,BROOKLYN GARDENS LLC,2307 FORESTDALE AVE,38,0.19
5,2020-03-15,MIMG XXXVI WEST TECH LOFTS LLC,2201 W 93RD ST,36,0.19
6,2020-03-15,K&D MANAGEMENT LLC,1330 WEST BLVD,31,0.19
7,2020-03-15,BANYAN LIVING OHIO LLC,12500 SHAKER BLVD,29,0.19
8,2020-03-15,WINDSOR REALTY AND MGMT INC,14592 LORAIN AVE,27,0.19
9,2020-03-15,GRANDVIEW POINTE APTS LLC,1939 GREEN RD,26,0.19
10,2020-03-15,NRP MANAGEMENT LLC,1801 E 12TH ST,23,0.19
1,2021-06-27,AIY PROPERTIES INC,1808 PLEASANTDALE RD,10,0.274
2,2021-06-27,MIMG XXXVI WEST TECH LOFTS LLC,2201 W 93RD ST,7,0.274
3,2021-06-27,K&D MANAGEMENT LLC,1330 WEST BLVD,4,0.274
4,2021-06-27,RHM REAL ESTATE GROUP,248 EUCLID AVE,4,0.274
5,2021-06-27,NIEDERST MANAGEMENT LTD,3328 EUCLID AVE,4,0.274
6,2021-06-27,K&D MANAGEMENT LLC,5225 SUPERIOR AVE,4,0.274
7,2021-06-27,JC GROUP PROPERTY MANAGEMENT OH LLC,3170 W 44TH ST,3,0.274
8,2021-06-27,"NATIONAL CHURCH RESIDENCES",11500 DETROIT AVE,3,0.274
9,2021-06-27,MARCHER OHIO LLC,2840 S MORELAND BLVD,3,0.274
10,2021-06-27,LOUISE BUERGER LLC,18432 LAKE SHORE BLVD,3,0.274
