site_factor,filings_ratio
"Philadelphia, PA",0.346335614022713
"Richmond, VA",0.372426790374021
"New York, NY",0.390043332240428
"Pittsburgh, PA",0.403125904486252
"Charleston, SC",0.406903353057199
"Kansas City, MO",0.407682375726275
"St Louis, MO",0.434845770180621
"Dallas-Fort Worth, TX",0.438048224795899
"Cleveland, OH",0.451168034398679
"Wilmington, DE",0.462796833773087
"South Bend, IN",0.513009198423127
"Houston, TX",0.518473298651662
"Boston, MA",0.521368920910431
"Milwaukee, WI",0.550962870932288
"Greenville, SC",0.621552884855134
"Indianapolis, IN",0.624258899676375
"Memphis, TN",0.641609195402299
"Phoenix, AZ",0.689332734889288
"Cincinnati, OH",0.693392406269354
"Columbus, OH",0.833775021144629
"Gainesville, FL",0.889614630960157
"Tampa, FL",0.890255884488872
"Jacksonville, FL",0.911468712634516
