site,date,percentage_diff
Austin,02/01/2020,1.51596877217885
Austin,03/01/2020,1.05872529919288
Austin,04/01/2020,0.0346907993966818
Austin,05/01/2020,0.0366018978761862
Austin,06/01/2020,0.162935323383085
Austin,07/01/2020,0.0805934242181235
Austin,08/01/2020,0.059214501510574
Austin,09/01/2020,0.0852729145211123
Austin,10/01/2020,0.0909807010634108
Austin,11/01/2020,0.0817582417582418
Austin,12/01/2020,0.0827240442866096
Austin,01/01/2021,0.0859160455080424
Austin,02/01/2021,0.065620542082739
Austin,03/01/2021,0.134674922600619
Boston,02/01/2020,0.872467222884386
Boston,03/01/2020,0.638156436959894
Boston,04/01/2020,0.144778182732185
Boston,05/01/2020,0.00562126712729828
Boston,06/01/2020,0.0113007651559741
Boston,07/01/2020,0.0159541828594805
Boston,08/01/2020,0.0128192677478877
Boston,09/01/2020,0.0215367358384745
Boston,10/01/2020,0.050131926121372
Boston,11/01/2020,0.470936690114772
Boston,12/01/2020,0.722098942696776
Boston,01/01/2021,0.449783757808746
Boston,02/01/2021,0.447562776957164
Boston,03/01/2021,0.565085771947528
Columbus,02/01/2020,1.0250061896509
Columbus,03/01/2020,0.507711289327576
Columbus,04/01/2020,0.215895323479525
Columbus,05/01/2020,0.242860078076844
Columbus,06/01/2020,0.480281690140845
Columbus,07/01/2020,0.465172622652938
Columbus,08/01/2020,0.587975951903808
Columbus,09/01/2020,0.748129675810474
Columbus,10/01/2020,0.748866213151928
Columbus,11/01/2020,0.835707187810533
Columbus,12/01/2020,1.22091310751105
Columbus,01/01/2021,0.568330605564648
Columbus,02/01/2021,0.628899426004492
Columbus,03/01/2021,1.47373271889401
Hartford,02/01/2020,0.992465753424657
Hartford,03/01/2020,0.882217090069284
Hartford,04/01/2020,0.152155536770921
Hartford,05/01/2020,0.0082930200414651
Hartford,06/01/2020,0.0193548387096774
Hartford,07/01/2020,0.0799289520426288
Hartford,08/01/2020,0.0623973727422003
Hartford,09/01/2020,0.0730371272063299
Hartford,10/01/2020,0.175131348511384
Hartford,11/01/2020,0.342222222222222
Hartford,12/01/2020,0.318965517241379
Hartford,01/01/2021,0.269744835965978
Hartford,02/01/2021,0.36986301369863
Hartford,03/01/2021,0.558962264150943
Indianapolis,02/01/2020,1.35578127174064
Indianapolis,03/01/2020,0.539464837972301
Indianapolis,04/01/2020,0.00260473192967224
Indianapolis,05/01/2020,0.00636435958631663
Indianapolis,06/01/2020,0.0218062874795566
Indianapolis,07/01/2020,0.0385144429160935
Indianapolis,08/01/2020,0.56064033408735
Indianapolis,09/01/2020,0.756215143208243
Indianapolis,10/01/2020,0.595025448958033
Indianapolis,11/01/2020,0.619006479481642
Indianapolis,12/01/2020,0.725542532203783
Indianapolis,01/01/2021,0.740117373491308
Indianapolis,02/01/2021,0.826971301198105
Indianapolis,03/01/2021,0.719539654741056
Milwaukee,02/01/2020,1.27486220944165
Milwaukee,03/01/2020,0.505406676069582
Milwaukee,04/01/2020,0.0141750141750142
Milwaukee,05/01/2020,0.0531645569620253
Milwaukee,06/01/2020,1.171875
Milwaukee,07/01/2020,1.1067835118468
Milwaukee,08/01/2020,0.653111521873075
Milwaukee,09/01/2020,0.417419884963024
Milwaukee,10/01/2020,0.552525074784445
Milwaukee,11/01/2020,0.622236260265319
Milwaukee,12/01/2020,0.731836475323025
Milwaukee,01/01/2021,0.534769118452272
Milwaukee,02/01/2021,0.703694701020904
Milwaukee,03/01/2021,0.691056910569106
Minneapolis-Saint Paul,02/01/2020,0.833887043189369
Minneapolis-Saint Paul,03/01/2020,0.44492162336268
Minneapolis-Saint Paul,04/01/2020,0.0362990727954232
Minneapolis-Saint Paul,05/01/2020,0.0235078053259871
Minneapolis-Saint Paul,06/01/2020,0.0356530682207748
Minneapolis-Saint Paul,07/01/2020,0.0432503276539974
Minneapolis-Saint Paul,08/01/2020,0.0495231721599465
Minneapolis-Saint Paul,09/01/2020,0.0593557727108216
Minneapolis-Saint Paul,10/01/2020,0.0766034327009937
Minneapolis-Saint Paul,11/01/2020,0.0766986244268445
Minneapolis-Saint Paul,12/01/2020,0.0578577013291634
Minneapolis-Saint Paul,01/01/2021,0.0610492845786963
Minneapolis-Saint Paul,02/01/2021,0.106800166875261
Minneapolis-Saint Paul,03/01/2021,0.106082444508504
St Louis,02/01/2020,1.05057096247961
St Louis,03/01/2020,0.766824644549763
St Louis,04/01/2020,0.103490759753593
St Louis,05/01/2020,0.122426265998887
St Louis,06/01/2020,0.123151014791882
St Louis,07/01/2020,0.351558507920286
St Louis,08/01/2020,0.446166807076664
St Louis,09/01/2020,0.379892037786775
St Louis,10/01/2020,0.298438783894823
St Louis,11/01/2020,0.432542097788598
St Louis,12/01/2020,0.757181438742941
St Louis,01/01/2021,0.518282392649541
St Louis,02/01/2021,0.424256837098692
St Louis,03/01/2021,0.552341597796143
Tampa,02/01/2020,1.04952015355086
Tampa,03/01/2020,0.87732342007435
Tampa,04/01/2020,0.242908509788254
Tampa,05/01/2020,0.238613188307274
Tampa,06/01/2020,0.259885151763741
Tampa,07/01/2020,0.138397167685871
Tampa,08/01/2020,0.510912553097993
Tampa,09/01/2020,0.76734975030136
Tampa,10/01/2020,0.88267988583446
Tampa,11/01/2020,0.998161088635528
Tampa,12/01/2020,0.999824837975127
Tampa,01/01/2021,0.808504355529308
Tampa,02/01/2021,1.01851851851852
Tampa,03/01/2021,1.04462809917355
