type,GEOID,racial_majority,month,filings_2020,filings_avg,last_updated
Census Tract,47157000200,Black,04/2022,8,5,2025-03-15
Census Tract,47157000200,Black,05/2022,6,3,2025-03-15
Census Tract,47157000200,Black,06/2022,11,5.75,2025-03-15
Census Tract,47157000200,Black,07/2022,2,5.5,2025-03-15
Census Tract,47157000200,Black,08/2022,17,4.25,2025-03-15
Census Tract,47157000200,Black,09/2022,5,3.75,2025-03-15
Census Tract,47157000200,Black,10/2022,6,4.75,2025-03-15
Census Tract,47157000200,Black,11/2022,8,4.5,2025-03-15
Census Tract,47157000200,Black,12/2022,13,2.75,2025-03-15
Census Tract,47157000200,Black,01/2023,14,6.75,2025-03-15
Census Tract,47157000200,Black,02/2023,7,4.5,2025-03-15
Census Tract,47157000200,Black,03/2023,8,6,2025-03-15
Census Tract,47157000200,Black,04/2023,2,5,2025-03-15
Census Tract,47157000200,Black,05/2023,8,3,2025-03-15
Census Tract,47157000200,Black,06/2023,8,5.75,2025-03-15
Census Tract,47157000200,Black,07/2023,5,5.5,2025-03-15
Census Tract,47157000200,Black,08/2023,9,4.25,2025-03-15
Census Tract,47157000200,Black,09/2023,14,3.75,2025-03-15
Census Tract,47157000200,Black,10/2023,9,4.75,2025-03-15
Census Tract,47157000200,Black,11/2023,17,4.5,2025-03-15
Census Tract,47157000200,Black,12/2023,14,2.75,2025-03-15
Census Tract,47157000200,Black,01/2024,5,6.75,2025-03-15
Census Tract,47157000200,Black,02/2024,11,4.5,2025-03-15
Census Tract,47157000200,Black,03/2024,9,6,2025-03-15
Census Tract,47157000200,Black,04/2024,5,5,2025-03-15
Census Tract,47157000200,Black,05/2024,13,3,2025-03-15
Census Tract,47157000200,Black,06/2024,10,5.75,2025-03-15
Census Tract,47157000200,Black,07/2024,7,5.5,2025-03-15
Census Tract,47157000200,Black,08/2024,19,4.25,2025-03-15
Census Tract,47157000200,Black,09/2024,10,3.75,2025-03-15
Census Tract,47157000200,Black,10/2024,8,4.75,2025-03-15
Census Tract,47157000200,Black,11/2024,13,4.5,2025-03-15
Census Tract,47157000200,Black,12/2024,3,2.75,2025-03-15
Census Tract,47157000200,Black,01/2025,6,6.75,2025-03-15
Census Tract,47157000200,Black,02/2025,4,4.5,2025-03-15
Census Tract,47157000200,Black,03/2025,1,3,2025-03-15
Census Tract,47157000300,Black,01/2020,2,0.25,2025-03-15
Census Tract,47157000300,Black,02/2020,0,1,2025-03-15
Census Tract,47157000300,Black,03/2020,1,1.75,2025-03-15
