id,month_date,month_filings,month_rate,month_rate_scale_max,month_diff,pct_white,pct_black,pct_latinx
09001010101,01/01/2023,6,0.0224719101123596,0.0981167927382753,1.5,0.655430711610487,0,0.202247191011236
09001010102,01/01/2023,0,0,0.0981167927382753,0.428571428571429,0.7,0,0.241176470588235
09001010201,01/01/2023,0,0,0.0981167927382753,0.375,0.956175298804781,0,0.0438247011952191
09001010202,01/01/2023,2,0.00480769230769231,0.0981167927382753,0.346153846153846,0.769230769230769,0,0.09375
09001010300,01/01/2023,11,0.0280612244897959,0.0981167927382753,2.57142857142857,0.772959183673469,0.0229591836734694,0.0433673469387755
09001010400,01/01/2023,8,0.0121765601217656,0.0981167927382753,1,0.899543378995434,0.0410958904109589,0.0228310502283105
09001010500,01/01/2023,23,0.0132488479262673,0.0981167927382753,0.986301369863014,0.59331797235023,0.0835253456221198,0.28110599078341
09001010600,01/01/2023,14,0.0210526315789474,0.0981167927382753,1.40625,0.625563909774436,0.0962406015037594,0.154887218045113
09001010700,01/01/2023,12,0.0133333333333333,0.0981167927382753,1.14705882352941,0.473333333333333,0.15,0.287777777777778
09001010800,01/01/2023,2,0.0045766590389016,0.0981167927382753,0.9,0.604118993135012,0,0.295194508009153
09001010900,01/01/2023,8,0.0161616161616162,0.0981167927382753,1.17391304347826,0.705050505050505,0.0787878787878788,0.0848484848484849
09001011000,01/01/2023,2,0.00790513833992095,0.0981167927382753,0.692307692307692,0.826086956521739,0,0.110671936758893
09001011100,01/01/2023,2,0.0131578947368421,0.0981167927382753,1.5,0.842105263157895,0.0526315789473684,0.0657894736842105
09001011200,01/01/2023,1,0.00819672131147541,0.0981167927382753,0.461538461538462,0.729508196721312,0,0.270491803278689
09001011300,01/01/2023,11,0.0161764705882353,0.0981167927382753,1.28571428571429,0.305882352941177,0.0220588235294118,0.585294117647059
09001020100,01/01/2023,71,0.025884068538097,0.0981167927382753,1.86206896551724,0.506744440393729,0.257746992344149,0.161502005103901
09001020200,01/01/2023,0,0,0.0981167927382753,0.3,0.571428571428571,0,0
09001020300,01/01/2023,4,0.0235294117647059,0.0981167927382753,0.75,0.747058823529412,0,0.252941176470588
09001020400,01/01/2023,4,0.0869565217391304,0.0981167927382753,1.36363636363636,0.717391304347826,0,0.282608695652174
09001020500,01/01/2023,3,0.0223880597014925,0.0981167927382753,0.75,0.865671641791045,0.0671641791044776,0.0671641791044776
09001020600,01/01/2023,5,0.0467289719626168,0.0981167927382753,0.857142857142857,0.542056074766355,0,0.457943925233645
09001020700,01/01/2023,6,0.0231660231660232,0.0981167927382753,1.61538461538462,0.737451737451737,0.1003861003861,0.11969111969112
09001020800,01/01/2023,3,0.0697674418604651,0.0981167927382753,1.09090909090909,0.86046511627907,0,0
09001020900,01/01/2023,25,0.0286368843069874,0.0981167927382753,1.625,0.398625429553265,0.192439862542955,0.327605956471936
09001021000,01/01/2023,4,0.0233918128654971,0.0981167927382753,1.36363636363636,0.95906432748538,0.0409356725146199,0
09001021100,01/01/2023,25,0.026567481402763,0.0981167927382753,1.81395348837209,0.539851222104145,0.176408076514346,0.234856535600425
09001021200,01/01/2023,3,0.0115830115830116,0.0981167927382753,1,0.598455598455599,0.0347490347490348,0.254826254826255
09001021300,01/01/2023,5,0.0152439024390244,0.0981167927382753,0.545454545454545,0.509146341463415,0.0487804878048781,0.292682926829268
09001021400,01/01/2023,95,0.0513791238507301,0.0981167927382753,2.05714285714286,0.262303948080043,0.236884802595998,0.48566792861006
09001021500,01/01/2023,113,0.0669034931912374,0.0981167927382753,2.16455696202532,0.121965660153937,0.432208407341622,0.433984606275903
09001021600,01/01/2023,155,0.0619256891729924,0.0981167927382753,2.34,0.439872153415901,0.0898921294446664,0.165401518178186
09001021700,01/01/2023,72,0.0275862068965517,0.0981167927382753,1.08415841584158,0.50727969348659,0.180842911877395,0.154789272030651
09001021801,01/01/2023,17,0.0220492866407263,0.0981167927382753,1.35,0.456549935149157,0.0389105058365759,0.381322957198444
09001021802,01/01/2023,58,0.0630434782608696,0.0981167927382753,1.71844660194175,0.208695652173913,0.231521739130435,0.543478260869565
09001021900,01/01/2023,18,0.0180360721442886,0.0981167927382753,0.982758620689655,0.369739478957916,0.128256513026052,0.467935871743487
09001022000,01/01/2023,33,0.0648330058939096,0.0981167927382753,1.08510638297872,0.390962671905697,0.292730844793713,0.294695481335953
09001022100,01/01/2023,28,0.0168980084490042,0.0981167927382753,0.813084112149533,0.371152685576343,0.149064574532287,0.467712733856367
09001022200,01/01/2023,191,0.065726083964212,0.0981167927382753,2.96907216494845,0.613558155540262,0.110461114934618,0.212663454920853
09001022300,01/01/2023,57,0.0498251748251748,0.0981167927382753,1.79381443298969,0.173951048951049,0.472027972027972,0.346153846153846
09001022400,01/01/2023,3,0.027027027027027,0.0981167927382753,1.33333333333333,1,0,0
09001030100,01/01/2023,3,0.0769230769230769,0.0981167927382753,1.71428571428571,0.82051282051282,0,0
09001030200,01/01/2023,3,0.016304347826087,0.0981167927382753,2,0.614130434782609,0,0.298913043478261
09001030300,01/01/2023,1,0.00980392156862745,0.0981167927382753,1.5,0.686274509803922,0.313725490196078,0
09001030400,01/01/2023,8,0.0191846522781775,0.0981167927382753,0.72972972972973,0.858513189448441,0.0239808153477218,0.0695443645083933
09001030500,01/01/2023,1,0.00555555555555556,0.0981167927382753,0.75,0.544444444444444,0.0833333333333333,0.244444444444444
09001035100,01/01/2023,10,0.00772200772200772,0.0981167927382753,1.06451612903226,0.826254826254826,0.0803088803088803,0.0517374517374517
