type,GEOID,week,week_date,filings_2020,filings_avg,last_updated
Census Tract,44001030100,1,2019-12-29,1,0.6,2023-04-01
Census Tract,44001030100,2,2020-01-05,0,0.2,2023-04-01
Census Tract,44001030100,3,2020-01-12,0,0,2023-04-01
Census Tract,44001030100,4,2020-01-19,0,0.6,2023-04-01
Census Tract,44001030100,5,2020-01-26,0,0,2023-04-01
Census Tract,44001030100,6,2020-02-02,0,0.2,2023-04-01
Census Tract,44001030100,7,2020-02-09,0,0,2023-04-01
Census Tract,44001030100,8,2020-02-16,0,0,2023-04-01
Census Tract,44001030100,9,2020-02-23,0,0,2023-04-01
Census Tract,44001030100,10,2020-03-01,0,0.2,2023-04-01
Census Tract,44001030100,11,2020-03-08,0,0.2,2023-04-01
Census Tract,44001030100,12,2020-03-15,0,0,2023-04-01
Census Tract,44001030100,13,2020-03-22,0,0.2,2023-04-01
Census Tract,44001030100,14,2020-03-29,0,0,2023-04-01
Census Tract,44001030100,15,2020-04-05,0,0,2023-04-01
Census Tract,44001030100,16,2020-04-12,0,0.2,2023-04-01
Census Tract,44001030100,17,2020-04-19,0,0,2023-04-01
Census Tract,44001030100,18,2020-04-26,0,0,2023-04-01
Census Tract,44001030100,19,2020-05-03,0,0.2,2023-04-01
Census Tract,44001030100,20,2020-05-10,0,0,2023-04-01
Census Tract,44001030100,21,2020-05-17,0,0.2,2023-04-01
Census Tract,44001030100,22,2020-05-24,0,0,2023-04-01
Census Tract,44001030100,23,2020-05-31,0,0.2,2023-04-01
Census Tract,44001030100,24,2020-06-07,0,0.4,2023-04-01
Census Tract,44001030100,25,2020-06-14,0,0,2023-04-01
Census Tract,44001030100,26,2020-06-21,0,0,2023-04-01
Census Tract,44001030100,27,2020-06-28,0,0,2023-04-01
Census Tract,44001030100,28,2020-07-05,0,0,2023-04-01
Census Tract,44001030100,29,2020-07-12,0,0.4,2023-04-01
Census Tract,44001030100,30,2020-07-19,0,0,2023-04-01
Census Tract,44001030100,31,2020-07-26,0,0,2023-04-01
Census Tract,44001030100,32,2020-08-02,0,0.2,2023-04-01
Census Tract,44001030100,33,2020-08-09,0,0,2023-04-01
Census Tract,44001030100,34,2020-08-16,0,0,2023-04-01
Census Tract,44001030100,35,2020-08-23,0,0.2,2023-04-01
Census Tract,44001030100,36,2020-08-30,0,0,2023-04-01
