type,GEOID,racial_majority,month,filings_2020,filings_avg,last_updated
Census Tract,48113000201,White,02/2020,0,1,2025-03-08
Census Tract,48113000201,White,03/2020,0,0,2025-03-08
Census Tract,48113000201,White,04/2020,0,0,2025-03-08
Census Tract,48113000201,White,05/2020,0,0.5,2025-03-08
Census Tract,48113000201,White,06/2020,0,0.5,2025-03-08
Census Tract,48113000201,White,07/2020,0,0,2025-03-08
Census Tract,48113000201,White,08/2020,1,0.5,2025-03-08
Census Tract,48113000201,White,09/2020,0,0,2025-03-08
Census Tract,48113000201,White,10/2020,0,0,2025-03-08
Census Tract,48113000201,White,11/2020,1,0,2025-03-08
Census Tract,48113000201,White,12/2020,0,0.5,2025-03-08
Census Tract,48113000201,White,01/2021,0,0.5,2025-03-08
Census Tract,48113000201,White,02/2021,0,1,2025-03-08
Census Tract,48113000201,White,03/2021,0,0,2025-03-08
Census Tract,48113000201,White,04/2021,0,0,2025-03-08
Census Tract,48113000201,White,05/2021,0,0.5,2025-03-08
Census Tract,48113000201,White,06/2021,0,0.5,2025-03-08
Census Tract,48113000201,White,07/2021,0,0,2025-03-08
Census Tract,48113000201,White,08/2021,0,0.5,2025-03-08
Census Tract,48113000201,White,09/2021,0,0,2025-03-08
Census Tract,48113000201,White,10/2021,0,0,2025-03-08
Census Tract,48113000201,White,11/2021,0,0,2025-03-08
Census Tract,48113000201,White,12/2021,0,0.5,2025-03-08
Census Tract,48113000201,White,01/2022,0,0.5,2025-03-08
Census Tract,48113000201,White,02/2022,0,1,2025-03-08
Census Tract,48113000201,White,03/2022,0,0,2025-03-08
Census Tract,48113000201,White,04/2022,0,0,2025-03-08
Census Tract,48113000201,White,05/2022,0,0.5,2025-03-08
Census Tract,48113000201,White,06/2022,0,0.5,2025-03-08
Census Tract,48113000201,White,07/2022,0,0,2025-03-08
Census Tract,48113000201,White,08/2022,0,0.5,2025-03-08
Census Tract,48113000201,White,09/2022,0,0,2025-03-08
Census Tract,48113000201,White,10/2022,0,0,2025-03-08
Census Tract,48113000201,White,11/2022,0,0,2025-03-08
Census Tract,48113000201,White,12/2022,0,0.5,2025-03-08
Census Tract,48113000201,White,01/2023,1,0.5,2025-03-08
Census Tract,48113000201,White,02/2023,2,1,2025-03-08
Census Tract,48113000201,White,03/2023,0,0,2025-03-08
Census Tract,48113000201,White,04/2023,0,0,2025-03-08
Census Tract,48113000201,White,05/2023,0,0.5,2025-03-08
Census Tract,48113000201,White,06/2023,0,0.5,2025-03-08
Census Tract,48113000201,White,07/2023,0,0,2025-03-08
Census Tract,48113000201,White,08/2023,0,0.5,2025-03-08
Census Tract,48113000201,White,09/2023,0,0,2025-03-08
Census Tract,48113000201,White,10/2023,0,0,2025-03-08
Census Tract,48113000201,White,11/2023,0,0,2025-03-08
Census Tract,48113000201,White,12/2023,1,0.5,2025-03-08
Census Tract,48113000201,White,01/2024,0,0.5,2025-03-08
Census Tract,48113000201,White,02/2024,0,1,2025-03-08
Census Tract,48113000201,White,03/2024,0,0,2025-03-08
Census Tract,48113000201,White,04/2024,0,0,2025-03-08
Census Tract,48113000201,White,05/2024,1,0.5,2025-03-08
Census Tract,48113000201,White,06/2024,1,0.5,2025-03-08
Census Tract,48113000201,White,07/2024,0,0,2025-03-08
Census Tract,48113000201,White,08/2024,1,0.5,2025-03-08
Census Tract,48113000201,White,09/2024,0,0,2025-03-08
Census Tract,48113000201,White,10/2024,0,0,2025-03-08
Census Tract,48113000201,White,11/2024,0,0,2025-03-08
Census Tract,48113000201,White,12/2024,0,0.5,2025-03-08
Census Tract,48113000201,White,01/2025,0,0.5,2025-03-08
Census Tract,48113000201,White,02/2025,0,1,2025-03-08
Census Tract,48113000201,White,03/2025,0,0,2025-03-08
Census Tract,48113000202,White,01/2020,1,2,2025-03-08
Census Tract,48113000202,White,02/2020,1,2.5,2025-03-08
Census Tract,48113000202,White,03/2020,1,1.5,2025-03-08
Census Tract,48113000202,White,04/2020,0,1,2025-03-08
Census Tract,48113000202,White,05/2020,0,0.5,2025-03-08
Census Tract,48113000202,White,06/2020,2,2,2025-03-08
Census Tract,48113000202,White,07/2020,1,4.5,2025-03-08
Census Tract,48113000202,White,08/2020,0,1,2025-03-08
Census Tract,48113000202,White,09/2020,1,1.5,2025-03-08
Census Tract,48113000202,White,10/2020,0,0.5,2025-03-08
Census Tract,48113000202,White,11/2020,0,2,2025-03-08
Census Tract,48113000202,White,12/2020,0,5,2025-03-08
Census Tract,48113000202,White,01/2021,0,2,2025-03-08
Census Tract,48113000202,White,02/2021,0,2.5,2025-03-08
Census Tract,48113000202,White,03/2021,0,1.5,2025-03-08
Census Tract,48113000202,White,04/2021,0,1,2025-03-08
Census Tract,48113000202,White,05/2021,0,0.5,2025-03-08
Census Tract,48113000202,White,06/2021,1,2,2025-03-08
Census Tract,48113000202,White,07/2021,0,4.5,2025-03-08
Census Tract,48113000202,White,08/2021,0,1,2025-03-08
Census Tract,48113000202,White,09/2021,1,1.5,2025-03-08
Census Tract,48113000202,White,10/2021,1,0.5,2025-03-08
Census Tract,48113000202,White,11/2021,2,2,2025-03-08
Census Tract,48113000202,White,12/2021,1,5,2025-03-08
Census Tract,48113000202,White,01/2022,0,2,2025-03-08
Census Tract,48113000202,White,02/2022,1,2.5,2025-03-08
Census Tract,48113000202,White,03/2022,0,1.5,2025-03-08
Census Tract,48113000202,White,04/2022,1,1,2025-03-08
Census Tract,48113000202,White,05/2022,0,0.5,2025-03-08
Census Tract,48113000202,White,06/2022,0,2,2025-03-08
Census Tract,48113000202,White,07/2022,2,4.5,2025-03-08
Census Tract,48113000202,White,08/2022,1,1,2025-03-08
Census Tract,48113000202,White,09/2022,2,1.5,2025-03-08
Census Tract,48113000202,White,10/2022,0,0.5,2025-03-08
Census Tract,48113000202,White,11/2022,0,2,2025-03-08
Census Tract,48113000202,White,12/2022,0,5,2025-03-08
Census Tract,48113000202,White,01/2023,2,2,2025-03-08
Census Tract,48113000202,White,02/2023,1,2.5,2025-03-08
Census Tract,48113000202,White,03/2023,1,1.5,2025-03-08
Census Tract,48113000202,White,04/2023,0,1,2025-03-08
Census Tract,48113000202,White,05/2023,1,0.5,2025-03-08
Census Tract,48113000202,White,06/2023,2,2,2025-03-08
Census Tract,48113000202,White,07/2023,5,4.5,2025-03-08
Census Tract,48113000202,White,08/2023,2,1,2025-03-08
Census Tract,48113000202,White,09/2023,0,1.5,2025-03-08
Census Tract,48113000202,White,10/2023,1,0.5,2025-03-08
Census Tract,48113000202,White,11/2023,0,2,2025-03-08
Census Tract,48113000202,White,12/2023,7,5,2025-03-08
Census Tract,48113000202,White,01/2024,2,2,2025-03-08
Census Tract,48113000202,White,02/2024,4,2.5,2025-03-08
Census Tract,48113000202,White,03/2024,2,1.5,2025-03-08
Census Tract,48113000202,White,04/2024,2,1,2025-03-08
Census Tract,48113000202,White,05/2024,0,0.5,2025-03-08
Census Tract,48113000202,White,06/2024,2,2,2025-03-08
Census Tract,48113000202,White,07/2024,4,4.5,2025-03-08
Census Tract,48113000202,White,08/2024,0,1,2025-03-08
Census Tract,48113000202,White,09/2024,3,1.5,2025-03-08
Census Tract,48113000202,White,10/2024,0,0.5,2025-03-08
Census Tract,48113000202,White,11/2024,4,2,2025-03-08
Census Tract,48113000202,White,12/2024,3,5,2025-03-08
Census Tract,48113000202,White,01/2025,4,2,2025-03-08
Census Tract,48113000202,White,02/2025,2,2.5,2025-03-08
Census Tract,48113000202,White,03/2025,0,0.5,2025-03-08
Census Tract,48113000300,White,01/2020,0,1.5,2025-03-08
Census Tract,48113000300,White,02/2020,1,1,2025-03-08
Census Tract,48113000300,White,03/2020,0,0,2025-03-08
Census Tract,48113000300,White,04/2020,0,1,2025-03-08
Census Tract,48113000300,White,05/2020,0,1.5,2025-03-08
Census Tract,48113000300,White,06/2020,0,1,2025-03-08
Census Tract,48113000300,White,07/2020,1,1,2025-03-08
Census Tract,48113000300,White,08/2020,2,0.5,2025-03-08
Census Tract,48113000300,White,09/2020,0,1.5,2025-03-08
Census Tract,48113000300,White,10/2020,0,0.5,2025-03-08
Census Tract,48113000300,White,11/2020,0,1,2025-03-08
Census Tract,48113000300,White,12/2020,0,2,2025-03-08
Census Tract,48113000300,White,01/2021,0,1.5,2025-03-08
Census Tract,48113000300,White,02/2021,0,1,2025-03-08
Census Tract,48113000300,White,03/2021,0,0,2025-03-08
Census Tract,48113000300,White,04/2021,0,1,2025-03-08
Census Tract,48113000300,White,05/2021,0,1.5,2025-03-08
Census Tract,48113000300,White,06/2021,0,1,2025-03-08
Census Tract,48113000300,White,07/2021,0,1,2025-03-08
Census Tract,48113000300,White,08/2021,0,0.5,2025-03-08
Census Tract,48113000300,White,09/2021,0,1.5,2025-03-08
Census Tract,48113000300,White,10/2021,5,0.5,2025-03-08
Census Tract,48113000300,White,11/2021,0,1,2025-03-08
Census Tract,48113000300,White,12/2021,1,2,2025-03-08
Census Tract,48113000300,White,01/2022,1,1.5,2025-03-08
Census Tract,48113000300,White,02/2022,2,1,2025-03-08
Census Tract,48113000300,White,03/2022,2,0,2025-03-08
Census Tract,48113000300,White,04/2022,1,1,2025-03-08
Census Tract,48113000300,White,05/2022,0,1.5,2025-03-08
Census Tract,48113000300,White,06/2022,3,1,2025-03-08
Census Tract,48113000300,White,07/2022,5,1,2025-03-08
Census Tract,48113000300,White,08/2022,1,0.5,2025-03-08
Census Tract,48113000300,White,09/2022,1,1.5,2025-03-08
Census Tract,48113000300,White,10/2022,2,0.5,2025-03-08
Census Tract,48113000300,White,11/2022,0,1,2025-03-08
Census Tract,48113000300,White,12/2022,1,2,2025-03-08
Census Tract,48113000300,White,01/2023,3,1.5,2025-03-08
Census Tract,48113000300,White,02/2023,1,1,2025-03-08
Census Tract,48113000300,White,03/2023,0,0,2025-03-08
Census Tract,48113000300,White,04/2023,2,1,2025-03-08
Census Tract,48113000300,White,05/2023,2,1.5,2025-03-08
Census Tract,48113000300,White,06/2023,2,1,2025-03-08
Census Tract,48113000300,White,07/2023,1,1,2025-03-08
Census Tract,48113000300,White,08/2023,1,0.5,2025-03-08
Census Tract,48113000300,White,09/2023,0,1.5,2025-03-08
Census Tract,48113000300,White,10/2023,0,0.5,2025-03-08
Census Tract,48113000300,White,11/2023,1,1,2025-03-08
Census Tract,48113000300,White,12/2023,1,2,2025-03-08
Census Tract,48113000300,White,01/2024,0,1.5,2025-03-08
Census Tract,48113000300,White,02/2024,1,1,2025-03-08
Census Tract,48113000300,White,03/2024,0,0,2025-03-08
Census Tract,48113000300,White,04/2024,0,1,2025-03-08
Census Tract,48113000300,White,05/2024,1,1.5,2025-03-08
Census Tract,48113000300,White,06/2024,0,1,2025-03-08
Census Tract,48113000300,White,07/2024,1,1,2025-03-08
Census Tract,48113000300,White,08/2024,0,0.5,2025-03-08
Census Tract,48113000300,White,09/2024,3,1.5,2025-03-08
Census Tract,48113000300,White,10/2024,1,0.5,2025-03-08
Census Tract,48113000300,White,11/2024,1,1,2025-03-08
Census Tract,48113000300,White,12/2024,3,2,2025-03-08
Census Tract,48113000300,White,01/2025,3,1.5,2025-03-08
Census Tract,48113000300,White,02/2025,7,1,2025-03-08
Census Tract,48113000300,White,03/2025,0,0,2025-03-08
Census Tract,48113000401,Other,01/2020,12,13,2025-03-08
Census Tract,48113000401,Other,02/2020,9,21.5,2025-03-08
Census Tract,48113000401,Other,03/2020,7,8,2025-03-08
Census Tract,48113000401,Other,04/2020,0,18.5,2025-03-08
