position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,LINK REAL ESTATE GROUP LLC,4619 REFUGEE RD,236,0.293
2,2020-03-15,LATITUDE 25 LLC,529 SAWYER BLVD,223,0.293
3,2020-03-15,RG TOWNHOMES LLC,628 E FRANSHIRE,141,0.293
4,2020-03-15,5812 INVESTMENT GROUP LLC,1178 FOUNTAIN LN,127,0.293
5,2020-03-15,LINK REAL ESTATE GROUP LLC,4525 LAKE SIDE N,126,0.293
6,2020-03-15,5812 INVESTMENT GROUP LLC,2093 LAKE CLUB DR,116,0.293
7,2020-03-15,HORIZONS ASSET MANAGEMENT LLC,4039 VINESHIRE DR,105,0.293
8,2020-03-15,RG TOWNHOMES LLC,4356 LEESBURG CT N,97,0.293
9,2020-03-15,LINK REAL ESTATE GROUP LLC,665 E MORRILL AVE,88,0.293
10,2020-03-15,5812 INVESTMENT GROUP LLC,2097 COMMONS RD N,86,0.293
1,2021-07-11,LINK REAL ESTATE GROUP LLC,4591 REFUGEE RD,46,0.304
2,2021-07-11,LINK REAL ESTATE GROUP LLC,2391 SHORE BLVD E,23,0.304
3,2021-07-11,BEXLEY PROJECT 1 LLC,3070 E LIVINGSTON AVE,21,0.304
4,2021-07-11,LEXINGTON PARK HOLDINGS LLC,5041 DIERKER RD,19,0.304
5,2021-07-11,FORESITE REALTY OH LLC,887 E DUBLIN-GRANVILLE RD,19,0.304
6,2021-07-11,HORIZONS ASSET MANAGEMENT LLC,1809 ELAINE RD,17,0.304
7,2021-07-11,5812 INVESTMENT GROUP LLC,1178 FOUNTAIN LN,16,0.304
8,2021-07-11,LINK REAL ESTATE GROUP LLC,674 E MORRILL AVE,16,0.304
9,2021-07-11,LINK REAL ESTATE GROUP LLC,665 E MORRILL AVE,16,0.304
10,2021-07-11,T & R PROPERTIES INC,6197 LOWRIDGE DR,15,0.304
