group,month,month_last_day,month_filings,avg_filings,month_diff
White,January,,121,133.875,0.903828197945845
White,February,,93,99,0.939393939393939
White,March,,5,103.625,0.0482509047044632
White,April,,6,106.125,0.0565371024734982
White,May,,4,125.875,0.0317775571002979
White,June,,7,127.875,0.0547409579667644
White,July,,10,134.25,0.074487895716946
White,August,,0,132.125,0
White,September,,7,129.5,0.0540540540540541
White,October,,17,120.125,0.141519250780437
White,November,14/11/2020,4,55.75,0.0717488789237668
Black,January,,6,6.125,0.979591836734694
Black,February,,4,2.75,1.45454545454545
Black,March,,2,3.5,0.571428571428571
Black,April,,0,4.75,0
Black,May,,0,4.75,0
Black,June,,1,5.375,0.186046511627907
Black,July,,0,5.875,0
Black,August,,0,5.625,0
Black,September,,1,3.625,0.275862068965517
Black,October,,1,6.25,0.16
Black,November,14/11/2020,0,2.25,0
Other,January,,98,115.5,0.848484848484848
Other,February,,82,88.25,0.929178470254957
Other,March,,2,87.75,0.0227920227920228
Other,April,,7,97.125,0.0720720720720721
Other,May,,1,100.625,0.00993788819875776
Other,June,,4,113.875,0.0351262349066959
Other,July,,4,126.125,0.0317145688800793
Other,August,,12,108.375,0.110726643598616
Other,September,,10,106,0.0943396226415094
Other,October,,9,109,0.0825688073394496
Other,November,14/11/2020,7,45.5,0.153846153846154
