position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,VP MAPLE HILLS LLC,5100 HICKORY RD,84,0.359
2,2020-03-15,"MR ASSOCIATES, LLC",1100 E 117TH ST,63,0.359
3,2020-03-15,RIDGE AT CHESTNUT LLC,8700 HOLMES RD,61,0.359
4,2020-03-15,"KC CITADEL APARTMENTS, L.L.C.",1521 CITADEL DR,58,0.359
5,2020-03-15,HUDSON RESERVE LLC,8801 MILLWOOD DR,54,0.359
6,2020-03-15,VP KINGS QUARTERS LLC,11315 GRANDVIEW RD,54,0.359
7,2020-03-15,"BANNISTER GARDENS APARTMENTS, L.P.",9351 HARRISON ST,49,0.359
8,2020-03-15,"LA CASITA MHP, LLC",3207 OAKLAND AVE,47,0.359
9,2020-03-15,HILLCREST ESTATES APTS LLC,8304 HILLCREST RD,44,0.359
10,2020-03-15,PC VIEW HIGH LAKE LLC,9800 WILLOW AVE,42,0.359
1,2021-07-11,PLAZA CLUB CITY APTS LLC,4609 JEFFERSON ST,17,0.505
2,2021-07-11,PC VIEW HIGH LAKE LLC,10608 E 98TH TER,16,0.505
3,2021-07-11,"RIDGE AT CHESTNUT, LLC",8732 CHESTNUT CIR,15,0.505
4,2021-07-11,"MOIN MIDWEST MHP, LLC",12817 E 47TH ST S,7,0.505
5,2021-07-11,"AMBER SQUARE, LLC",1202 E 89TH ST,7,0.505
6,2021-07-11,"THE VILLAGE HOLDING, LLC",1200 E 83RD ST,7,0.505
7,2021-07-11,"KC WALDO HEIGHTS APTS., LLC",8111 CAMPBELL ST,7,0.505
8,2021-07-11,"MR ASSOCIATES, LLC",1111 E 117TH ST,7,0.505
9,2021-07-11,"BANNISTER GARDENS APARTMENTS, L.P.",806 E 93RD TER,7,0.505
10,2021-07-11,COLD STORAGE OWNER LLC,500 E 3RD ST,6,0.505
