type,GEOID,month,filings_2020,filings_avg,filings_avg_prepandemic_baseline,last_updated
Census Tract,27001770100,01/2020,0,0,0.125,NA
Census Tract,27001770100,02/2020,0,0,0,NA
Census Tract,27001770100,03/2020,0,0,0.375,NA
Census Tract,27001770100,04/2020,0,0,0,NA
Census Tract,27001770100,05/2020,0,0.5,0,NA
Census Tract,27001770100,06/2020,0,0,0.25,NA
Census Tract,27001770100,07/2020,0,0,0.25,NA
Census Tract,27001770100,08/2020,0,0,0.25,NA
Census Tract,27001770100,09/2020,0,0,0.125,NA
Census Tract,27001770100,10/2020,0,0,0.375,NA
Census Tract,27001770100,11/2020,0,0,0.25,NA
Census Tract,27001770100,12/2020,1,0,0.25,NA
Census Tract,27001770100,01/2021,0,0,0.125,NA
Census Tract,27001770100,02/2021,0,0,0,NA
Census Tract,27001770100,03/2021,0,0,0.375,NA
Census Tract,27001770100,04/2021,0,0,0,NA
Census Tract,27001770100,05/2021,0,0.5,0,NA
Census Tract,27001770100,06/2021,0,0,0.25,NA
Census Tract,27001770100,07/2021,1,0,0.25,NA
Census Tract,27001770100,08/2021,0,0,0.25,NA
Census Tract,27001770100,09/2021,0,0,0.125,NA
Census Tract,27001770100,10/2021,0,0,0.375,NA
Census Tract,27001770100,11/2021,0,0,0.25,NA
Census Tract,27001770100,12/2021,0,0,0.25,NA
Census Tract,27001770100,01/2022,0,0,0.125,NA
Census Tract,27001770100,02/2022,0,0,0,NA
Census Tract,27001770100,03/2022,1,0,0.375,NA
Census Tract,27001770100,04/2022,0,0,0,NA
Census Tract,27001770100,05/2022,0,0.5,0,NA
Census Tract,27001770100,06/2022,0,0,0.25,NA
Census Tract,27001770100,07/2022,0,0,0.25,NA
Census Tract,27001770100,08/2022,1,0,0.25,NA
Census Tract,27001770100,09/2022,0,0,0.125,NA
Census Tract,27001770100,10/2022,0,0,0.375,NA
Census Tract,27001770100,11/2022,0,0,0.25,NA
Census Tract,27001770100,12/2022,0,0,0.25,NA
Census Tract,27001770100,01/2023,0,0,0.125,NA
Census Tract,27001770100,02/2023,0,0,0,NA
Census Tract,27001770100,03/2023,0,0,0.375,NA
Census Tract,27001770100,04/2023,0,0,0,NA
Census Tract,27001770100,05/2023,1,0.5,0,NA
Census Tract,27001770100,06/2023,0,0,0.25,NA
Census Tract,27001770100,07/2023,0,0,0.25,NA
Census Tract,27001770100,08/2023,0,0,0.25,NA
Census Tract,27001770100,09/2023,0,0,0.125,NA
Census Tract,27001770100,10/2023,0,0,0.375,NA
Census Tract,27001770100,11/2023,0,0,0.25,NA
Census Tract,27001770100,12/2023,0,0,0.25,NA
Census Tract,27001770100,01/2024,0,0,0.125,NA
Census Tract,27001770100,02/2024,0,0,0,NA
Census Tract,27001770100,03/2024,0,0,0.375,NA
Census Tract,27001770100,04/2024,0,0,0,NA
Census Tract,27001770100,05/2024,0,0.5,0,NA
Census Tract,27001770100,06/2024,0,0,0.25,NA
Census Tract,27001770100,07/2024,0,0,0.25,NA
Census Tract,27001770100,08/2024,0,0,0.25,NA
Census Tract,27001770100,09/2024,0,0,0.125,NA
Census Tract,27001770100,10/2024,0,0,0.375,NA
Census Tract,27001770100,11/2024,0,0,0.25,NA
Census Tract,27001770100,12/2024,0,0,0.25,NA
Census Tract,27001770100,01/2025,0,0,0.125,NA
Census Tract,27001770100,02/2025,0,0,0,NA
Census Tract,27001770100,03/2025,0,0,0.375,NA
Census Tract,27001770100,04/2025,0,0,0,NA
Census Tract,27001770100,05/2025,0,0.5,0,NA
Census Tract,27001770100,06/2025,0,0,0.25,NA
Census Tract,27001770100,07/2025,0,0,0.25,NA
Census Tract,27001770100,08/2025,0,0,0.25,NA
Census Tract,27001770100,09/2025,0,0,0.125,NA
Census Tract,27001770100,10/2025,0,0,0.375,NA
Census Tract,27001770100,11/2025,0,0,0.25,NA
Census Tract,27001770100,12/2025,0,0,0.25,NA
Census Tract,27001770100,01/2026,0,0,,NA
Census Tract,27001770100,02/2026,0,0,,14/02/2026
Census Tract,27001770200,01/2020,0,0,0.25,NA
Census Tract,27001770200,02/2020,0,0,0.125,NA
Census Tract,27001770200,03/2020,0,1.5,0,NA
Census Tract,27001770200,04/2020,0,0,0.125,NA
Census Tract,27001770200,05/2020,0,0,0.125,NA
Census Tract,27001770200,06/2020,0,0,0.25,NA
Census Tract,27001770200,07/2020,0,0,0.25,NA
Census Tract,27001770200,08/2020,0,0,0,NA
Census Tract,27001770200,09/2020,0,0,0.375,NA
Census Tract,27001770200,10/2020,0,0,0.25,NA
Census Tract,27001770200,11/2020,0,0,0.25,NA
Census Tract,27001770200,12/2020,0,0,0.25,NA
Census Tract,27001770200,01/2021,0,0,0.25,NA
Census Tract,27001770200,02/2021,0,0,0.125,NA
Census Tract,27001770200,03/2021,0,1.5,0,NA
Census Tract,27001770200,04/2021,0,0,0.125,NA
Census Tract,27001770200,05/2021,0,0,0.125,NA
Census Tract,27001770200,06/2021,0,0,0.25,NA
Census Tract,27001770200,07/2021,0,0,0.25,NA
Census Tract,27001770200,08/2021,0,0,0,NA
Census Tract,27001770200,09/2021,0,0,0.375,NA
Census Tract,27001770200,10/2021,0,0,0.25,NA
Census Tract,27001770200,11/2021,0,0,0.25,NA
Census Tract,27001770200,12/2021,0,0,0.25,NA
Census Tract,27001770200,01/2022,0,0,0.25,NA
Census Tract,27001770200,02/2022,0,0,0.125,NA
Census Tract,27001770200,03/2022,0,1.5,0,NA
Census Tract,27001770200,04/2022,0,0,0.125,NA
Census Tract,27001770200,05/2022,0,0,0.125,NA
Census Tract,27001770200,06/2022,0,0,0.25,NA
Census Tract,27001770200,07/2022,0,0,0.25,NA
Census Tract,27001770200,08/2022,1,0,0,NA
Census Tract,27001770200,09/2022,0,0,0.375,NA
Census Tract,27001770200,10/2022,0,0,0.25,NA
Census Tract,27001770200,11/2022,0,0,0.25,NA
Census Tract,27001770200,12/2022,0,0,0.25,NA
Census Tract,27001770200,01/2023,0,0,0.25,NA
Census Tract,27001770200,02/2023,0,0,0.125,NA
Census Tract,27001770200,03/2023,1,1.5,0,NA
Census Tract,27001770200,04/2023,0,0,0.125,NA
Census Tract,27001770200,05/2023,0,0,0.125,NA
Census Tract,27001770200,06/2023,0,0,0.25,NA
Census Tract,27001770200,07/2023,0,0,0.25,NA
Census Tract,27001770200,08/2023,0,0,0,NA
Census Tract,27001770200,09/2023,0,0,0.375,NA
Census Tract,27001770200,10/2023,0,0,0.25,NA
Census Tract,27001770200,11/2023,0,0,0.25,NA
Census Tract,27001770200,12/2023,0,0,0.25,NA
Census Tract,27001770200,01/2024,0,0,0.25,NA
Census Tract,27001770200,02/2024,0,0,0.125,NA
Census Tract,27001770200,03/2024,2,1.5,0,NA
Census Tract,27001770200,04/2024,0,0,0.125,NA
Census Tract,27001770200,05/2024,0,0,0.125,NA
Census Tract,27001770200,06/2024,0,0,0.25,NA
Census Tract,27001770200,07/2024,0,0,0.25,NA
Census Tract,27001770200,08/2024,0,0,0,NA
Census Tract,27001770200,09/2024,0,0,0.375,NA
Census Tract,27001770200,10/2024,0,0,0.25,NA
Census Tract,27001770200,11/2024,0,0,0.25,NA
Census Tract,27001770200,12/2024,0,0,0.25,NA
Census Tract,27001770200,01/2025,0,0,0.25,NA
Census Tract,27001770200,02/2025,0,0,0.125,NA
Census Tract,27001770200,03/2025,1,1.5,0,NA
Census Tract,27001770200,04/2025,1,0,0.125,NA
Census Tract,27001770200,05/2025,0,0,0.125,NA
Census Tract,27001770200,06/2025,0,0,0.25,NA
Census Tract,27001770200,07/2025,0,0,0.25,NA
Census Tract,27001770200,08/2025,0,0,0,NA
Census Tract,27001770200,09/2025,0,0,0.375,NA
Census Tract,27001770200,10/2025,0,0,0.25,NA
Census Tract,27001770200,11/2025,0,0,0.25,NA
Census Tract,27001770200,12/2025,0,0,0.25,NA
Census Tract,27001770200,01/2026,0,0,,NA
Census Tract,27001770200,02/2026,0,0,,14/02/2026
Census Tract,27001770300,01/2020,2,0.5,0.625,NA
Census Tract,27001770300,02/2020,0,0,0.875,NA
Census Tract,27001770300,03/2020,0,0,0.75,NA
Census Tract,27001770300,04/2020,0,1.5,0.875,NA
Census Tract,27001770300,05/2020,0,0,0.5,NA
Census Tract,27001770300,06/2020,0,0,1.375,NA
Census Tract,27001770300,07/2020,0,0,0.5,NA
Census Tract,27001770300,08/2020,0,1,0.75,NA
Census Tract,27001770300,09/2020,0,1.5,1,NA
Census Tract,27001770300,10/2020,0,1,1.25,NA
Census Tract,27001770300,11/2020,0,0.5,0.875,NA
Census Tract,27001770300,12/2020,0,0,1.25,NA
Census Tract,27001770300,01/2021,0,0.5,0.625,NA
Census Tract,27001770300,02/2021,0,0,0.875,NA
Census Tract,27001770300,03/2021,1,0,0.75,NA
Census Tract,27001770300,04/2021,0,1.5,0.875,NA
Census Tract,27001770300,05/2021,1,0,0.5,NA
Census Tract,27001770300,06/2021,3,0,1.375,NA
Census Tract,27001770300,07/2021,1,0,0.5,NA
Census Tract,27001770300,08/2021,2,1,0.75,NA
Census Tract,27001770300,09/2021,1,1.5,1,NA
Census Tract,27001770300,10/2021,2,1,1.25,NA
Census Tract,27001770300,11/2021,0,0.5,0.875,NA
Census Tract,27001770300,12/2021,0,0,1.25,NA
Census Tract,27001770300,01/2022,0,0.5,0.625,NA
Census Tract,27001770300,02/2022,0,0,0.875,NA
Census Tract,27001770300,03/2022,1,0,0.75,NA
Census Tract,27001770300,04/2022,0,1.5,0.875,NA
Census Tract,27001770300,05/2022,3,0,0.5,NA
Census Tract,27001770300,06/2022,0,0,1.375,NA
Census Tract,27001770300,07/2022,2,0,0.5,NA
Census Tract,27001770300,08/2022,0,1,0.75,NA
Census Tract,27001770300,09/2022,0,1.5,1,NA
Census Tract,27001770300,10/2022,0,1,1.25,NA
