month,month_last_day,month_filings,avg_filings,percentage_diff
01/2020,,4310,3748.66666666667,1.1497421305353
01/2021,,1330,3748.66666666667,0.354792815223191
01/2022,,3314,3748.66666666667,0.884047661390717
02/2020,,3938,3145.66666666667,1.25188089435202
02/2021,,499,3145.66666666667,0.158630920843488
02/2022,26/02/2022,2711,2985,0.90820770519263
03/2020,,1861,2522,0.737906423473434
03/2021,,1805,2522,0.715701823949247
04/2020,,43,3013.66666666667,0.0142683331489879
04/2021,,1750,3013.66666666667,0.580687976993696
05/2020,,191,3313.33333333333,0.0576458752515091
05/2021,,1654,3313.33333333333,0.499195171026157
06/2020,,1280,3476.33333333333,0.368204046409052
06/2021,,1736,3476.33333333333,0.499376737942276
07/2020,,1019,3652.66666666667,0.278974265376894
07/2021,,1929,3652.66666666667,0.528107318853806
08/2020,,1495,3700,0.404054054054054
08/2021,,2099,3700,0.567297297297297
09/2020,,1657,3622,0.457482054113749
09/2021,,2609,3622,0.720320265046935
10/2020,,1569,3653.66666666667,0.429431621202445
10/2021,,2817,3653.66666666667,0.771006295046072
11/2020,,1775,3252.33333333333,0.545762017013426
11/2021,,2599,3252.33333333333,0.799118581531208
12/2020,,2059,3259,0.631788892298251
12/2021,,2650,3259,0.813132862841363
