site_id,serial_share,filings_pandemic,filings_past_year,filings_past_month,filings_pandemic_pct_hist,filings_past_year_pct_hist,filings_past_month_pct_hist,median_rent,renter_hh,hhs_threatened_rate,eviction_filing_rate,site
45019,0.35969681990443236,23361,9957,887,0.49240400271906665,0.6678068410462776,0.7198214648001623,1346,57055,0.10637104548242925,0.17451581807028305,charleston
39061,0.2294057281462823,33181,13011,828,0.8106609203826948,1.0175018768768769,0.7392857142857143,906,143075,0.07491874890791543,0.09093831906342828,cincinnati
39035,0.14255844896407527,15309,6324,521,0.57434954698081,0.7602560634748895,0.7005042016806723,799,104282,0.05044974204560711,0.06064325578719242,cleveland
39049,0.25118622224825726,54579,22358,1983,0.926869169459288,1.2211480692555574,1.222313540168484,1102,257009,0.06642179845841975,0.08699306249975682,columbus
09001,0.09140727750986408,8777,4534,359,0.685935342694141,1.13246190991591,1.0824120603015064,1644,118307,0.03856069378819512,0.03832402140194578,bridgeport
09003,0.11264822134387352,13636,7158,525,0.7089283238596977,1.183596979551342,1.0884588804422952,1221,121667,0.05822449801507393,0.05883271552680677,hartford
09,0.10267369952710076,42636,21795,1623,0.6800325374419824,1.107206963118501,1.0196858638743436,1277,476797,0.04612445128639651,0.04571127754578993,connecticut
48113,0.17263145868441346,93326,41348,2846,0.7254763255882649,1.0244966054939788,0.8589537223340049,1273,482309,0.07259039329558437,0.08572927314232162,dallas
10003,0.2608510032730895,19282,8108,653,0.5321704811255011,0.7179192030990592,0.6937583001328022,1236,70242,0.1000398621907121,0.11542951510492298,wilmington
10,0.25199089874857794,29390,12316,1085,0.5218603371050867,0.7018063707333752,0.7399829497016198,1208,108545,0.09717628633285734,0.11346446174397716,delaware
48439,0.24043515462657375,92623,44444,3683,0.7748755048302662,1.183705538465636,1.1773355710061535,1287,442278,0.07398966261039437,0.10048883281555944,fortworth
48201,0.26546710998109396,174355,83415,6930,0.9396709225056454,1.4289997087694652,1.4976497919930845,1168,832215,0.07372614048052487,0.1002325120311458,houston
45045,0.35982074543665976,35333,14209,1237,0.7671914015850614,0.9813014727464218,1.1109115401885945,1077,61820,0.14799417664186348,0.22984471044969265,greenville
12103,0.08418789282170029,47955,19824,1768,0.8533411629676093,1.127132135546964,1.201086956521739,1313,350246,0.05178645866048435,0.05660021813239837,tampa
18097,0.2459984384149912,66097,27563,2519,0.6910857910599134,0.924242805287998,1.0008940101321149,960,169686,0.12076423511662718,0.1624353217118678,indianapolis
18141,0.15258964143426296,6684,2965,246,0.6803399664105043,0.9689542483660132,0.9256820319849484,906,32277,0.07776435232518511,0.09186107754747964,southbend
18,0.17923037250237078,179976,74262,6486,0.7708172501924623,1.019389288876382,1.0308328035600762,905,774845,0.07757293394162704,0.0958411037046119,indiana
12031,0.15760829046447478,33987,15728,1220,0.8937643977405408,1.321347559438797,1.2842105263157897,1203,166485,0.08056581674024686,0.09447097336096344,jacksonville
32003,0.3786546657526898,123422,58458,4447,1.1099774491707006,1.601336775713415,1.6952253883541408,1325,370204,0.09063381270866872,0.15790753206340288,lasvegas
47157,0.23237586081913736,65794,29291,2131,0.7641291124318769,1.087863622436189,0.9241110147441456,1043,163597,0.13491689945414648,0.17904362549435504,memphis
55079,0.22801598837209305,32958,12518,1165,0.7884198590518293,0.9619759006516662,0.9831223628691984,954,193302,0.05694716040185823,0.06475877124913348,milwaukee
27053,0.07829457364341086,19526,13412,1108,0.7520050837176611,1.6508346795907378,1.6279155188246095,1265,274851,0.03754761670868943,0.04879734838148669,minneapolis
27,0.09288488961007033,39525,25203,1995,0.7335507848204633,1.4971263941072517,1.3986504250284812,1113,615932,0.0330182552619445,0.04091847801380672,minnesota
29095,0.17939282428702852,20264,9301,753,0.6979703955016318,1.0268271141532348,0.9583200763601656,1044,122228,0.06225251169944693,0.07609549366757208,kansascity
29510,0.18871548619447776,33539,15383,1073,0.6967333160218125,1.0245258828818329,0.7971768202080238,951,198599,0.06291572465118153,0.07745759042089839,stlouis
29,0.16799489958559133,92896,37837,2782,0.6862415208771564,0.895216576069276,0.7629233511586453,882,770131,0.0407333297841536,0.0491306024559458,missouri
35001,0.2295365278868814,19958,8516,892,0.5747499376043924,0.7810933105050749,1.0128690386071155,946,103857,0.06128619159035982,0.0819973617570313,albuquerque
35,0.1807338614221979,33417,13901,1405,0.6182227429699069,0.8207313233094551,0.9871194379391124,906,254299,0.04318931651323835,0.05466399789224496,newmexico
22071,0.11745052685684912,13050,5626,490,0.6610942249240122,0.9165852069077876,0.8581436077057794,1082,75311,0.05166575931802791,0.07470356256058212,neworleans
44007,0.1962809917355372,14384,6214,584,0.713952449496203,0.985059247810407,1.1193100143747006,1116,108750,0.04450574712643678,0.05714022988505747,providence
44,0.204120144676836,18935,8055,740,0.769312027432769,1.0368930539107153,1.3153217205830074,1142,161721,0.03932080558492713,0.04980800267126718,rhode_island
55,0.17529844310290046,66856,25518,2310,0.752721827536901,0.9207842193889826,0.9132841328413296,921,781395,0.02819444711061627,0.0326569788647227,wisconsin
48453,,15491,8918,676,0.5272514805654512,0.9675949367088608,0.91640307275192,1437,270488,,0.03297003933631066,austin
25025,,13019,6811,737,0.5159240717012535,0.8643126804352653,1.1512626920072893,1808,292933,,0.02325105058153229,boston
12001,,4013,2109,190,0.8795295149035649,1.292543411644535,1.5426251691474924,1134,47058,,0.04481703429810022,gainesville
12086,,84346,40673,4330,0.6954096117009144,0.9388821347778584,1.2262236276962275,1520,908385,,0.0447750678401779,miami
47037,,27725,12972,1270,0.8284445064193864,1.2404692082111433,1.3501063075832738,1316,146398,,0.08860776786568123,nashville
36061,,245857,123714,10312,0.34163191234314266,0.5487668559261892,0.594522917267224,1640,2177959,,0.05680272218163886,newyork
42,,250647,113778,9597,0.6851685810977043,0.9941653578223744,1.0070040135358465,1036,1571478,,0.07240190444918733,pennsylvania
42101,,29999,15491,1085,0.4453814262330981,0.7326168434244907,0.6680006156687702,1181,311986,,0.04965286903899534,philadelphia
