position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,2025-02-01,2026-01-31,COMMONS AT REDWOOD CREEK LLC,11964 SW WINDMILL DR,74,0.218,45.46145,-122.800278
2,2025-02-01,2026-01-31,"UNIVERSITY POINTE AT COLLEGE STATION, ACC OP (PSU COLLEGE STATION) LLC",1955 SW 5TH AVE,65,0.218,45.509722,-122.682141
3,2025-02-01,2026-01-31,SP/BGO ARBOR CREEK OWNER LLC,3280 SW 170TH AVE,64,0.218,45.496447,-122.847632
4,2025-02-01,2026-01-31,COMMONS AT TIMBER CREEK NORTH LLC,12228 NW BARNES RD,47,0.218,45.520616,-122.803962
5,2025-02-01,2026-01-31,CORE PORTLAND LLC,1818 SW 4TH AVE,47,0.218,45.511051,-122.680349
6,2025-02-01,2026-01-31,HIGHLAND PARK APARTMENTS LLC,24050 SE STARK ST,46,0.218,45.517433,-122.415037
7,2025-02-01,2026-01-31,GUARDIAN MANAGEMENT LLC,2250 GABLE RD,46,0.218,45.847981,-122.828103
8,2025-02-01,2026-01-31,QUATAMA CROSSING APARTMENTS,772 NE AUTUMNCREEK WAY,43,0.218,45.525751,-122.893141
9,2025-02-01,2026-01-31,THE CREEKSIDE LIMITED PARTNERSHIP,5302 E MAIN ST,43,0.218,45.517518,-122.928885
10,2025-02-01,2026-01-31,HOLLAND GABLES LLC,14940 SW SCHOLLS FERRY RD,43,0.218,45.433206,-122.830662
11,2025-02-01,2026-01-31,COUCH9 LLC,135 NW 9TH AVE,43,0.218,45.523998,-122.680316
12,2025-02-01,2026-01-31,GUARDIAN MANAGEMENT LLC,783 SE 185TH AVE,42,0.218,45.51681,-122.473507
13,2025-02-01,2026-01-31,COMMONS AT VERANDAS SOUTH LLC,2543 NE OVERLOOK DR,40,0.218,45.537412,-122.884179
14,2025-02-01,2026-01-31,MG RUSSELVILLE COMMONS APARTMENTS 235 LLC,10232 SE ANKENY ST,38,0.218,45.521358,-122.557981
15,2025-02-01,2026-01-31,COMMONS AT AVALON PARK LLC,17102 SW PACIFIC HWY,38,0.218,45.396551,-122.796834
16,2025-02-01,2026-01-31,COMMONS AT TIMBER CREEK SOUTH LLC,12208 NW BARNES RD,37,0.218,45.521203,-122.80547
17,2025-02-01,2026-01-31,COMMONS ON THE TUALATIN RIVER,6675 SW NYBERG LN,37,0.218,45.383751,-122.745197
18,2025-02-01,2026-01-31,MISSION ROCK RESIDENTIAL LLC,783 NW NAITO PKWY,35,0.218,45.5286,-122.674173
19,2025-02-01,2026-01-31,THE MEDICAL CENTRE OREGON LLC,12070 SW FISCHER RD,34,0.218,45.397657,-122.799527
20,2025-02-01,2026-01-31,WPL ASSOCIATES,4821 SW GREENSBORO WAY,33,0.218,45.484612,-122.838369
21,2025-02-01,2026-01-31,PINEHURST MANAGEMENT LLC,920 NW KEARNEY ST,31,0.218,45.529199,-122.68084
22,2025-02-01,2026-01-31,CTL MANAGEMENT INC.,4367 SW SPRATT WAY,30,0.218,45.488198,-122.835449
23,2025-02-01,2026-01-31,HAYDEN ISLAND MANUFACTURED HOME COMMUNITY,1503 N HAYDEN ISLAND DR,30,0.218,45.618468,-122.686784
24,2025-02-01,2026-01-31,AVENUE5 RESIDENTIAL LLC,3181 NE 23RD ST,30,0.218,45.514297,-122.400406
25,2025-02-01,2026-01-31,PALLADIA APARTMENTS,2968 NE MODA WAY,30,0.218,45.541996,-122.878992
26,2025-02-01,2026-01-31,STARK STREET APARTMENTS LIMITED PARTNERSHIP,12621 SE STARK ST,30,0.218,45.519212,-122.533305
27,2025-02-01,2026-01-31,YARD RESIDENCES LLC,22 NE 2ND AVE,29,0.218,45.523555,-122.663425
28,2025-02-01,2026-01-31,THORNCROFT FARMS APARTMENTS,2028 NE THORNCROFT DR,29,0.218,45.535498,-122.874683
29,2025-02-01,2026-01-31,AMFP VI LUMINA LLC,2700 W POWELL BLVD,28,0.218,45.494154,-122.460452
30,2025-02-01,2026-01-31,SYLVAN OFFICE PARK LLC,6315 SW CANYON CT,28,0.218,45.509011,-122.742036
31,2025-02-01,2026-01-31,GGIF SEVEN WEST LLC,14712 SW SCHOLLS FERRY RD,28,0.218,45.435084,-122.827909
32,2025-02-01,2026-01-31,CHUN FAMILY OREGON PROPERTIES A LLC,14132 NE SANDY BLVD,28,0.218,45.552999,-122.517749
33,2025-02-01,2026-01-31,CTL MANAGEMENT INC.,19355 SW 65TH AVE,27,0.218,45.379906,-122.745607
34,2025-02-01,2026-01-31,KARUNA HOLDINGS LP,16812 SE POWELL BLVD,26,0.218,45.493231,-122.489978
35,2025-02-01,2026-01-31,CIC PATRICIAN LLC,18000 SW SHAW ST,26,0.218,45.492091,-122.862268
36,2025-02-01,2026-01-31,CAMBRIDGE REAL ESTATE SERVICES INC.,4650 SW MURRAY BLVD,26,0.218,45.486365,-122.825063
37,2025-02-01,2026-01-31,CUSHMAN & WAKEFIELD INC.,4635 SW MUELLER DR,26,0.218,45.486355,-122.835041
38,2025-02-01,2026-01-31,GREENFIELD VILLAGE LLC,12085 SW 135TH AVE,25,0.218,45.432274,-122.816949
39,2025-02-01,2026-01-31,TIMBERLINE APARTMENTS,14757 SW 109TH AVE,25,0.218,45.412686,-122.791191
40,2025-02-01,2026-01-31,WIMBLEDON SQUARE AND GARDENS,4806 SE 28TH AVE,25,0.218,45.487985,-122.637202
41,2025-02-01,2026-01-31,KW MOUNT HOOD LLC,765 SE MT HOOD HWY,25,0.218,45.491062,-122.40395
42,2025-02-01,2026-01-31,NB CAMPBELL PARK LLC,2737 NE RENE AVE,25,0.218,45.516804,-122.410163
43,2025-02-01,2026-01-31,FIELDSTONE APARTMENTS OREGON LLC,20650 NE HALSEY ST,25,0.218,45.532891,-122.449062
44,2025-02-01,2026-01-31,THE LAKES APARTMENTS,18250 NW CORNELL RD,25,0.218,45.532704,-122.865952
45,2025-02-01,2026-01-31,INVESTMENT PROPERTY GROUP UT INC.,1167 NW WALLULA AVE,25,0.218,45.505792,-122.446354
46,2025-02-01,2026-01-31,CRP/AR PROSE HAYDEN ISLAND OWNER LLC,110 N TOMAHAWK ISLAND DR,25,0.218,45.605642,-122.666802
47,2025-02-01,2026-01-31,PALLAS APARTMENTS,15123 SW MILLIKAN WAY,25,0.218,45.496128,-122.833154
48,2025-02-01,2026-01-31,AMFP V GROVES LLC,3500 NE 17TH ST,25,0.218,45.508785,-122.398202
49,2025-02-01,2026-01-31,AVENUE5 RESIDENTIAL LLC,3806 SW ORBIT ST,24,0.218,45.491837,-122.827228
50,2025-02-01,2026-01-31,BASELINE WOODS APARTMENTS LLC,581 SW 201ST AVE,24,0.218,45.515504,-122.884011
51,2025-02-01,2026-01-31,EAST PARK ASSOCIATES LLC,18837 SE YAMHILL ST,24,0.218,45.516295,-122.468742
52,2025-02-01,2026-01-31,"NORTH RIDGE APARTMENTS, LP",21159 NW GALICE LN,24,0.218,45.564547,-122.893678
53,2025-02-01,2026-01-31,EAST WIND APARTMENTS,2950 NE 23RD ST,24,0.218,45.512301,-122.402422
54,2025-02-01,2026-01-31,EMERALD PLACE APARTMENTS,1705 NW 173RD AVE,23,0.218,45.532076,-122.855047
55,2025-02-01,2026-01-31,GEP XI POWELL VALLEY LLC,1500 SW PLEASANT VIEW DR,23,0.218,45.485193,-122.466874
56,2025-02-01,2026-01-31,CONAM MANAGEMENT CORPORATION,16275 NW SCHENDEL AVE,23,0.218,45.519986,-122.84381
57,2025-02-01,2026-01-31,ELMONICA COURT,1169 SW KILEY WAY,23,0.218,45.512249,-122.847253
58,2025-02-01,2026-01-31,BURI BLDG,9777 NE GLISAN ST,23,0.218,45.526504,-122.563132
59,2025-02-01,2026-01-31,AAT LLOYD DISTRICT LLC,1061 NE 9TH AVE,23,0.218,45.530505,-122.657121
60,2025-02-01,2026-01-31,PATHFINDER ALBERTA HOLDINGS LLC,4111 NE MARTIN LUTHER KING JR BLVD,23,0.218,45.553688,-122.661923
61,2025-02-01,2026-01-31,AVENUE5 RESIDENTIAL LLC,5300 SW 180TH AVE,23,0.218,45.4816,-122.862523
62,2025-02-01,2026-01-31,PRIME ROCK CREEK LLC,18800 NW ROCK CREEK CIR,23,0.218,45.544031,-122.869094
63,2025-02-01,2026-01-31,POWELL 686 LIMITED PARTNERSHIP,12475 SE POWELL BLVD,23,0.218,45.497742,-122.53481
64,2025-02-01,2026-01-31,NURTURE 247 LIMITED PARTNERSHIP,1550 NW 14TH AVE,23,0.218,45.533796,-122.68507
65,2025-02-01,2026-01-31,TOKOLA PROPERTIES,1717 SE ORIENT DR,22,0.218,45.484698,-122.396696
66,2025-02-01,2026-01-31,NORTHWEST REAL ESTATE CAPITAL CORP.,5415 SE 122ND AVE,22,0.218,45.483914,-122.538191
67,2025-02-01,2026-01-31,CENTRAL CITY CONCERN,309 SW 4TH AVE,22,0.218,45.521036,-122.675498
68,2025-02-01,2026-01-31,MERITUS PROPERTY GROUP LLC,333 NW 4TH AVE,22,0.218,45.525835,-122.674653
69,2025-02-01,2026-01-31,QUANTUM RESIDENTIAL INC.,11560 SE DIVISION ST,21,0.218,45.503955,-122.544459
70,2025-02-01,2026-01-31,DAWSON CREEK LLC,16 NE TANDEM WAY,21,0.218,45.540101,-122.928203
71,2025-02-01,2026-01-31,CASA LA VETA ASSOCIATES LLC,9479 SW MAPLEWOOD DR,21,0.218,45.428016,-122.773996
72,2025-02-01,2026-01-31,PINNACLE PROPERTY MANAGEMENT SERVICES LLC,11451 SW DAVIES RD,21,0.218,45.436038,-122.82329
73,2025-02-01,2026-01-31,INNOVATIVE HOUSING INC.,1021 NE 33RD AVE,21,0.218,45.530379,-122.631349
74,2025-02-01,2026-01-31,LEGACY PROPERTY MANAGEMENT,1022 NE 181ST AVE,21,0.218,45.530173,-122.476286
75,2025-02-01,2026-01-31,LEGACY PROPERTY MANAGEMENT,13210 SE DIVISION ST,21,0.218,45.503499,-122.52694
76,2025-02-01,2026-01-31,IMAGES HIGHLAND LLC,4725 W POWELL BLVD,21,0.218,45.492546,-122.480135
77,2025-02-01,2026-01-31,CHNW GOOSE HOLLOW LLC,1630 SW CLAY ST,21,0.218,45.516224,-122.691734
78,2025-02-01,2026-01-31,COMMONS AT TIMBER CREEK NORTH LLC,12268 NW BARNES RD,21,0.218,45.519801,-122.80686
79,2025-02-01,2026-01-31,"UNITED DOMINION REALTY, L.P., A LIMITED PARTNERSHIP",9301 SW SAGERT ST,20,0.218,45.376962,-122.774618
80,2025-02-01,2026-01-31,IMAGES COLUMBIA APARTMENTS,13436 NE SANDY BLVD,20,0.218,45.553991,-122.522672
