group,month,month_last_day,month_filings,avg_filings,month_diff,month_filings_imputed,baseline_share
White,12/2024,,21272,23565,0.902694674305114,,
Black,12/2024,,78157,78998.5,0.989347899010741,,
Hispanic,12/2024,,4828,4496,1.07384341637011,,
Other,12/2024,,38747,41840.5,0.926064459076732,,
