month,month_last_day,month_filings,avg_filings,percentage_diff
January,,1337,1230.75,1.08632947389803
February,,1106,1031,1.07274490785645
March,,489,996.75,0.490594431903687
April,,0,997.625,0
May,,1,1172.875,0.000852605776404135
June,,62,1190.125,0.0520953681335994
July,,75,1314,0.0570776255707763
August,,82,1321.625,0.0620448311737444
September,,845,1130.5,0.747456877487837
October,,487,1222.25,0.39844548987523
November,,383,1016.25,0.376875768757688
December,12/12/2020,138,487.25,0.28322216521293
