type,GEOID,racial_majority,week,week_date,filings_2020,filings_avg
Zip Code,78610,white,1,2019-12-29,0,0
Zip Code,78610,white,2,2020-01-05,0,0.5
Zip Code,78610,white,3,2020-01-12,0,0
Zip Code,78610,white,4,2020-01-19,0,0
Zip Code,78610,white,5,2020-01-26,1,0
Zip Code,78610,white,6,2020-02-02,0,0
Zip Code,78610,white,7,2020-02-09,0,0
Zip Code,78610,white,8,2020-02-16,0,0.5
Zip Code,78610,white,9,2020-02-23,0,0.166666666666667
Zip Code,78610,white,10,2020-03-01,0,0
Zip Code,78610,white,11,2020-03-08,0,0
Zip Code,78610,white,12,2020-03-15,0,0
Zip Code,78610,white,13,2020-03-22,0,0
Zip Code,78610,white,14,2020-03-29,0,0
Zip Code,78610,white,15,2020-04-05,0,0
Zip Code,78610,white,16,2020-04-12,0,0
Zip Code,78610,white,17,2020-04-19,0,0
Zip Code,78610,white,18,2020-04-26,0,0.166666666666667
Zip Code,78610,white,19,2020-05-03,0,0
Zip Code,78610,white,20,2020-05-10,0,0.333333333333333
Zip Code,78610,white,21,2020-05-17,0,0
Zip Code,78610,white,22,2020-05-24,0,0.166666666666667
Zip Code,78610,white,23,2020-05-31,0,0.333333333333333
Zip Code,78610,white,24,2020-06-07,0,0.333333333333333
Zip Code,78610,white,25,2020-06-14,0,0.166666666666667
Zip Code,78610,white,26,2020-06-21,0,0
Zip Code,78610,white,27,2020-06-28,0,0
Zip Code,78610,white,28,2020-07-05,0,0.5
Zip Code,78610,white,29,2020-07-12,0,0.166666666666667
Zip Code,78610,white,30,2020-07-19,0,0.166666666666667
Zip Code,78610,white,31,2020-07-26,0,0.166666666666667
Zip Code,78610,white,32,2020-08-02,0,0.166666666666667
Zip Code,78610,white,33,2020-08-09,0,0
Zip Code,78610,white,34,2020-08-16,1,0.333333333333333
Zip Code,78610,white,35,2020-08-23,0,0
Zip Code,78610,white,36,2020-08-30,0,0
Zip Code,78610,white,37,2020-09-06,0,0
Zip Code,78610,white,38,2020-09-13,0,0.166666666666667
Zip Code,78610,white,39,2020-09-20,0,0.333333333333333
Zip Code,78610,white,40,2020-09-27,0,0.166666666666667
Zip Code,78610,white,41,2020-10-04,0,0.166666666666667
Zip Code,78610,white,42,2020-10-11,0,0.333333333333333
Zip Code,78612,other,1,2019-12-29,0,0
Zip Code,78612,other,2,2020-01-05,0,0.166666666666667
Zip Code,78612,other,3,2020-01-12,0,0.166666666666667
Zip Code,78612,other,4,2020-01-19,0,0
Zip Code,78612,other,5,2020-01-26,0,0.166666666666667
Zip Code,78612,other,6,2020-02-02,0,0.166666666666667
Zip Code,78612,other,7,2020-02-09,0,0
