type,GEOID,racial_majority,month,filings_2020,filings_avg,filings_avg_prepandemic_baseline,last_updated
Census Tract,45045000200,White,07/2022,3,1,1.5,
Census Tract,45045000200,White,08/2022,1,2,1,
Census Tract,45045000200,White,09/2022,6,1.5,3.5,
Census Tract,45045000200,White,10/2022,3,1,1.5,
Census Tract,45045000200,White,11/2022,1,0.5,1.75,
Census Tract,45045000200,White,12/2022,1,1,1.25,
Census Tract,45045000200,White,01/2023,2,2.5,3,
Census Tract,45045000200,White,02/2023,1,1,1,
Census Tract,45045000200,White,03/2023,2,1.5,1.5,
Census Tract,45045000200,White,04/2023,2,1.5,1.25,
Census Tract,45045000200,White,05/2023,2,1.5,2.5,
Census Tract,45045000200,White,06/2023,0,1.5,2.75,
Census Tract,45045000200,White,07/2023,1,1,1.5,
Census Tract,45045000200,White,08/2023,1,2,1,
Census Tract,45045000200,White,09/2023,3,1.5,3.5,
Census Tract,45045000200,White,10/2023,1,1,1.5,
Census Tract,45045000200,White,11/2023,0,0.5,1.75,
Census Tract,45045000200,White,12/2023,1,1,1.25,
Census Tract,45045000200,White,01/2024,3,2.5,3,
Census Tract,45045000200,White,02/2024,1,1,1,
Census Tract,45045000200,White,03/2024,1,1.5,1.5,
Census Tract,45045000200,White,04/2024,1,1.5,1.25,
Census Tract,45045000200,White,05/2024,1,1.5,2.5,
Census Tract,45045000200,White,06/2024,3,1.5,2.75,
Census Tract,45045000200,White,07/2024,1,1,1.5,
Census Tract,45045000200,White,08/2024,3,2,1,
Census Tract,45045000200,White,09/2024,0,1.5,3.5,
Census Tract,45045000200,White,10/2024,1,1,1.5,
Census Tract,45045000200,White,11/2024,1,0.5,1.75,
Census Tract,45045000200,White,12/2024,1,1,1.25,
Census Tract,45045000200,White,01/2025,4,2.5,3,
Census Tract,45045000200,White,02/2025,3,1,1,
Census Tract,45045000200,White,03/2025,2,1.5,1.5,
Census Tract,45045000200,White,04/2025,1,1.5,1.25,
Census Tract,45045000200,White,05/2025,2,1.5,2.5,
Census Tract,45045000200,White,06/2025,3,1.5,2.75,
Census Tract,45045000200,White,07/2025,3,1,1.5,
Census Tract,45045000200,White,08/2025,0,2,1,
Census Tract,45045000200,White,09/2025,1,1.5,3.5,
Census Tract,45045000200,White,10/2025,1,1,1.5,
Census Tract,45045000200,White,11/2025,0,0,1.5,2025-11-15
Census Tract,45045000400,White,01/2020,7,2,3,
Census Tract,45045000400,White,02/2020,3,5,2.25,
Census Tract,45045000400,White,03/2020,4,4.5,0.75,
Census Tract,45045000400,White,04/2020,0,4.5,4,
Census Tract,45045000400,White,05/2020,4,3,3.25,
Census Tract,45045000400,White,06/2020,2,5,2,
Census Tract,45045000400,White,07/2020,1,3,3,
Census Tract,45045000400,White,08/2020,1,3,2.25,
Census Tract,45045000400,White,09/2020,2,2,2,
Census Tract,45045000400,White,10/2020,0,3.5,2.25,
Census Tract,45045000400,White,11/2020,7,1.5,2,
Census Tract,45045000400,White,12/2020,1,1.5,3,
Census Tract,45045000400,White,01/2021,1,2,3,
Census Tract,45045000400,White,02/2021,2,5,2.25,
Census Tract,45045000400,White,03/2021,1,4.5,0.75,
Census Tract,45045000400,White,04/2021,2,4.5,4,
Census Tract,45045000400,White,05/2021,0,3,3.25,
Census Tract,45045000400,White,06/2021,1,5,2,
Census Tract,45045000400,White,07/2021,4,3,3,
Census Tract,45045000400,White,08/2021,3,3,2.25,
Census Tract,45045000400,White,09/2021,1,2,2,
Census Tract,45045000400,White,10/2021,8,3.5,2.25,
Census Tract,45045000400,White,11/2021,1,1.5,2,
Census Tract,45045000400,White,12/2021,6,1.5,3,
Census Tract,45045000400,White,01/2022,4,2,3,
Census Tract,45045000400,White,02/2022,1,5,2.25,
Census Tract,45045000400,White,03/2022,5,4.5,0.75,
Census Tract,45045000400,White,04/2022,2,4.5,4,
Census Tract,45045000400,White,05/2022,5,3,3.25,
Census Tract,45045000400,White,06/2022,2,5,2,
Census Tract,45045000400,White,07/2022,5,3,3,
Census Tract,45045000400,White,08/2022,3,3,2.25,
Census Tract,45045000400,White,09/2022,2,2,2,
Census Tract,45045000400,White,10/2022,2,3.5,2.25,
Census Tract,45045000400,White,11/2022,4,1.5,2,
Census Tract,45045000400,White,12/2022,5,1.5,3,
Census Tract,45045000400,White,01/2023,1,2,3,
Census Tract,45045000400,White,02/2023,7,5,2.25,
Census Tract,45045000400,White,03/2023,7,4.5,0.75,
Census Tract,45045000400,White,04/2023,4,4.5,4,
Census Tract,45045000400,White,05/2023,4,3,3.25,
Census Tract,45045000400,White,06/2023,4,5,2,
Census Tract,45045000400,White,07/2023,4,3,3,
Census Tract,45045000400,White,08/2023,4,3,2.25,
Census Tract,45045000400,White,09/2023,4,2,2,
Census Tract,45045000400,White,10/2023,6,3.5,2.25,
Census Tract,45045000400,White,11/2023,1,1.5,2,
Census Tract,45045000400,White,12/2023,1,1.5,3,
Census Tract,45045000400,White,01/2024,3,2,3,
Census Tract,45045000400,White,02/2024,3,5,2.25,
Census Tract,45045000400,White,03/2024,2,4.5,0.75,
Census Tract,45045000400,White,04/2024,5,4.5,4,
Census Tract,45045000400,White,05/2024,2,3,3.25,
Census Tract,45045000400,White,06/2024,6,5,2,
Census Tract,45045000400,White,07/2024,2,3,3,
Census Tract,45045000400,White,08/2024,2,3,2.25,
Census Tract,45045000400,White,09/2024,0,2,2,
Census Tract,45045000400,White,10/2024,1,3.5,2.25,
Census Tract,45045000400,White,11/2024,2,1.5,2,
Census Tract,45045000400,White,12/2024,2,1.5,3,
Census Tract,45045000400,White,01/2025,3,2,3,
Census Tract,45045000400,White,02/2025,4,5,2.25,
Census Tract,45045000400,White,03/2025,4,4.5,0.75,
Census Tract,45045000400,White,04/2025,4,4.5,4,
Census Tract,45045000400,White,05/2025,1,3,3.25,
Census Tract,45045000400,White,06/2025,2,5,2,
Census Tract,45045000400,White,07/2025,2,3,3,
Census Tract,45045000400,White,08/2025,0,3,2.25,
Census Tract,45045000400,White,09/2025,2,2,2,
Census Tract,45045000400,White,10/2025,0,3.5,2.25,
Census Tract,45045000400,White,11/2025,0,0.5,1.5,2025-11-15
Census Tract,45045000500,Other,01/2020,4,2,6.25,
Census Tract,45045000500,Other,02/2020,4,5,5,
Census Tract,45045000500,Other,03/2020,1,1.5,2.5,
Census Tract,45045000500,Other,04/2020,0,2,4,
Census Tract,45045000500,Other,05/2020,1,9,2.75,
Census Tract,45045000500,Other,06/2020,6,3,4,
Census Tract,45045000500,Other,07/2020,0,3,3.25,
Census Tract,45045000500,Other,08/2020,1,5,6.25,
Census Tract,45045000500,Other,09/2020,3,3,3.5,
Census Tract,45045000500,Other,10/2020,2,4.5,5.5,
Census Tract,45045000500,Other,11/2020,2,4,4,
Census Tract,45045000500,Other,12/2020,2,2,6.25,
Census Tract,45045000500,Other,01/2021,2,2,6.25,
Census Tract,45045000500,Other,02/2021,2,5,5,
Census Tract,45045000500,Other,03/2021,2,1.5,2.5,
Census Tract,45045000500,Other,04/2021,0,2,4,
Census Tract,45045000500,Other,05/2021,4,9,2.75,
Census Tract,45045000500,Other,06/2021,3,3,4,
Census Tract,45045000500,Other,07/2021,2,3,3.25,
Census Tract,45045000500,Other,08/2021,1,5,6.25,
Census Tract,45045000500,Other,09/2021,2,3,3.5,
Census Tract,45045000500,Other,10/2021,3,4.5,5.5,
Census Tract,45045000500,Other,11/2021,0,4,4,
Census Tract,45045000500,Other,12/2021,0,2,6.25,
Census Tract,45045000500,Other,01/2022,2,2,6.25,
Census Tract,45045000500,Other,02/2022,5,5,5,
Census Tract,45045000500,Other,03/2022,3,1.5,2.5,
Census Tract,45045000500,Other,04/2022,2,2,4,
Census Tract,45045000500,Other,05/2022,2,9,2.75,
Census Tract,45045000500,Other,06/2022,3,3,4,
Census Tract,45045000500,Other,07/2022,3,3,3.25,
Census Tract,45045000500,Other,08/2022,7,5,6.25,
Census Tract,45045000500,Other,09/2022,0,3,3.5,
Census Tract,45045000500,Other,10/2022,2,4.5,5.5,
Census Tract,45045000500,Other,11/2022,1,4,4,
Census Tract,45045000500,Other,12/2022,1,2,6.25,
Census Tract,45045000500,Other,01/2023,2,2,6.25,
Census Tract,45045000500,Other,02/2023,2,5,5,
Census Tract,45045000500,Other,03/2023,3,1.5,2.5,
Census Tract,45045000500,Other,04/2023,1,2,4,
Census Tract,45045000500,Other,05/2023,6,9,2.75,
Census Tract,45045000500,Other,06/2023,2,3,4,
Census Tract,45045000500,Other,07/2023,1,3,3.25,
Census Tract,45045000500,Other,08/2023,3,5,6.25,
Census Tract,45045000500,Other,09/2023,3,3,3.5,
Census Tract,45045000500,Other,10/2023,6,4.5,5.5,
Census Tract,45045000500,Other,11/2023,4,4,4,
Census Tract,45045000500,Other,12/2023,1,2,6.25,
Census Tract,45045000500,Other,01/2024,2,2,6.25,
Census Tract,45045000500,Other,02/2024,8,5,5,
Census Tract,45045000500,Other,03/2024,0,1.5,2.5,
Census Tract,45045000500,Other,04/2024,3,2,4,
Census Tract,45045000500,Other,05/2024,12,9,2.75,
Census Tract,45045000500,Other,06/2024,4,3,4,
Census Tract,45045000500,Other,07/2024,5,3,3.25,
Census Tract,45045000500,Other,08/2024,7,5,6.25,
Census Tract,45045000500,Other,09/2024,3,3,3.5,
Census Tract,45045000500,Other,10/2024,3,4.5,5.5,
Census Tract,45045000500,Other,11/2024,4,4,4,
Census Tract,45045000500,Other,12/2024,3,2,6.25,
Census Tract,45045000500,Other,01/2025,5,2,6.25,
Census Tract,45045000500,Other,02/2025,3,5,5,
