share,last_year,postpandemic,renters
white_share,0.3883244577759652,0.40598555802473224,0.5067292910858063
black_share,0.3750584195289864,0.3726795483262904,0.2575873639304258
hispanic_share,0.1600344644942954,0.14692252292393226,0.15707010514104072
other_share,0.07658265820075301,0.07441237072504503,0.07861323984272717
female_share,0.5347036412361182,0.5386949376442296,0.5264612732089204
