id,name,week_date,week_filings,week_trend,end_moratorium_date,start_moratorium_date
09,Connecticut,03/15/2020,260,338.25,01/01/2021,03/16/2020
09,Connecticut,03/22/2020,193,301.75,01/01/2021,03/16/2020
09,Connecticut,03/29/2020,78,220,01/01/2021,03/16/2020
09,Connecticut,04/05/2020,74,151.25,01/01/2021,03/16/2020
09,Connecticut,04/12/2020,34,94.75,01/01/2021,03/16/2020
09,Connecticut,04/19/2020,6,48,01/01/2021,03/16/2020
09,Connecticut,04/26/2020,8,30.5,01/01/2021,03/16/2020
09,Connecticut,05/03/2020,2,12.5,01/01/2021,03/16/2020
09,Connecticut,05/10/2020,5,5.25,01/01/2021,03/16/2020
09,Connecticut,05/17/2020,11,6.5,01/01/2021,03/16/2020
09,Connecticut,05/24/2020,5,5.75,01/01/2021,03/16/2020
09,Connecticut,05/31/2020,9,7.5,01/01/2021,03/16/2020
09,Connecticut,06/07/2020,4,7.25,01/01/2021,03/16/2020
09,Connecticut,06/14/2020,8,6.5,01/01/2021,03/16/2020
09,Connecticut,06/21/2020,7,7,01/01/2021,03/16/2020
09,Connecticut,06/28/2020,5,6,01/01/2021,03/16/2020
09,Connecticut,07/05/2020,20,10,01/01/2021,03/16/2020
09,Connecticut,07/12/2020,28,15,01/01/2021,03/16/2020
09,Connecticut,07/19/2020,48,25.25,01/01/2021,03/16/2020
09,Connecticut,07/26/2020,57,38.25,01/01/2021,03/16/2020
09,Connecticut,08/02/2020,32,41.25,01/01/2021,03/16/2020
09,Connecticut,08/09/2020,28,41.25,01/01/2021,03/16/2020
09,Connecticut,08/16/2020,44,40.25,01/01/2021,03/16/2020
09,Connecticut,08/23/2020,29,33.25,01/01/2021,03/16/2020
09,Connecticut,08/30/2020,42,35.75,01/01/2021,03/16/2020
09,Connecticut,09/06/2020,41,39,01/01/2021,03/16/2020
09,Connecticut,09/13/2020,60,43,01/01/2021,03/16/2020
09,Connecticut,09/20/2020,50,48.25,01/01/2021,03/16/2020
09,Connecticut,09/27/2020,22,43.25,01/01/2021,03/16/2020
09,Connecticut,10/04/2020,58,47.5,01/01/2021,03/16/2020
09,Connecticut,10/11/2020,39,42.25,01/01/2021,03/16/2020
09,Connecticut,10/18/2020,87,51.5,01/01/2021,03/16/2020
09,Connecticut,10/25/2020,113,74.25,01/01/2021,03/16/2020
09,Connecticut,11/01/2020,108,86.75,01/01/2021,03/16/2020
09,Connecticut,11/08/2020,123,107.75,01/01/2021,03/16/2020
09,Connecticut,11/15/2020,115,107.75,01/01/2021,03/16/2020
