id,month_date,month_filings,month_rate,month_diff,pct_white,pct_black,pct_latinx
39035101101,23/05/2021,3,0.00392670157068063,0.727272727272727,0.287958115183246,0.447643979057592,0.191099476439791
39035101102,23/05/2021,2,0.00113895216400911,0.342857142857143,0.705580865603645,0.187927107061503,0.0466970387243736
39035101300,23/05/2021,1,0.0013351134846462,0.307692307692308,0.411214953271028,0.469959946595461,0.0947930574098798
39035101400,23/05/2021,2,0.00348432055749129,0.75,0.341463414634146,0.409407665505227,0.196864111498258
39035101501,23/05/2021,1,0.00159744408945687,0.4,0.396166134185304,0.292332268370607,0.21405750798722
39035101603,23/05/2021,1,0.00168918918918919,0.25,0.430743243243243,0.380067567567568,0.189189189189189
39035101700,23/05/2021,4,0.00433839479392625,0.625,0.259219088937093,0.565075921908894,0.1941431670282
39035101800,23/05/2021,1,0.00141043723554302,0.258064516129032,0.348377997179126,0.38787023977433,0.19605077574048
39035101901,23/05/2021,6,0.0159574468085106,1.47368421052632,0.398936170212766,0.319148936170213,0.303191489361702
39035102102,23/05/2021,2,0.00355239786856128,0.461538461538462,0.477797513321492,0.328596802841918,0.211367673179396
39035102300,23/05/2021,3,0.00555555555555556,0.666666666666667,0.32962962962963,0.416666666666667,0.303703703703704
39035102401,23/05/2021,1,0.00273972602739726,0.470588235294118,0.457534246575342,0.213698630136986,0.268493150684932
39035102402,23/05/2021,3,0.00442477876106195,0.727272727272727,0.455752212389381,0.343657817109145,0.185840707964602
39035102700,23/05/2021,1,0.00101522842639594,0.2,0.455837563451777,0.254822335025381,0.330964467005076
39035102800,23/05/2021,3,0.00669642857142857,0.761904761904762,0.28125,0.25,0.448660714285714
39035102900,23/05/2021,4,0.00947867298578199,0.714285714285714,0.329383886255924,0.229857819905213,0.492890995260663
39035103300,23/05/2021,1,0.000879507475813544,0.0898876404494382,0.258575197889182,0.692172383465259,0.0589270008795075
39035103400,23/05/2021,2,0.00280898876404494,0.923076923076923,0.443820224719101,0.379213483146067,0.191011235955056
39035103500,23/05/2021,1,0.00221729490022173,0.727272727272727,0.798226164079823,0.0620842572062084,0.0798226164079823
39035103602,23/05/2021,1,0.000695410292072323,0.32,0.591794158553547,0.264951321279555,0.0904033379694019
39035104100,23/05/2021,1,0.00241545893719807,1,0.347826086956522,0.263285024154589,0.422705314009662
39035104400,23/05/2021,1,0.00240384615384615,0.666666666666667,0.774038461538462,0.15625,0.0528846153846154
39035104800,23/05/2021,1,0.00210526315789474,0.533333333333333,0.585263157894737,0.178947368421053,0.204210526315789
39035104900,23/05/2021,1,0.00218818380743982,0.333333333333333,0.350109409190372,0.161925601750547,0.477024070021882
39035105100,23/05/2021,2,0.00221729490022173,0.375,0.527716186252772,0.165188470066519,0.267184035476718
39035105300,23/05/2021,2,0.00301659125188537,0.428571428571429,0.337858220211161,0.18552036199095,0.473604826546003
39035105400,23/05/2021,3,0.00395778364116095,0.470588235294118,0.50131926121372,0.251978891820581,0.337730870712401
39035105500,23/05/2021,3,0.00538599640933573,0.761904761904762,0.380610412926391,0.251346499102334,0.330341113105925
39035105602,23/05/2021,1,0.00142045454545455,0.380952380952381,0.261363636363636,0.470170454545455,0.247159090909091
39035105700,23/05/2021,3,0.00221075902726603,0.533333333333333,0.442151805453206,0.345615327929256,0.201915991156964
39035105900,23/05/2021,2,0.00472813238770686,0.8,0.6548463356974,0.08274231678487,0.243498817966903
39035106200,23/05/2021,2,0.002460024600246,0.923076923076923,0.750307503075031,0.043050430504305,0.169741697416974
39035106300,23/05/2021,1,0.00145137880986938,0.444444444444444,0.597968069666183,0.21044992743106,0.145137880986938
39035106400,23/05/2021,1,0.0037593984962406,1,0.586466165413534,0.18796992481203,0.225563909774436
39035106600,23/05/2021,1,0.00153846153846154,0.32,0.638461538461538,0.158461538461538,0.166153846153846
39035106800,23/05/2021,4,0.00470035252643948,0.689655172413793,0.441833137485311,0.279670975323149,0.230317273795535
39035106900,23/05/2021,2,0.00244798041615667,0.342857142857143,0.560587515299878,0.299877600979192,0.13219094247246
39035107101,23/05/2021,3,0.00224382946896036,0.888888888888889,0.800299177262528,0.0815258040388931,0.0635751682872102
39035107701,23/05/2021,9,0.00443349753694581,1.21212121212121,0.577339901477833,0.225615763546798,0.0650246305418719
39035108201,23/05/2021,5,0.00841750841750842,1.84615384615385,0.425925925925926,0.348484848484849,0.148148148148148
39035108301,23/05/2021,5,0.00900900900900901,4,0.172972972972973,0.401801801801802,0.144144144144144
39035108400,23/05/2021,2,0.00431965442764579,2,0.319654427645788,0.352051835853132,0.0388768898488121
39035108701,23/05/2021,1,0.000649772579597141,0.0754716981132076,0.0636777128005198,0.871345029239766,0.0175438596491228
39035109701,23/05/2021,2,0.00332778702163062,0.923076923076923,0,0.995008319467554,0.0116472545757072
39035110801,23/05/2021,2,0.00677966101694915,0.666666666666667,0.233898305084746,0.627118644067797,0.142372881355932
39035110901,23/05/2021,3,0.00429184549356223,0.666666666666667,0.340486409155937,0.507868383404864,0.138769670958512
39035111202,23/05/2021,3,0.00817438692098093,1.23076923076923,0.228882833787466,0.643051771117166,0.0817438692098093
39035111500,23/05/2021,1,0.00271739130434783,0.615384615384615,0.195652173913043,0.763586956521739,0
39035111600,23/05/2021,2,0.00888888888888889,0.857142857142857,0.12,0.88,0.0355555555555556
39035112500,23/05/2021,1,0.00235294117647059,0.727272727272727,0.0517647058823529,0.929411764705882,0.0188235294117647
39035112800,23/05/2021,1,0.002710027100271,1.33333333333333,0.013550135501355,0.934959349593496,0.0514905149051491
