id,name,week_date,week_filings,week_trend,end_moratorium_date,start_moratorium_date,subgroups,subgroup_values
27053,"Minneapolis-Saint Paul, MN",03/15/2020,46,81.25,12/12/2020,03/16/2020,Hennepin County;Ramsey County,211;113
27053,"Minneapolis-Saint Paul, MN",03/22/2020,6,63.5,12/12/2020,03/16/2020,Hennepin County;Ramsey County,211;113
27053,"Minneapolis-Saint Paul, MN",03/29/2020,5,51.75,12/12/2020,03/16/2020,Hennepin County;Ramsey County,211;113
27053,"Minneapolis-Saint Paul, MN",04/05/2020,0,14.25,12/12/2020,03/16/2020,Hennepin County;Ramsey County,211;113
27053,"Minneapolis-Saint Paul, MN",04/12/2020,5,4,12/12/2020,03/16/2020,Hennepin County;Ramsey County,211;113
27053,"Minneapolis-Saint Paul, MN",04/19/2020,5,3.75,12/12/2020,03/16/2020,Hennepin County;Ramsey County,211;113
27053,"Minneapolis-Saint Paul, MN",04/26/2020,8,4.5,12/12/2020,03/16/2020,Hennepin County;Ramsey County,211;113
27053,"Minneapolis-Saint Paul, MN",05/03/2020,6,6,12/12/2020,03/16/2020,Hennepin County;Ramsey County,211;113
27053,"Minneapolis-Saint Paul, MN",05/10/2020,1,5,12/12/2020,03/16/2020,Hennepin County;Ramsey County,211;113
27053,"Minneapolis-Saint Paul, MN",05/17/2020,6,5.25,12/12/2020,03/16/2020,Hennepin County;Ramsey County,211;113
27053,"Minneapolis-Saint Paul, MN",05/24/2020,2,3.75,12/12/2020,03/16/2020,Hennepin County;Ramsey County,211;113
27053,"Minneapolis-Saint Paul, MN",05/31/2020,3,3,12/12/2020,03/16/2020,Hennepin County;Ramsey County,211;113
27053,"Minneapolis-Saint Paul, MN",06/07/2020,8,4.75,12/12/2020,03/16/2020,Hennepin County;Ramsey County,211;113
27053,"Minneapolis-Saint Paul, MN",06/14/2020,6,4.75,12/12/2020,03/16/2020,Hennepin County;Ramsey County,211;113
27053,"Minneapolis-Saint Paul, MN",06/21/2020,6,5.75,12/12/2020,03/16/2020,Hennepin County;Ramsey County,211;113
27053,"Minneapolis-Saint Paul, MN",06/28/2020,5,6.25,12/12/2020,03/16/2020,Hennepin County;Ramsey County,211;113
27053,"Minneapolis-Saint Paul, MN",07/05/2020,6,5.75,12/12/2020,03/16/2020,Hennepin County;Ramsey County,211;113
27053,"Minneapolis-Saint Paul, MN",07/12/2020,8,6.25,12/12/2020,03/16/2020,Hennepin County;Ramsey County,211;113
27053,"Minneapolis-Saint Paul, MN",07/19/2020,6,6.25,12/12/2020,03/16/2020,Hennepin County;Ramsey County,211;113
27053,"Minneapolis-Saint Paul, MN",07/26/2020,10,7.5,12/12/2020,03/16/2020,Hennepin County;Ramsey County,211;113
27053,"Minneapolis-Saint Paul, MN",08/02/2020,7,7.75,12/12/2020,03/16/2020,Hennepin County;Ramsey County,211;113
27053,"Minneapolis-Saint Paul, MN",08/09/2020,4,6.75,12/12/2020,03/16/2020,Hennepin County;Ramsey County,211;113
27053,"Minneapolis-Saint Paul, MN",08/16/2020,13,8.5,12/12/2020,03/16/2020,Hennepin County;Ramsey County,211;113
27053,"Minneapolis-Saint Paul, MN",08/23/2020,8,8,12/12/2020,03/16/2020,Hennepin County;Ramsey County,211;113
27053,"Minneapolis-Saint Paul, MN",08/30/2020,7,8,12/12/2020,03/16/2020,Hennepin County;Ramsey County,211;113
27053,"Minneapolis-Saint Paul, MN",09/06/2020,11,9.75,12/12/2020,03/16/2020,Hennepin County;Ramsey County,211;113
27053,"Minneapolis-Saint Paul, MN",09/13/2020,15,10.25,12/12/2020,03/16/2020,Hennepin County;Ramsey County,211;113
27053,"Minneapolis-Saint Paul, MN",09/20/2020,6,9.75,12/12/2020,03/16/2020,Hennepin County;Ramsey County,211;113
27053,"Minneapolis-Saint Paul, MN",09/27/2020,13,11.25,12/12/2020,03/16/2020,Hennepin County;Ramsey County,211;113
27053,"Minneapolis-Saint Paul, MN",10/04/2020,9,10.75,12/12/2020,03/16/2020,Hennepin County;Ramsey County,211;113
27053,"Minneapolis-Saint Paul, MN",10/11/2020,17,11.25,12/12/2020,03/16/2020,Hennepin County;Ramsey County,211;113
27053,"Minneapolis-Saint Paul, MN",10/18/2020,8,11.75,12/12/2020,03/16/2020,Hennepin County;Ramsey County,211;113
27053,"Minneapolis-Saint Paul, MN",10/25/2020,16,12.5,12/12/2020,03/16/2020,Hennepin County;Ramsey County,211;113
27053,"Minneapolis-Saint Paul, MN",11/01/2020,18,14.75,12/12/2020,03/16/2020,Hennepin County;Ramsey County,211;113
27053,"Minneapolis-Saint Paul, MN",11/08/2020,24,14.75,12/12/2020,03/16/2020,Hennepin County;Ramsey County,211;113
