group,month,month_last_day,month_filings,avg_filings,month_diff,month_filings_imputed,baseline_share
White,08/2025,,15431,12914.5,1.19485849239227,0.562973977695167,0.677282336488113
Hispanic,08/2025,,46,42,1.0952380952381,0.188700536968195,0.122587569518978
Other,08/2025,,2134,1659.5,1.2859294968364,0.128716646014044,
Black,08/2025,,,,,0.119608839322594,0.0720460532734901
Female,08/2025,,,,,0.518049469273847,0.508591443051602
