position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,PARADIGM PROPERTIES MANAGEMENT TEAM INC (BOARDWALK,2701 SW 13TH ST,50,0.535
2,2020-03-15,YES PALMS OF ARCHER LLC,7117 SW ARCHER RD,39,0.535
3,2020-03-15,RATH/HARPER AND ASSOCIATES INC,15265 NW 150TH RD,38,0.535
4,2020-03-15,PARADIGM PROPERTIES MANAGEMENT TEAM INC (ARBOR,307 SW 16TH AVE,36,0.535
5,2020-03-15,PEP-UF LLC,1000 SW 62ND BLVD,25,0.535
6,2020-03-15,PARADIGM PROPERTIES MANAGEMENT TEAM INC (BIVENS,3301 SW 13TH ST,25,0.535
7,2020-03-15,GRANITE LAMPLIGHTER LLC,2401 NE 52ND ST,23,0.535
8,2020-03-15,RATH/HARPER & ASSOCIATES INC,2625 SW 75TH ST,22,0.535
9,2020-03-15,WEST SHORE LLC,1505 FT CLARKE BLVD,18,0.535
10,2020-03-15,FLORIDA HOMES 7 LP,4117 SW 20TH AVE,16,0.535
1,2021-07-18,PARADIGM PROPERTIES MANAGEMENT TEAM INC (ARBOR,307 SW 16TH AVE,13,0.903
2,2021-07-18,WEST SHORE LLC,1505 FORT CLARKE BLVD ,12,0.903
3,2021-07-18,PARADIGM PROPERTIES MANAGEMENT TEAM INC (BOARDWALK,2701 SW 13TH ST,12,0.903
4,2021-07-18,GRANITE LAMPLIGHTER LLC,2401 NE 52ND ST,12,0.903
5,2021-07-18,UNIVERSITY COVE PARTNERS LTD A FLORIDA LIMITED,6815 W UNIVERSITY AVE,7,0.903
6,2021-07-18,ATLANTIC MULTI-FAMILY,4258 SE 11TH LN,5,0.903
7,2021-07-18,PARADIGM PROPERTIES MANAGEMENT TEAM INC BIVENS,3301 SW 13TH ST,5,0.903
8,2021-07-18,YES PALMS OF ARCHER LLC,7117 SW ARCHER RD,4,0.903
9,2021-07-18,PARADIGM PROPERTIES MANAGEMENT TEAM INC,2701 NW 23RD BLVD,3,0.903
10,2021-07-18,PARADIGM PROPERTIES MANAGEMENT TEAM INC (FREDERICK,1130 SW 16TH AVE,3,0.903
