type,GEOID,racial_majority,month,filings_2020,filings_avg,filings_avg_prepandemic_baseline,last_updated
Census Tract,12001000400,Other,07/2024,4,5,7.333,
Census Tract,12001000400,Other,08/2024,5,6.5,3.167,
Census Tract,12001000400,Other,09/2024,3,2.5,4.167,
Census Tract,12001000400,Other,10/2024,7,10,4.167,
Census Tract,12001000400,Other,11/2024,2,2,1.167,
Census Tract,12001000400,Other,12/2024,1,2,3.167,
Census Tract,12001000400,Other,01/2025,2,6.5,7.167,
Census Tract,12001000400,Other,02/2025,2,5.5,2.833,
Census Tract,12001000400,Other,03/2025,5,4,1.833,
Census Tract,12001000400,Other,04/2025,2,4,2.833,
Census Tract,12001000400,Other,05/2025,2,5,4.5,
Census Tract,12001000400,Other,06/2025,6,6.5,4.667,
Census Tract,12001000400,Other,07/2025,5,5,7.333,
Census Tract,12001000400,Other,08/2025,4,6.5,3.167,
Census Tract,12001000400,Other,09/2025,2,2.5,4.167,
Census Tract,12001000400,Other,10/2025,2,10,4.167,
Census Tract,12001000400,Other,11/2025,1,2,1.167,
Census Tract,12001000400,Other,12/2025,5,2,3.167,
Census Tract,12001000400,Other,01/2026,0,0.5,,2026-01-03
Census Tract,12001000500,White,01/2020,0,3.5,3.5,
Census Tract,12001000500,White,02/2020,0,3.5,1.667,
Census Tract,12001000500,White,03/2020,0,1.5,2.833,
Census Tract,12001000500,White,04/2020,0,1.5,1.5,
Census Tract,12001000500,White,05/2020,0,3,3.333,
Census Tract,12001000500,White,06/2020,0,5,3,
Census Tract,12001000500,White,07/2020,0,3.5,2.833,
Census Tract,12001000500,White,08/2020,0,3.5,3,
Census Tract,12001000500,White,09/2020,0,3,4.167,
Census Tract,12001000500,White,10/2020,0,4,2.667,
Census Tract,12001000500,White,11/2020,0,0.5,1.667,
Census Tract,12001000500,White,12/2020,0,2.5,2.5,
Census Tract,12001000500,White,01/2021,0,3.5,3.5,
Census Tract,12001000500,White,02/2021,0,3.5,1.667,
Census Tract,12001000500,White,03/2021,0,1.5,2.833,
Census Tract,12001000500,White,04/2021,0,1.5,1.5,
Census Tract,12001000500,White,05/2021,0,3,3.333,
Census Tract,12001000500,White,06/2021,0,5,3,
Census Tract,12001000500,White,07/2021,0,3.5,2.833,
Census Tract,12001000500,White,08/2021,0,3.5,3,
Census Tract,12001000500,White,09/2021,0,3,4.167,
Census Tract,12001000500,White,10/2021,0,4,2.667,
Census Tract,12001000500,White,11/2021,0,0.5,1.667,
Census Tract,12001000500,White,12/2021,0,2.5,2.5,
Census Tract,12001000500,White,01/2022,0,3.5,3.5,
Census Tract,12001000500,White,02/2022,0,3.5,1.667,
Census Tract,12001000500,White,03/2022,0,1.5,2.833,
Census Tract,12001000500,White,04/2022,0,1.5,1.5,
Census Tract,12001000500,White,05/2022,0,3,3.333,
Census Tract,12001000500,White,06/2022,0,5,3,
Census Tract,12001000500,White,07/2022,0,3.5,2.833,
Census Tract,12001000500,White,08/2022,0,3.5,3,
Census Tract,12001000500,White,09/2022,0,3,4.167,
Census Tract,12001000500,White,10/2022,0,4,2.667,
Census Tract,12001000500,White,11/2022,0,0.5,1.667,
Census Tract,12001000500,White,12/2022,0,2.5,2.5,
Census Tract,12001000500,White,01/2023,0,3.5,3.5,
Census Tract,12001000500,White,02/2023,0,3.5,1.667,
Census Tract,12001000500,White,03/2023,0,1.5,2.833,
Census Tract,12001000500,White,04/2023,0,1.5,1.5,
Census Tract,12001000500,White,05/2023,0,3,3.333,
Census Tract,12001000500,White,06/2023,0,5,3,
Census Tract,12001000500,White,07/2023,0,3.5,2.833,
Census Tract,12001000500,White,08/2023,0,3.5,3,
Census Tract,12001000500,White,09/2023,0,3,4.167,
Census Tract,12001000500,White,10/2023,0,4,2.667,
Census Tract,12001000500,White,11/2023,0,0.5,1.667,
Census Tract,12001000500,White,12/2023,0,2.5,2.5,
Census Tract,12001000500,White,01/2024,5,3.5,3.5,
Census Tract,12001000500,White,02/2024,4,3.5,1.667,
Census Tract,12001000500,White,03/2024,2,1.5,2.833,
Census Tract,12001000500,White,04/2024,0,1.5,1.5,
Census Tract,12001000500,White,05/2024,0,3,3.333,
Census Tract,12001000500,White,06/2024,0,5,3,
Census Tract,12001000500,White,07/2024,3,3.5,2.833,
Census Tract,12001000500,White,08/2024,4,3.5,3,
Census Tract,12001000500,White,09/2024,1,3,4.167,
Census Tract,12001000500,White,10/2024,2,4,2.667,
Census Tract,12001000500,White,11/2024,1,0.5,1.667,
Census Tract,12001000500,White,12/2024,3,2.5,2.5,
Census Tract,12001000500,White,01/2025,2,3.5,3.5,
Census Tract,12001000500,White,02/2025,4,3.5,1.667,
Census Tract,12001000500,White,03/2025,3,1.5,2.833,
Census Tract,12001000500,White,04/2025,2,1.5,1.5,
Census Tract,12001000500,White,05/2025,4,3,3.333,
Census Tract,12001000500,White,06/2025,6,5,3,
Census Tract,12001000500,White,07/2025,5,3.5,2.833,
Census Tract,12001000500,White,08/2025,0,3.5,3,
Census Tract,12001000500,White,09/2025,1,3,4.167,
Census Tract,12001000500,White,10/2025,5,4,2.667,
Census Tract,12001000500,White,11/2025,2,0.5,1.667,
Census Tract,12001000500,White,12/2025,1,2.5,2.5,
Census Tract,12001000500,White,01/2026,0,0.5,,2026-01-03
Census Tract,12001000600,Black,01/2020,0,3.5,5.667,
Census Tract,12001000600,Black,02/2020,0,8,6.5,
Census Tract,12001000600,Black,03/2020,0,6,4.5,
Census Tract,12001000600,Black,04/2020,0,7,4.833,
Census Tract,12001000600,Black,05/2020,0,4,6.5,
Census Tract,12001000600,Black,06/2020,0,1.5,6.833,
Census Tract,12001000600,Black,07/2020,0,3.5,4.5,
Census Tract,12001000600,Black,08/2020,0,5.5,6.5,
Census Tract,12001000600,Black,09/2020,0,6,4.333,
Census Tract,12001000600,Black,10/2020,0,4.5,5.333,
Census Tract,12001000600,Black,11/2020,0,4.5,5.5,
Census Tract,12001000600,Black,12/2020,0,3,5.167,
Census Tract,12001000600,Black,01/2021,0,3.5,5.667,
Census Tract,12001000600,Black,02/2021,0,8,6.5,
Census Tract,12001000600,Black,03/2021,0,6,4.5,
Census Tract,12001000600,Black,04/2021,0,7,4.833,
Census Tract,12001000600,Black,05/2021,0,4,6.5,
Census Tract,12001000600,Black,06/2021,0,1.5,6.833,
Census Tract,12001000600,Black,07/2021,0,3.5,4.5,
Census Tract,12001000600,Black,08/2021,0,5.5,6.5,
Census Tract,12001000600,Black,09/2021,0,6,4.333,
Census Tract,12001000600,Black,10/2021,0,4.5,5.333,
Census Tract,12001000600,Black,11/2021,0,4.5,5.5,
Census Tract,12001000600,Black,12/2021,0,3,5.167,
Census Tract,12001000600,Black,01/2022,0,3.5,5.667,
Census Tract,12001000600,Black,02/2022,0,8,6.5,
Census Tract,12001000600,Black,03/2022,0,6,4.5,
Census Tract,12001000600,Black,04/2022,0,7,4.833,
Census Tract,12001000600,Black,05/2022,0,4,6.5,
Census Tract,12001000600,Black,06/2022,0,1.5,6.833,
Census Tract,12001000600,Black,07/2022,0,3.5,4.5,
Census Tract,12001000600,Black,08/2022,0,5.5,6.5,
Census Tract,12001000600,Black,09/2022,0,6,4.333,
Census Tract,12001000600,Black,10/2022,0,4.5,5.333,
Census Tract,12001000600,Black,11/2022,0,4.5,5.5,
Census Tract,12001000600,Black,12/2022,0,3,5.167,
Census Tract,12001000600,Black,01/2023,0,3.5,5.667,
Census Tract,12001000600,Black,02/2023,0,8,6.5,
Census Tract,12001000600,Black,03/2023,0,6,4.5,
Census Tract,12001000600,Black,04/2023,0,7,4.833,
Census Tract,12001000600,Black,05/2023,0,4,6.5,
Census Tract,12001000600,Black,06/2023,0,1.5,6.833,
Census Tract,12001000600,Black,07/2023,0,3.5,4.5,
Census Tract,12001000600,Black,08/2023,0,5.5,6.5,
Census Tract,12001000600,Black,09/2023,0,6,4.333,
Census Tract,12001000600,Black,10/2023,0,4.5,5.333,
Census Tract,12001000600,Black,11/2023,0,4.5,5.5,
Census Tract,12001000600,Black,12/2023,0,3,5.167,
Census Tract,12001000600,Black,01/2024,3,3.5,5.667,
Census Tract,12001000600,Black,02/2024,13,8,6.5,
Census Tract,12001000600,Black,03/2024,8,6,4.5,
Census Tract,12001000600,Black,04/2024,0,7,4.833,
Census Tract,12001000600,Black,05/2024,0,4,6.5,
Census Tract,12001000600,Black,06/2024,0,1.5,6.833,
Census Tract,12001000600,Black,07/2024,3,3.5,4.5,
