position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
76,2025-03-01,2026-02-28,BELL ROPER MOUNTAIN,230 ROPER MOUNTAIN ROAD EXT,34,0.583,34.847069,-82.313091
77,2025-03-01,2026-02-28,PROGRESSIVE PROPERTIES OF GREENVILLE,500 FAIRVIEW ST,33,0.583,34.69129,-82.208619
78,2025-03-01,2026-02-28,MAGNOLIA RENTAL PROPERTY MANAGEMENT,15 TRANQUIL DAY DR,33,0.583,34.733148,-82.443217
79,2025-03-01,2026-02-28,RETREAT AT WATERSIDE,741 WOODRUFF RD,32,0.583,34.837644,-82.326043
80,2025-03-01,2026-02-28,RBM MANAGEMENT/ WOODWINGS APARTMENT HOMES,157 MONTAGUE RD,32,0.583,34.922834,-82.453276
81,2025-03-01,2026-02-28,RFH ADVISORS OVERBROOK PLACE,211 BATESVIEW DR,32,0.583,34.869438,-82.373288
82,2025-03-01,2026-02-28,ROPER MOUNTAIN WOODS APARTMENTS,100 TURTLE CREEK DR,31,0.583,34.841348000000004,-82.29036
83,2025-03-01,2026-02-28,MILLENNIUM APARTMENTS,221 FAIRFOREST WAY,31,0.583,34.802649,-82.340664
84,2025-03-01,2026-02-28,SPRING CREEK APARTMENTS C/O LOEBSACK & BROWNLEE,10 CAPEWOOD RD,31,0.583,34.732151,-82.268316
85,2025-03-01,2026-02-28,2950 NORTH APARTMENTS,2950 E NORTH ST,30,0.583,34.870237,-82.344346
86,2025-03-01,2026-02-28,GRAYBUL AVENTINE L P,97 MARKET POINT DR,30,0.583,34.820211,-82.306424
87,2025-03-01,2026-02-28,THE PRESERVE AT WEST VIEW,432 VARNSON LN,30,0.583,34.933076,-82.248018
88,2025-03-01,2026-02-28,FAIRWAY CLUB APARTMENTS,55 VILLA RD,29,0.583,34.859266,-82.353684
89,2025-03-01,2026-02-28,BERKLEY POINTE APTS.,500 WENWOOD RD,29,0.583,34.799126,-82.352774
90,2025-03-01,2026-02-28,ELEMENT AT EAST NORTH,50 GLENWOOD RD,29,0.583,34.871998,-82.351591
91,2025-03-01,2026-02-28,ALLEGIANCE VENTURES LLC,6526 WHITE HORSE RD,28,0.583,34.868109,-82.461978
92,2025-03-01,2026-02-28,RESIDENCES AT CENTURY PARK,10214 TAFT WAY,28,0.583,34.929704,-82.243047
93,2025-03-01,2026-02-28,NOAH PROPERTY MANAGEMENT,715 WELCOME AVENUE EXT,28,0.583,34.824761,-82.452369
94,2025-03-01,2026-02-28,CMP MANAGEMENT,1102 W POINSETT ST,27,0.583,34.942533,-82.246574
95,2025-03-01,2026-02-28,BRAXTON AT WOODS LAKE,3202 GLEN FOREST DR,26,0.583,34.852432,-82.341356
96,2025-03-01,2026-02-28,SPRING GROVE APARTMENTS,1900 BOLING ROAD EXT,26,0.583,34.915835,-82.284401
97,2025-03-01,2026-02-28,LIMITED PROPERTIES,108 LUKE LN,26,0.583,34.779926,-82.404462
98,2025-03-01,2026-02-28,MAULDIN HEIGHTS,901 N MAIN ST,26,0.583,34.800773,-82.317255
99,2025-03-01,2026-02-28,"THE PADDOCK CLUB C/O LOEBSACK AND BROWNLEE, PLLC",50 ROCKY CREEK RD,25,0.583,34.820889,-82.266183
100,2025-03-01,2026-02-28,ALDON AT KEYS CROSSING,8101 CIPOLLINI ST,24,0.583,34.844578,-82.31594
