position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,EDEN AT WATERSEDGE APTS,2826 S MENDENHALL RD,323,0.384
2,2020-03-15,WINBRANCH APTS,1630 DENSON DR,226,0.384
3,2020-03-15,NEW HORIZON APTS,3642 KINGSGATE DR,218,0.384
4,2020-03-15,THE TRAILS AT MT MORIAH,3139 MORIAH TRL,216,0.384
5,2020-03-15,THE VIEW AT SHELBY FARMS,8260 COUNTRY SQUIRE PL,163,0.384
6,2020-03-15,WATERVIEW APTS,3086 CYPRESS LAKE DR,158,0.384
7,2020-03-15,THE BOULEVARD,3860 EAGLEWOOD DR,156,0.384
8,2020-03-15,BENT TREE LLC,2003 LENOX CT,152,0.384
9,2020-03-15,THE LAKES AT RIDGEWAY,5669 WATERSTONE OAK WAY,143,0.384
10,2020-03-15,UNIVERSITY GARDENS MANOR,1038 OAKMONT PL,132,0.384
1,2021-07-04,REEDY & CO REALTORS LLC,1946 E RAINES RD,29,0.397
2,2021-07-04,HIGHLAND MEADOWS,2170 MCKELLAR WOODS CT,28,0.397
3,2021-07-04,MFDJ GRAHAMWOOD PLACE APTS,4046 ST PIERRE BLVD,28,0.397
4,2021-07-04,WINBRANCH APTS,3646 WINBRANCH DR,27,0.397
5,2021-07-04,THIRTY NINETY FOUR APTS,3109 AMBER LEAF LN,22,0.397
6,2021-07-04,LINCOLN AT WOLFCHASE APTS,2537 NIBLIK PASS,22,0.397
7,2021-07-04,THE STELLA,2152 E RIVER TRACE DR,20,0.397
8,2021-07-04,THE VIEW AT SHELBY FARMS,8080 CARRIAGE LN,20,0.397
9,2021-07-04,WINCHESTER GROVE APTS,1270 WINCHESTER RD,19,0.397
10,2021-07-04,SBTN APARTMENTS LLC,6319 CROWN IMPERIAL DR,19,0.397
