month_date,median_claim,sub1000,sub_med_rent,over_six_months_rent,median_claim_baseline
2020-01-01,1303.25,0.113,0.195,0.039,1900
2020-02-01,1152.25,0.113,0.195,0.039,1900
2020-03-01,1261.5,0.113,0.195,0.039,1900
2020-04-01,NA,NA,NA,NA,1900
2020-05-01,NA,NA,NA,NA,1900
2020-06-01,2612.5,0.113,0.195,0.039,1900
2020-07-01,2459.25,0.113,0.195,0.039,1900
2020-08-01,1928.74,0.113,0.195,0.039,1900
2020-09-01,2550,0.113,0.195,0.039,1900
2020-10-01,2049,0.113,0.195,0.039,1900
2020-11-01,2119.5,0.113,0.195,0.039,1900
2020-12-01,2321.98,0.113,0.195,0.039,1900
2021-01-01,1900,0.113,0.195,0.039,1900
2021-02-01,3112.5,0.113,0.195,0.039,1900
2021-03-01,2250,0.113,0.195,0.039,1900
2021-04-01,2340,0.113,0.195,0.039,1900
2021-05-01,2900,0.113,0.195,0.039,1900
2021-06-01,4287.25,0.113,0.195,0.039,1900
2021-07-01,2477.5,0.113,0.195,0.039,1900
2021-08-01,3600,0.113,0.195,0.039,1900
2021-09-01,1828.75,0.113,0.195,0.039,1900
2021-10-01,2700,0.113,0.195,0.039,1900
2021-11-01,2765.75,0.113,0.195,0.039,1900
2021-12-01,2400,0.113,0.195,0.039,1900
2022-01-01,2287,0.113,0.195,0.039,1900
2022-02-01,2640,0.113,0.195,0.039,1900
2022-03-01,2337.5,0.113,0.195,0.039,1900
2022-04-01,2214.75,0.113,0.195,0.039,1900
2022-05-01,1846.7,0.113,0.195,0.039,1900
2022-06-01,1561.5,0.113,0.195,0.039,1900
2022-07-01,1567.5,0.113,0.195,0.039,1900
2022-08-01,1700,0.113,0.195,0.039,1900
2022-09-01,1560.5,0.113,0.195,0.039,1900
2022-10-01,1849.75,0.113,0.195,0.039,1900
2022-11-01,1793.83,0.113,0.195,0.039,1900
2022-12-01,1678.5,0.113,0.195,0.039,1900
2023-01-01,1879.5,0.113,0.195,0.039,1900
2023-02-01,1855.49,0.113,0.195,0.039,1900
2023-03-01,2112.5,0.113,0.195,0.039,1900
2023-04-01,1800,0.113,0.195,0.039,1900
2023-05-01,1781.25,0.113,0.195,0.039,1900
2023-06-01,1799.5,0.113,0.195,0.039,1900
2023-07-01,1750,0.113,0.195,0.039,1900
2023-08-01,1849,0.113,0.195,0.039,1900
2023-09-01,1880.25,0.113,0.195,0.039,1900
2023-10-01,1819,0.113,0.195,0.039,1900
2023-11-01,1978,0.113,0.195,0.039,1900
2023-12-01,2031.5,0.113,0.195,0.039,1900
2024-01-01,1944.6799999999998,0.113,0.195,0.039,1900
2024-02-01,1981.25,0.113,0.195,0.039,1900
2024-03-01,2032.74,0.113,0.195,0.039,1900
2024-04-01,1858,0.113,0.195,0.039,1900
2024-05-01,1876.5,0.113,0.195,0.039,1900
2024-06-01,1884.57,0.113,0.195,0.039,1900
2024-07-01,1950,0.113,0.195,0.039,1900
2024-08-01,1797.5,0.113,0.195,0.039,1900
2024-09-01,1962.75,0.113,0.195,0.039,1900
2024-10-01,1988,0.113,0.195,0.039,1900
2024-11-01,1992.995,0.113,0.195,0.039,1900
2024-12-01,2000.25,0.113,0.195,0.039,1900
2025-01-01,2067.5,0.113,0.195,0.039,1900
2025-02-01,2088.75,0.113,0.195,0.039,1900
2025-03-01,2004.75,0.113,0.195,0.039,1900
2025-04-01,2089.5,0.113,0.195,0.039,1900
2025-05-01,2022.5,0.113,0.195,0.039,1900
2025-06-01,1976,0.113,0.195,0.039,1900
2025-07-01,1996.745,0.113,0.195,0.039,1900
2025-08-01,2031.25,0.113,0.195,0.039,1900
2025-09-01,2028.49,0.113,0.195,0.039,1900
2025-10-01,1992.635,0.113,0.195,0.039,1900
2025-11-01,2196.25,0.113,0.195,0.039,1900
2025-12-01,2150,0.113,0.195,0.039,1900
