group,month,month_last_day,month_filings,avg_filings,month_diff
Black,January,,803,796,1.00879396984925
Black,February,,635,653,0.972434915773354
Black,March,,370,591,0.626057529610829
Black,April,,65,702,0.0925925925925926
Black,May,02/05/2020,3,12,0.25
Other,January,,463,598,0.774247491638796
Other,February,,537,530,1.01320754716981
Other,March,,292,393,0.743002544529262
Other,April,,74,486,0.152263374485597
Other,May,02/05/2020,1,9,0.111111111111111
White,January,,306,481,0.636174636174636
White,February,,258,372,0.693548387096774
White,March,,178,298,0.597315436241611
White,April,,26,371,0.0700808625336927
White,May,02/05/2020,3,15,0.2
